# boru Language Specification: the boru:io module
# Format: input<TAB>expected<TAB>description
#
# Loadable module of input/output words that were moved out of the core
# registry. Most are reached only after `import`, under the `IO`
# namespace: `import "boru:io" IO.word args`. `print` is NOT here — it
# stays a core word so basic output needs no import.
#
# FILE I/O IS PATHON-ONLY. Every filesystem target is a `Scalar/Micron/
# Pathon` built with `make Pathon "…"` — a bare string is declined, so a
# file target is type-distinct from an arbitrary string and from a stream
# handle. A word that returns its target returns that Pathon (rendered
# without quotes), so `IO.read (IO.write p x)` threads through.
#
# `list` and `remove` are the exception to the namespace rule: boru:io
# extends the CORE `list` / `remove` words with a Pathon overload, so
# after import the BARE words gain filesystem behaviour — `list p` /
# `remove p` — rather than a separate `IO.list` / `IO.remove` (see
# design/OPEN-WORDS.0.md). The overload only registers on import.
#
# ─────────────────────────────────────────────────────────────────────
# §1  stream handles — `stdin`/`stdout`/`stderr` are ATOMs of the
#     StreamKind type (a closed enumeration of exactly those three, not
#     strings). StreamKind is exported by this module — `IO.StreamKind`,
#     not a global builtin.
import "boru:io" IO.stdout	stdout/q	standard-output handle is the `stdout` atom
import "boru:io" IO.stderr	stderr/q	standard-error handle is the `stderr` atom
import "boru:io" typeof IO.stdin	StreamKind	a stream handle's type is StreamKind
import "boru:io" IO.stdin is IO.StreamKind	true	stdin inhabits the StreamKind type
import "boru:io" IO.stdout is IO.StreamKind	true	stdout inhabits the StreamKind type
import "boru:io" IO.stderr is IO.StreamKind	true	stderr inhabits the StreamKind type
import "boru:io" stdin/q is IO.StreamKind	true	a bare `stdin` atom is admitted too
import "boru:io" foo/q is IO.StreamKind	false	an unrelated atom is NOT a StreamKind
import "boru:io" "stdout" is IO.StreamKind	false	the STRING "stdout" is not a StreamKind
#
# §2  trace — run a list as a traced sub-program, returning its result
import "boru:io" IO.trace [1 add 2 mul 3]	9	traced evaluation returns the value
#
# §3  negative — the words are gone from core (unbound without import)
read "x"	ERROR:undefined_word	`read` is no longer a core word
folder "x"	ERROR:undefined_word	`folder` (filesystem op) also moved to boru:io
IO.stdout	ERROR:undefined_word	`IO` is unbound without `import`
#
# §3a  Pathon-only — a STRING target is declined; the caller supplies a Pathon
import "boru:io"  IO.read "data.csv"	ERROR:signature	a String read target no longer matches — file I/O is Pathon-only
import "boru:io"  IO.write "out.txt" "hi"	ERROR:signature	a String write target is declined too
#
# §4  printstr / stdin — output a value without a newline; the stdin handle
import "boru:io"  IO.printstr "hi"		printstr writes formatted text to output, leaving no value
import "boru:io"  IO.stdin	stdin/q	standard-input handle is the `stdin` atom
#
# §5  read / write against an in-memory filesystem
#     `context get __sys get fs set mem true` switches the FileOps capability
#     to an in-memory backing, so write-then-read is deterministic here.
#     `make Pathon "mem://b.txt"` collapses to the Pathon `mem:/b.txt`.
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://b.txt") "hi"	mem:/b.txt	write returns the Pathon it wrote
import "boru:io"  context dot __sys dot fs set mem true  IO.read (IO.write (make Pathon "mem://a.txt") "hello")	'hello'	read back the bytes just written
#
# §6  writing NON-STRING data needs no options map, reading a stream that is
#     not stdin errors, and StreamKind-tagged write returns the handle — all
#     runtime behaviours exercised in lang/go/native/io_stream_test.go and
#     fileio_test.go (they return Any / raise runtime-only errors, which do
#     not belong on the static-checker spec surface).
#
# §8  stat — describe a Pathon, returning a FileInfo record (name/path/type/
#     size/mode/mtime, plus target for a symlink), or `none` when absent.
#     `type` is an IO.FileType atom (file/dir/symlink/other).
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://s.txt") "hello" drop  (IO.stat (make Pathon "mem://s.txt")).size	5	stat reports a file's byte size
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://s.txt") "x" drop  (IO.stat (make Pathon "mem://s.txt")).type	file/q	stat's type field is a FileType atom
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://s.txt") "x" drop  (IO.stat (make Pathon "mem://s.txt")).type is IO.FileType	true	the type field inhabits IO.FileType
import "boru:io"  context dot __sys dot fs set mem true  file/q is IO.FileType	true	a bare `file` atom is a FileType
import "boru:io"  context dot __sys dot fs set mem true  "file" is IO.FileType	false	the STRING "file" is not a FileType
import "boru:io"  context dot __sys dot fs set mem true  IO.stat (make Pathon "mem://ghost.txt")	None	stat of an absent path is none
#
# §8a  ownership + extended attributes — stat records carry integer
#      owner/group (the creating identity; -1 where the backend cannot
#      know); {xattr:true} attaches an xattr sub-map; touch {owner group}
#      re-owns (chown semantics) and touch {xattr:{k:v}} sets attributes.
#      Owner VALUES are environment-dependent (the process identity), so
#      the rows assert shape, not numbers.
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://ow.txt") "x" drop  (IO.stat (make Pathon "mem://ow.txt")).owner is Integer	true	stat records carry an integer owner id
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://ow.txt") "x" drop  (IO.stat (make Pathon "mem://ow.txt")).group gte -1	true	and an integer group id (-1 = unknowable)
import "boru:io"  context dot __sys dot fs set mem true  IO.touch (make Pathon "mem://xa.txt") {xattr:{note:'hi'}} drop  ((IO.stat (make Pathon "mem://xa.txt") {xattr:true}).xattr).note	'hi'	touch {xattr} sets an attribute; stat {xattr:true} reads it back
import "boru:io"  context dot __sys dot fs set mem true  IO.touch (make Pathon "mem://xa2.txt") drop  (IO.stat (make Pathon "mem://xa2.txt") {xattr:true}).xattr	{}	a file with no attributes reads an empty xattr map
import "boru:io"  context dot __sys dot fs set mem true  IO.stat (make Pathon "mem://ghost.txt") {xattr:true}	None	{xattr:true} on an absent path is still none
import "boru:io"  context dot __sys dot fs set mem true  IO.touch (make Pathon "mem://xb.txt") {xattr:{bad:[1 2]}}	ERROR:touch	an xattr value must be a String or Bytes
#
# §9  list — the CORE `list` word, EXTENDED by boru:io with a Pathon overload:
#     `list p` enumerates a directory's entries (names, or records with
#     {detail:true}); {recursive:true} walks the tree. It is a BARE word
#     after import, not IO.list. Listing a missing directory or a file errors.
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://L/a.txt") "x" drop  list (make Pathon "mem://L")	['a.txt']	list returns entry names
import "boru:io"  context dot __sys dot fs set mem true  list (make Pathon "mem://nope")	ERROR:list	listing an absent directory errors
import "boru:io"  context dot __sys dot fs set mem true  list (IO.write (make Pathon "mem://f.txt") "x")	ERROR:list	listing a file (not a directory) errors
list (make Pathon "mem://X")	ERROR:signature	the Pathon overload is absent without `import "boru:io"`
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://L/a.txt") "x" drop  IO.list (make Pathon "mem://L")	['a.txt']	the same handler is also reachable namespaced as IO.list
#
# §10  remove — the CORE `remove` word, EXTENDED by boru:io with a Pathon
#      overload: `remove p` deletes a path, returning it. {recursive:true}
#      removes a directory tree; {force:true} makes an absent removal a no-op.
#      A bare word after import, not IO.remove.
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://R/a.txt") "x" drop  remove (make Pathon "mem://R/a.txt")	mem:/R/a.txt	remove returns the deleted Pathon
import "boru:io"  context dot __sys dot fs set mem true  remove (make Pathon "mem://ghost.txt")	ERROR:remove	removing an absent path errors
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://k.txt") "x" drop  remove (make Pathon "mem://ghost.txt") {force:true}	mem:/ghost.txt	{force:true} makes an absent removal a no-op
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://R2/a.txt") "x" drop  IO.remove (make Pathon "mem://R2/a.txt")	mem:/R2/a.txt	the same handler is also reachable namespaced as IO.remove
#
# §9a  list {match} — a glob filter over the entry's relative path.
#      policy.Glob vocabulary: `*`/`?` stop at `/`, `**` spans components;
#      character classes are NOT special ( `[ab]` is the literal text ).
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://G/a.txt") "x" drop  IO.write (make Pathon "mem://G/b.log") "y" drop  list (make Pathon "mem://G") {match:"*.txt"}	['a.txt']	{match} keeps only glob-matching entries
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://G2/s/c.txt") "x" drop  list (make Pathon "mem://G2") {recursive:true match:"**.txt"}	['s/c.txt']	`**` spans path components under {recursive}
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://G3/a.txt") "x" drop  list (make Pathon "mem://G3") {match:"[a].txt"}	[]	character classes are literal text, not glob syntax
#
# §11  move — rename/move a Pathon, returning the destination Pathon.
#      {overwrite:false} declines an existing destination.
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://m.txt") "x" drop  IO.move (make Pathon "mem://m.txt") (make Pathon "mem://m2.txt")	mem:/m2.txt	move returns the destination
import "boru:io"  context dot __sys dot fs set mem true  IO.move (make Pathon "mem://ghost.txt") (make Pathon "mem://z.txt")	ERROR:move	moving an absent path errors
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://mo.txt") "1" drop  IO.write (make Pathon "mem://mo2.txt") "2" drop  IO.move (make Pathon "mem://mo.txt") (make Pathon "mem://mo2.txt") {overwrite:false}	ERROR:move	{overwrite:false} declines an existing move destination
import "boru:io"  context dot __sys dot fs set mem true  IO.write (make Pathon "mem://mv.txt") "1" drop  IO.move (make Pathon "mem://mv.txt") (make Pathon "mem://mv2.txt") {overwrite:false}	mem:/mv2.txt	{overwrite:false} allows an absent destination
#
# §12  copy — copy a Pathon to a destination. {recursive:true} copies a tree;
#      {overwrite:false} declines an existing destination.
