# boru Language Specification: CALLBACKS and higher-order shapes
# Format: input<TAB>expected<TAB>description
#
# The shapes REAL boru programs use when a function travels as a value:
# a fn handed to a word and applied; a fn parked in a map, a list, a
# class field or a flex store and called back later; a fn RETURNED by a
# fn; a closure over a parameter applied after its maker returned; a
# callback driven by each / fold / filter / for-each; a fn-valued
# argument with a declared Function (or fnsig) type; apply in its
# several spellings; a curried chain; a callback that itself takes a
# callback.
#
# EVERY row's expected column is the value the INTERPRETER produces —
# measured, never guessed. Rows are then labelled with their
# BORU_FORCE_COMPILE=1 status, and the ones that FAIL TO COMPILE are recorded
# DELIBERATELY, as OPEN DEFECTS: the compiler scores ~96% on the old
# one-liner corpus and ~65% on real files precisely because a compile failure is
# WHOLE-PROGRAM and latches on the first unsupported construct, and the
# old corpus never combined constructs. A declining row is the point of
# this file; its description names the compile failure reason verbatim, so the
# reason text is the ledger of what is left to build.
#
# NOTE FOR THE RATCHET: test/go/langspec/compiled_coverage_test.go holds
# failureCeiling = 0. The declining rows below are new evidence, not
# regressions — the ceiling must be re-based (or this file moved under
# lang/spec/frontier/) when the corpus is next gated.
#
# ─────────────────────────────────────────────────────────────────────
# §1  A fn VALUE passed and applied — the /v suffix, valof, /uv, chained
#     apply. The value is parked by /v and called by apply, by a bare
#     dispatch, or by a paren call.
def inc fn [[n:Integer][Integer][n add 1]]  def f inc/v  f 5	6	a def-bound fn value dispatches like a word (forward arg)
def inc fn [[n:Integer][Integer][n add 1]]  def f inc/v  5 f	6	…and from the stack (mirror equivalence)
def inc fn [[n:Integer][Integer][n add 1]]  def f inc/v  def g f/v  (g 5)	6	/v re-parks an already-parked fn value: the alias calls the same fn
def inc fn [[n:Integer][Integer][n add 1]]  def f inc/v  5 f/v apply	6	apply over a def-bound fn value
def inc fn [[n:Integer][Integer][n add 1]]  5 inc/v apply inc/v apply	7	apply CHAINS — each result feeds the next application
def inc fn [[n:Integer][Integer][n add 1]]  def dbl fn [[n:Integer][Integer][n mul 2]]  5 inc/v apply dbl/v apply	12	a two-stage pipeline written as two applies
def sub2 fn [[a:Integer b:Integer][Integer][a sub b]]  10 3 sub2/uv apply add 100	107	the /uv (usurp) spelling reverses the signature order, and its result composes
def inc fn [[n:Integer][Integer][n add 1]]  def g (valof inc)  (g 5)	6	the (valof f) spelling parks the same value the /v suffix does
def mk fn [[k:Integer][Function][([n:Integer] => [n add k])]]  5 (mk 1)/v apply	6	DOES NOT COMPILE: "computed closure at a word's argument slot (its apply did not collapse — Stage 2)"
def adder fn [[k:Integer][Function][([n:Integer] => [n add k])]]  10 (adder 3) apply	13	DOES NOT COMPILE: "computed closure at a word's argument slot (its apply did not collapse — Stage 2)" — the closure is made and applied in one statement
#
# §2  A fn STORED in a container — map, list, class field, flex store —
#     read back, then called. This is the plugin/handler-table idiom and
#     it is everywhere in real code.
def m {f: (fn [[a:Integer][Integer][a add 1]])}  def g m.f  (g 5)	6	a map field read into a binding, then called
def inc fn [[n:Integer][Integer][n add 1]]  def xs [inc/v]  (xs.0 5)	6	a fn value in a LIST, called through an index
def xs [(fn [[a:Integer][Integer][a add 1]]) (fn [[a:Integer][Integer][a mul 2]])]  (xs.1 5)	10	a two-element dispatch table picks its second entry
def xs [(fn [[a:Integer][Integer][a add 1]])]  5 (xs 0 get) apply	6	get reads the fn out of the list and apply calls it
def m {f: (fn [[a:Integer][Integer][a add 1]])}  5 (m 'f' get) apply	6	DOES NOT COMPILE: "apply over a dynamic lead (overload unprovable)" — the same read spelled with get
def m {f: (fn [[a:Integer][Integer][a add 1]])}  5 m.f/v apply	6	DOES NOT COMPILE: "apply over a dynamic lead (overload unprovable)" — /v on a map field, applied
def ops {inc: (fn [[n:Integer][Integer][n add 1]]) dbl: (fn [[n:Integer][Integer][n mul 2]])}  (ops.inc (ops.dbl 5))	11	two table entries composed at the call site
def reg {handlers: [(fn [[n:Integer][Integer][n add 1]]) (fn [[n:Integer][Integer][n mul 2]])]}  (reg.handlers.0 5)	6	a handler list NESTED in a map, reached by a two-step path
def reg {handlers: [(fn [[n:Integer][Integer][n add 1]]) (fn [[n:Integer][Integer][n mul 2]])]}  each ([f:Function] => [(f 10)]) reg.handlers	[11 20]	every handler in the table driven over one input
def cbs {a: (fn [[n:Integer][Integer][n add 1]]) b: (fn [[n:Integer][Integer][n mul 2]])}  each ([k:String] => [((cbs k get) 10)]) ['a' 'b']	[11 20]	the table looked up BY KEY inside the callback
def Handler class {cb: Function} def h (make Handler {cb: (fn [[n:Integer][Integer][n add 1]])}) (h.cb 5)	6	a Function-typed CLASS FIELD holds the callback
def Handler class {cb: Function} def h (make Handler {cb: (fn [[n:Integer][Integer][n add 1]])}) each h.cb [1 2 3]	[2 3 4]	DOES NOT COMPILE: "higher-order `each` over a gradual-Any collection: ambiguous overload (List vs Map), no static commit and no poly re-match"
