# boru Language Specification: scalar edge cases 3 — strings, atoms, booleans
# Format: input<TAB>expected<TAB>description
#
# String-edge coverage via boru:string-util (the empty string through
# every word, byte-vs-rune semantics on multi-byte text, replace's
# {scope}/{count} interplay, split round-trips, template-literal
# interpolation), the EmptyString/ProperString membership split, Atom
# distinctness, boolean truthiness coercion and connective strictness,
# and the scalar↔String conversion words with their malformed-input
# errors. Complements string.tsv, module-string.tsv and boolean.tsv.
#
# ─────────────────────────────────────────────────────────────────────
# §1  the empty string through every string word
import "boru:string-util"  StringUtil.upper ''	''	upper of empty is empty
import "boru:string-util"  StringUtil.lower ''	''	lower of empty is empty
import "boru:string-util"  StringUtil.trim ''	''	trim of empty is empty
import "boru:string-util"  StringUtil.split ',' ''	[]	splitting the EMPTY string yields the empty list, not ['']
import "boru:string-util"  StringUtil.split '' ''	[]	…even with the empty separator
import "boru:string-util"  StringUtil.contains '' 'abc'	true	the empty needle is contained in everything
import "boru:string-util"  StringUtil.contains '' ''	true	…including the empty haystack
import "boru:string-util"  StringUtil.contains 'a' ''	false	a real needle is never in the empty haystack
import "boru:string-util"  StringUtil.indexof '' 'abc'	0	the empty needle matches at position 0
import "boru:string-util"  StringUtil.indexof '' ''	0	…also in the empty haystack
import "boru:string-util"  StringUtil.indexof 'abc' ''	-1	haystack-last: nothing is found IN the empty string
import "boru:string-util"  StringUtil.replace 'a' 'b' ''	''	replace in the empty subject is a no-op
import "boru:string-util"  StringUtil.replace '' 'X' 'ab'	'Xab'	an empty search string inserts once at the front (first-occurrence default)
import "boru:string-util"  StringUtil.repeat 0 'ab'	''	repeat 0 is the empty string
import "boru:string-util"  StringUtil.repeat 3 ''	''	repeating the empty string stays empty
import "boru:string-util"  StringUtil.pad 3 ''	'   '	padding the empty string is all spaces
import "boru:string-util"  StringUtil.changecase '' {style: 'upper'}	''	changecase of empty is empty
import "boru:string-util"  StringUtil.normalize ''	''	normalize of empty is empty
#
# §2  ONE character unit — every string count and index is CHARACTERS
#     (Unicode runes), matching the occurrence ops mul/pow (NUR007 fix —
#     this section previously pinned size/indexof/pad as BYTE-based
#     while split/mul/pow walked runes, and slice could cut a rune in
#     half into invalid UTF-8). Byte-level work is the Bytes type.
size 'héllo'	5	size is the CHARACTER length: é is one character
size '日本語'	3	three CJK characters
size (convert Bytes 'héllo')	6	…the byte length lives on Bytes: é is two bytes in UTF-8
size (import "boru:string-util"  StringUtil.split '' 'héllo')	5	split '' walks the same five characters size counts
import "boru:string-util"  StringUtil.split '' '日本語'	['日' '本' '語']	multi-byte runes split cleanly, never mid-byte
import "boru:string-util"  StringUtil.indexof 'l' 'héllo'	2	indexof reports a CHARACTER index (h=0 é=1 l=2)
import "boru:string-util"  StringUtil.indexof 'l' 'héllo' {from: 3}	3	…and {from} is a character index too (the second l)
'héllo' slice 1 3	'él'	slice cuts at character boundaries
'héllo' slice 1 2	'é'	…never through a multi-byte rune (was invalid UTF-8)
'héllo' slice -2	'hél'	a negative start drops characters from the end
'héllo' slice 1 -1	'éll'	a negative end counts back from the end, in characters
'héllo' slice 1 99	'éllo'	an over-length end clamps to the character length
'héllo' slice 9	''	a start past the end is the empty string
'héllo' slice 3 1	''	an inverted range is the empty string
'hé' slice -9	''	a negative start past the front empties
'hé' slice 0 -9	''	…and so does a negative end past the front
import "boru:string-util"  StringUtil.indexof 'l' 'héllo' {occ: "last"}	3	{occ: last} reports the last l's character index
import "boru:string-util"  StringUtil.indexof 'l' 'héllo' {from: 9}	-1	a {from} past the character length finds nothing
import "boru:string-util"  StringUtil.indexof 'l' 'héllo' {from: 5}	-1	…and a {from} AT the character length searches the empty tail
import "boru:string-util"  StringUtil.replace 'l' 'X' 'héllo' {from: 99}	'héllo'	replace clamps an over-length {from} — nothing to the right, unchanged
import "boru:string-util"  StringUtil.indexof 'L' 'héllo' {cs: "insensitive"}	2	case-insensitive indices are character indices too
import "boru:string-util"  StringUtil.split '本' '日本語'	['日' '語']	a multi-byte SEPARATOR works
import "boru:string-util"  StringUtil.replace '語' 'ご' '日本語'	'日本ご'	replace is rune-safe
import "boru:string-util"  StringUtil.repeat 2 '日'	'日日'	repeat is rune-faithful on multi-byte input
size (import "boru:string-util"  StringUtil.pad 4 'ñ')	4	pad pads to a CHARACTER width: ñ + 3 spaces
import "boru:string-util"  (StringUtil.match 'l' 'héllo') dot fst dot i	2	match indices are character indices too
import "boru:string-util"  (StringUtil.match '' 'éé' {scope: "all"}) dot ms	[{m:'' i:0 e:0} {m:'' i:1 e:1} {m:'' i:2 e:2}]	an empty pattern matches at every character BOUNDARY, end included (PR #306 review)
import "boru:string-util"  (StringUtil.match '' 'éé') dot fst	{m:'' i:0 e:0}	…and the default first-scope reports the leading boundary
import "boru:string-util"  StringUtil.indexof 'a' 'İİa' {mode: "shell", cs: "insensitive", occ: "last"}	2	insensitive shell offsets stay in the ORIGINAL string (İ narrows when folded — PR #306 review)
import "boru:string-util"  StringUtil.pad 4 {fill: '😀'} 'hé'	'hé😀😀'	a multi-byte fill pads whole characters
import "boru:string-util"  StringUtil.pad 200000000 {fill: '😀'} 'x'	ERROR:exceeds	the byte cap holds under a multi-byte fill — checked as a PROJECTION, before allocating (PR #306 review)
import "boru:string-util"  StringUtil.upper 'straße'	'STRAßE'	ß has no simple-case uppercase — it survives (no SS expansion)
import "boru:string-util"  StringUtil.lower 'ΣΙΓΜΑ'	'σιγμα'	simple case mapping: no final-sigma ς at the word end
import "boru:string-util"  StringUtil.upper 'ñé'	'ÑÉ'	accented Latin uppercases per rune
#
# §3  split / concat round-trips and separator edges
import "boru:string-util"  StringUtil.concat (StringUtil.split '' 'hello')	'hello'	split '' then concat is the identity
