# boru Language Specification: `as` — call-site signature selection (dispatch ascription)
# Format: input<TAB>expected<TAB>description
#
# `v as T` returns v UNCHANGED, carrying a match-time ascription: the
# NEXT signature match treats v as a T, then arg delivery strips it —
# the value a handler / fn body receives is the real one. Upcast-only
# (T must be an ancestor of v's tag). This is the delegation escape for
# anchored override bodies (design/OPEN-WORDS.1.md §9): inside a
# subtype's `set` override, `set k v (m as FlexMap)` dispatches the
# BASE overload — the override's nominal anchor cannot match the
# widened view — with no renamed shadow words and no retagging.
#
# ─────────────────────────────────────────────────────────────────────
# §1  the value is unchanged — ascription is dispatch-only
typeof (5 as Number)	Integer	typeof sees the REAL tag: ascription never retags
(5 as Number) is Integer	true	is sees the real value too
(5 as Number) add 1	6	the handler receives the real payload through the widened match
(5 as Number) eq 5	true	equality is over the real value
(5 as Integer)	5	self-ascription is a benign no-op; the value renders as itself
size ('abc' as String)	3	same-family ascription flows through string words
#
# ─────────────────────────────────────────────────────────────────────
# §2  user newtypes — widen to the base family, keep the tag
def S (refine FlexMap)  def w:S (flex {a:1})  typeof (w as FlexMap)	S	the newtype tag survives the ascription (typeof consumes the real value)
def S (refine FlexMap)  def w:S (flex {a:1})  (w as FlexMap) is S	true	the widened view is match-time only — the value is still an S
def S (refine FlexMap)  def w:S (flex {a:1})  typeof ((w as FlexMap) as Node)	S	re-ascription replaces the previous ascription (last one wins); the tag still survives
def L (refine FlexList)  def v:L (flex [1 2])  typeof (v as FlexList)	L	the list column ascribes identically
def S (refine FlexMap)  def w:S (flex {a:1})  (set x/q 9 (w as FlexMap)) drop  [(typeof w) (size w)]	[S 2]	an in-place write through the widened view mutates the SAME payload; the binding keeps its tag
#
# ─────────────────────────────────────────────────────────────────────
# §3  signature selection — the core: the ascribed type picks the overload
def S (refine FlexMap)  def tag fn [[m:FlexMap] [String] ['base']]  def tag fn [[m:S] [String] ['sub']]  def w:S (flex {a:1})  tag w	'sub'	specificity picks the subtype overload for a subtype value
def S (refine FlexMap)  def tag fn [[m:FlexMap] [String] ['base']]  def tag fn [[m:S] [String] ['sub']]  def w:S (flex {a:1})  tag (w as FlexMap)	'base'	the ascription forces the base overload — the S sig cannot match the widened view
