# boru Language Specification: / modifiers on parens and dotted paths
# Format: input<TAB>expected<TAB>description
#
# A `/` modifier on a parenthesised expression or a dotted path applies to
# the WHOLE group's result, not to the last key: `a.b/m` parses as
# `(a get b)/m`. The modifier qualifies how the result (a function value
# retrieved from the map) is treated/dispatched:
#   /u  usurp — call the function, reversing its signature arg order
#   /s  force the dispatch to STACK form
#   /f  force the dispatch to FORWARD form
#   /N  dispatch with exactly N args
#   /v  keep the function as DATA (do not invoke)
#   /q  treat the result as data
#
# ─────────────────────────────────────────────────────────────────────
# §1  /u — usurp the function retrieved by a dotted path / paren
def m {a:add/v} end m.a/u 1 2	3	usurp the retrieved add
def m {s:sub/v} end m.s/u 10 3	7	usurp reverses sig order → 10-3
def o {m:{a:add/v}} end o.m.a/u 1 2	3	works on a deeper path
def m {a:add/v} end (m.a)/u 1 2	3	paren form is equivalent
#
# §2  /f and /s — force the dispatch shape of the result function
def m {s:sub/v} end m.s/f 10 3	-7	force forward: sub 10 3 → 3-10
def m {s:sub/v} end 10 3 m.s/s	7	force stack: 10 3 on the stack → 10-3
def m {s:sub/v} end 10 3 (m.s)/s	7	paren force-stack form
#
# §3  /N — dispatch the result with exactly N args
def m {a:add/v} end m.a/2 1 2	3	arg-count 2
#
# §4  /v and /q — keep the result as data (do not invoke)
def m {a:add/v} end typeof m.a/v	Function	/v yields the function as data
def m {a:add/v} end typeof m.a/q	Function	/q yields the result as data
#
# §5  no modifier — the grouped function auto-dispatches forward
def m {a:add/v} end m.a 1 2	3	bare path: the function still auto-dispatches
#
# §6  a modifier on a non-function result (e.g. /q on a number) is a no-op
(1 add 2)/q	3	/q on a plain value is harmless
#
# §7  the function-form companion words (what /u /s /f /N desugar to).
#     Each returns a NEW function (like usurp); accepts a function value or
#     a name.
usurp sub 10 3	7	usurp = /u (reversed sig)
forward-args sub 10 3	-7	forward-args = /f
10 3 stack-args sub	7	stack-args = /s (args from the stack)
force-arity 2 add 1 2	3	force-arity N = /N (by-name, like usurp)
force-arity 2 (add/v) 1 2	3	force-arity N also takes a function value
typeof (stack-args sub)	Function	the companions return a new function
#
# §8  the function-form companions COMPOSE (each returns a function, so they
#     can wrap one another)
def m {s:sub/v} end usurp (forward-args (m.s)) 10 3	7	usurp ∘ forward-args
def m {s:sub/v} end force-arity 2 (usurp (m.s)) 10 3	7	force-arity ∘ usurp
def m {s:sub/v} end 10 3 stack-args (force-arity 2 (m.s))	7	stack-args ∘ force-arity
def m {a:add/v} end force-arity 2 (usurp (forward-args (m.a))) 1 2	3	three deep
#
# §NUR050 — a `/v`-marked word feeds forward collection as its REFERENCE
# value (it is NOT a function-word barrier: the call-site marker is
# explicit "data, not call" intent). All six spellings of passing a
# reference into a Function-typed param agree; a BARE fn name remains a
# barrier (a bare name is a call).
def sf fn [[m:Map] [Map] [m]] def wa fn [[s:Map act:Function] [Map] [act s]] wa {x:1} sf/v	{x:1}	direct forward /v reference fills the Function slot (the NUR050 repro)
def sf fn [[m:Map] [Map] [m]] def wa fn [[s:Map act:Function] [Map] [act s]] wa {x:1} (sf/v)	{x:1}	paren-grouped reference (already worked) is unchanged
def sf fn [[m:Map] [Map] [m]] def wa fn [[s:Map act:Function] [Map] [act s]] def mm {run: sf/v} wa {x:1} mm.run	{x:1}	map-stored reference via dot (already worked) is unchanged
def sf fn [[m:Map] [Map] [m]] def wa fn [[s:Map act:Function] [Map] [act s]] sf/v {x:1} wa	{x:1}	stack form (already worked) is unchanged
def sf fn [[m:Map] [Map] [m]] def wa fn [[s:Map act:Function] [Map] [act s]] def hr (sf/v) wa {x:1} hr/v	{x:1}	a def-bound reference passes as hr/v (bare hr is a call, per the model)
def sf fn [[m:Map] [Map] [m]] def wa fn [[s:Map act:Function] [Map] [act s]] wa {x:1} sf	ERROR:cannot call `wa`	a bare fn name before a Function-TYPED slot CALLS like any other (NUR078 — ADR-011 as amended: the slot type never decides what a token means), so `wa` receives the call's result; the reference is sf/v, the rows above
#
# A RAISING handler on the parked-native fast path keeps its position. That
# path replaced an island, and the island got the caret for free — its nested
# Run stamped the dispatching token. The direct call has no token to stamp
# (the opcodes lowered from a dot chain carry SrcPos{0,0}, NUR113), so the
# position has to come from the fn VALUE, which is where the interpreter
# anchors it: `1:10` is the `div` inside the map literal, not the call site.
# Without this row the loss is invisible — it is a diagnostic difference, so
# both engines still agree on the value and the error taxonomy.
def m {d:div/v} end m.d 0 10	ERROR:arith_error	a raising handler on the fast path keeps the fn value's own position
#
# The trailing-apply fast lane RAISES faithfully, position included. `10 0
# m.d/s` reaches the same window the rows above take — inert data under a
# trailing fn — and its handler errors. This row exists because cover-gate
# flagged that lane's error arm as unreached, and writing it is what exposed
# NUR113: the compiled lane answered with the right error and no caret, where
# the island it replaced had one. Both engines now say 1:26.
def m {d:div/v} end 10 0 m.d/s	ERROR:arith_error	a raising handler on the trailing-apply lane errors identically, position included

# The USURP lane's two remaining arms, written because the merged coverage gate
# flagged both as unreached once the wrapper stopped islanding. A modifier
