# boru Language Specification: Recursion (fn frames, teardown, tail shapes)
# Format: input<TAB>expected<TAB>description
#
# Pins the observable semantics of fn-call frames that tail-call
# optimisation must preserve bit-for-bit (design/legacy/TCO-STAGED.10.ignore
# Stage 0): param/local/capture teardown, per-frame args visibility,
# ReturnCheck behaviour, frames that accrete values, forwards pending
# below a call, and flow control crossing fn frames. Depths stay well
# below the engine's resource guards — the resource shape itself
# (tape growth per call, the exhaustion ceiling) is pinned in
# lang/go/recursion_pin_test.go, not here.
#
# ─────────────────────────────────────────────────────────────────────
# §1  self-recursion, NON-tail — the add forward pends below each call,
#     so these frames must always nest (never a TCO candidate)
def s fn [[n:Integer] [Integer] [if (n lte 0) [0] [n add (s (n sub 1))]]] s 10	55	non-tail self-recursion (pending add below the call)
def s fn [[n:Integer] [Integer] [if (n lte 0) [0] [n add (s (n sub 1))]]] s 500	125250	deeper non-tail recursion, well under the guards
def inc fn [[n:Integer] [Integer] [n add 1]] 5 add (inc 1)	7	minimal pending-forward-below shape: add must consume the frame result
def g fn [[n:Integer] [Integer] [n add 1]] def x (g 41) x	42	def parked below a call consumes the frame result and binds AFTER frame teardown
#
# §2  self-recursion, tail position — the accumulator idiom; covered by
#     the tail-call elimination guarantee (REFERENCE.md "Recursion and
#     tail calls"), so depth is bounded by CPU, not space. Results must
#     be identical with elimination on or off
def s2 fn [[n:Integer acc:Integer] [Integer] [if (n lte 0) [acc] [s2 (n sub 1) (acc add n)]]] s2 10 0	55	tail self-recursion (accumulator idiom)
def s2 fn [[n:Integer acc:Integer] [Integer] [if (n lte 0) [acc] [s2 (n sub 1) (acc add n)]]] s2 500 0	125250	deeper tail self-recursion
def s2 fn [[n:Integer acc:Integer] [Integer] [if (n lte 0) [acc] [s2 (n sub 1) (acc add n)]]] s2 5000 0	12502500	guarantee witness: depth past any per-frame budget (the resource proofs at depth 10000+ under tiny tape ceilings live in the Go pins)
#
# §3  mutual recursion — tail calls whose callee differs from the caller
def isod fn [[n:Integer] [Boolean] [if (n eq 0) [false] [isev (n sub 1)]]] def isev fn [[n:Integer] [Boolean] [if (n eq 0) [true] [isod (n sub 1)]]] isev 10	true	mutual tail recursion, even probe
def isod fn [[n:Integer] [Boolean] [if (n eq 0) [false] [isev (n sub 1)]]] def isev fn [[n:Integer] [Boolean] [if (n eq 0) [true] [isod (n sub 1)]]] isod 10	false	mutual tail recursion, odd probe
def isod fn [[n:Integer] [Boolean] [if (n eq 0) [false] [isev (n sub 1)]]] def isev fn [[n:Integer] [Boolean] [if (n eq 0) [true] [isod (n sub 1)]]] isev 500	true	deeper mutual recursion
#
# §4  args — every frame sees its OWN per-call args list
def f fn [[a:Integer b:Integer] [Integer] [args.0 add args.1]] f 3 4	7	args.N reads the current frame's args in sig order
def f fn [[n:Integer] [Integer] [if (n lte 0) [args.0] [f (n sub 1)]]] f 3	0	the innermost frame's args.0 is ITS arg, not an outer frame's
#
# §5  frame teardown — params, body-locals, and captures are undone on
#     exit (the cleanup tail TCO would run eagerly)
def g fn [[n:Integer] [Integer] [def loc 42 n add loc]] g 1	43	a body-local def is usable within the body
def g fn [[n:Integer] [Integer] [def loc 42 n add loc]] g 1 loc	ERROR:undefined_word	…and is torn down when the frame exits
([n:Integer] => [def lk 9 n add 1]) 5 lk	ERROR:undefined_word	anonymous-Function dispatch tears down body-locals too
