# compare-restrict.tsv — the ordering words cmp / lt / lte / gt / gte are
# FAMILY-RESTRICTED. They compare only same-type values, or values a
# shared same-family comparer handles (Integer-vs-Float via Number, two
# Dates, EmptyString-vs-ProperString via String, …). A cross-family pair
# (Integer-vs-String, List-vs-Map, value-vs-cross-family-type-literal)
# raises [boru/incomparable] and directs the caller to tcmp. The full
# total order itself is exercised in compare.tsv via tcmp.
#
# Equality (eq / neq / deq) is NOT restricted: cross-type compares as
# not-equal, never an error.
#
# Format: input<TAB>expected<TAB>description

# ── Same-family ordering works ───────────────────────────────────────
5 cmp 3	1	Integer vs Integer
1 lt 2.0	true	Integer vs Float — shared Number comparer
2.5 cmp 2	1	Float vs Integer
1.5 gt 2	false	Float vs Integer
'a' lt 'b'	true	String vs String
'' lt 'a'	true	EmptyString vs ProperString — shared String comparer
false lt true	true	Boolean vs Boolean
5 cmp Number	1	value vs same-family type literal (literal sorts first)
5 cmp Integer	1	value vs its own type literal
Number cmp Integer	-1	two same-family type literals, by rank
[1 2] cmp [1 3]	-1	same type (List) — element-wise
{a:1} cmp {a:2}	-1	same type (Map)

# ── Cross-family ordering errors ([boru/incomparable]) ────────────────
1 cmp 'a'	ERROR:incomparable	Integer vs String
1 lt 'a'	ERROR:incomparable	Integer vs String
'a' gt 1	ERROR:incomparable	String vs Integer
true lt 1	ERROR:incomparable	Boolean vs Number
1 lte true	ERROR:incomparable	Integer vs Boolean
5 cmp Scalar	ERROR:incomparable	value vs cross-family root literal
[1] cmp {a:1}	ERROR:incomparable	List vs Map
[1] lt 5	ERROR:incomparable	List vs Integer
List lt Map	ERROR:incomparable	two cross-branch type literals

# ── Equality stays total (cross-type → not equal, never an error) ─────
1 eq 'a'	false	cross-type equality is false, not an error
1 neq 'a'	true	cross-type inequality is true
1 eq 1.0	true	cross-leaf numeric magnitude is equal
# eq is identity for compounds; deq is structural — by design.
[1] eq [1]	false	eq on two distinct equal-looking lists is identity, not structure
[1] deq [1]	true	deq compares list structure (deep), so contents match
{a:1} eq {a:1}	false	eq on two distinct equal-looking maps is identity, not structure
{a:1} deq {a:1}	true	deq compares map structure (deep), so contents match
1 eq none	false	equality against none is safe
# ── A bare type literal is not a scalar value (NUR032) ────────────────
# The numeric families are the trap: `Integer`'s lattice parent is
# `Number` (still a number), so before this rule the literal projected
# to 0. `eq`/`deq` require concrete operands; use `teq` to compare types.
0 eq Integer	false	a numeric literal is not the value 0 — mixed literal/concrete is never equal
0 deq Integer	false	deq agrees: the literal is not 0
0 eq Float	false	…and not the Float zero either
1 deq Integer	false	a non-zero number is not its type literal (this was already false; 0 was the trap)
Integer deq Float	false	two DISTINCT numeric type literals are not deq-equal (deq wrongly said true before)
Integer eq Integer	true	the SAME numeric type literal is equal to itself (matches eq's type-body arm)
Integer deq Integer	true	deq agrees on the same-type literal
Integer teq Integer	true	the dedicated type-equality word is unaffected
# deq is reflexive on EVERY type literal, agreeing with eq (NUR034): the
# container/root literals join the scalar ones, so a type literal is deq
# to itself and to no other type.
List deq List	true	a container type literal is deq to itself (was false before NUR034)
Map deq Map	true	…and so is the map literal
Any deq Any	true	…and the root literal
List deq Map	false	two DISTINCT type literals are not deq
List eq List	true	eq already agreed; deq now matches it
# ── deq compares typed containers by VALUE, not render (NUR033) ───────
# A typed list `[:T v0 v1]` carries an element-type annotation. deq is
# value equality, so it compares the ELEMENTS and ignores the tag, the
# same way it already ignores flexness. Before this rule deq fell back
# to the rendered form (`[:Integer]` vs `[1 2]`), which was a third
# equality notion and broke transitivity with cross-leaf pairs.
[:Integer 1 2] deq [1 2]	true	a populated typed list is deq-equal to the plain list of the same elements
[:Integer 1 2] deq [:Integer 1 2]	true	…and to an identically-typed twin
[:Float 1.0 2.0] deq [:Integer 1 2]	true	the element-type tag is ignored; cross-leaf magnitude still ties
[1.0] deq [:Integer 1]	true	transitivity: [1.0] deq [1] and [1] deq [:Integer 1], so this holds too
{:Integer a:1} deq {a:1}	true	typed maps compare by entry values as well
