# boru Language Specification: Open words — ownership-anchored `def` extension
# Format: input<TAB>expected<TAB>description
#
# design/OPEN-WORDS.1.md: `def <word> fn […]` on a word that carries
# LOCKED signatures (every natively registered word) MERGES the fn's
# signatures into a word CLONE bound through the ordinary def shadow
# stack — scoped like every other def (fn body / module body / top
# level), popped by `undef`, inherited by sub-engines, captured by
# closures. Admission is OWNERSHIP-ANCHORED (rev 2): every added
# signature must carry at least one NOMINAL argument type the
# extending scope owns ([boru/extend_owner] otherwise — content-based
# types cannot anchor); a tuple matching a locked signature is declined
# ([boru/locked_signature]); sealed words (def / make / word) decline
# entirely ([boru/reserved_word]). Dispatch sorts ALL signatures by
# natural per-position specificity — an anchored SUBTYPE overload
# pre-empts its parent's kernel signature for the subtype's values,
# while every pre-existing call is untouched (the reachability
# theorem: no value of the anchor type can predate the merge). A
# module exports its merged word like any other fn and `import`
# TRANSPLANTS the extension one level; re-export is the opt-in for
# transitivity, the inline-module firewall the opt-out. Plain user
# fns (no locked sigs) keep whole-replacement shadowing.
#
# ─────────────────────────────────────────────────────────────────────
# §1  the anchored merge — top level
def Flag (refine Boolean)  def add fn [[a:Flag b:Flag] [Boolean] [a or b]]  def x:Flag true  def y:Flag false  add x y	true	an anchored merged signature dispatches on the extended word
def Flag (refine Boolean)  def add fn [[a:Flag b:Flag] [Boolean] [a or b]]  add 1 2	3	kernel dispatch is unchanged inside the extending scope
add true false	ERROR:arithmetic is not defined on Boolean	an engine without a merge raises the within-type defined error (negative twin)
def Flag (refine Boolean)  def add fn [[a:Flag b:Flag] [Boolean] [a or b]]  def x:Flag true  do [add x x]	true	a top-level merge is visible to sub-engines, like any top-level def
def Flag (refine Boolean)  def add fn [[a:Flag b:Flag] [Boolean] [a or b]]  def x:Flag true  def y:Flag false  [x y] each [add x]	[true true]	higher-order bodies see the merge too
#
# ─────────────────────────────────────────────────────────────────────
# §1b  subtype specialization — the natural-order dividend (rev 2)
# An anchored SUBTYPE overload of a core word sorts ahead of the
# kernel parent signature by per-position specificity and actually
# dispatches for the subtype's values; parent-typed calls never see it.
def M (refine Map)  def set fn [[k:Atom/q v:Any m:M] [String] ['override']]  def x:M {a:1}  set b/q 2 x	'override'	the M-anchored `set` overload pre-empts the kernel Map signature for M values
def M (refine Map)  def set fn [[k:Atom/q v:Any m:M] [String] ['override']]  (set b/q 2 {a:1})	{a:1 b:2}	…while a plain Map value still dispatches the kernel signature (reachability: pre-existing calls are byte-identical)
#
# ─────────────────────────────────────────────────────────────────────
# §2  ownership compile failures — unanchored and foreign-anchored merges
def add fn [[a:Boolean b:Boolean] [Boolean] [a or b]]  add true false	ERROR:extend_owner	an UNANCHORED tuple (kernel types only) cannot merge onto a core word — at any scope, top level included (rev 2)
def add fn [[a:Integer b:Integer] [Integer] [99]]  add 1 2	ERROR:extend_owner	claiming a kernel tuple dies at admission — the locked family is not even reachable
def add fn [[a:Number b:Number] [Number] [a]]	ERROR:extend_owner	the exact locked tuple is equally unanchored — declined before any replacement question arises
def add fn [[a:Date b:Date] [Boolean] [true]]	ERROR:extend_owner	a first-party module's type (Date is boru:time-util's) does not anchor a PROGRAM extension — ownership is not transitive
def Big (Integer gt 10)  def add fn [[a:Big b:Big] [Integer] [1]]	ERROR:extend_owner	a CONTENT-based type (predicate) cannot anchor — its members exist before the type does (the nominality theorem, OPEN-WORDS.1 §3.1)
def U (Integer tor String)  def add fn [[a:U b:U] [Integer] [1]]	ERROR:extend_owner	a union body is content-based too — no anchor
def Shape surface {area: (fnsig [[Self] [Float]])} end  def add fn [[a:Shape b:Shape] [Float] [1.0]]	ERROR:extend_owner	a surface is content-based — a type can `exposes` it AFTER the fact, so a value can predate its own membership; no anchor (OPEN-WORDS.1 §3.1)
def Big (Integer gt 10)  behave compare/q (fn [[Big Big] [Integer] [0]])  def add fn [[a:Big b:Big] [Integer] [1]]	ERROR:extend_owner	a `behave` wrapper does not launder a content type into an anchor — IsNominalAnchor sees through the Match-delegating wrapper to the predicate beneath
import module [def Flag (refine Boolean) def add fn [[a:Flag b:Flag] [Boolean] [a and b]] def mk fn [[b:Boolean] [Flag] [def v:Flag b v]] export "M" {add: add/v mk: mk/v Flag: Flag}]  def add fn [[a:(M.Flag) b:(M.Flag)] [Boolean] [a or b]]  add (M.mk true) (M.mk false)	ERROR:extend_owner	a program def cannot re-anchor on ANOTHER module's type to shadow its transplanted tuple — you cannot redefine what you do not own (rev 2; rev 1 allowed this)
#
# ─────────────────────────────────────────────────────────────────────
