# boru Language Specification: fn 3-arg single-triple form — `fn input output body`
# Format: input<TAB>expected<TAB>description
#
# The `fn` word has two signatures (in match order):
#   [(tnot List) Any List]  Function   — the 3-arg single-triple form
#   [List]                  Function   — the spec-list form
#
# The triple form takes one [input output body] triple WITHOUT the
# wrapping list: `fn x:Integer [Integer] [x mul 2]`. Its input slot is
# constrained to `tnot List`: a list input ALWAYS selects the spec-list
# form (the two forms stay disjoint), so multi-param triples and
# multi-overload fns need the list form. The BODY slot is List-typed —
# a triple-form body is always a `[…]` code list, which keeps the
# greedy 3-slot window from claiming a non-list value as a body in
# mixed/stack arrangements and makes a truncated `fn input output`
# fail loudly. Non-list input/output follow ParseFnDef's abbreviation
# rule (auto-wrap into a one-element list), mirroring afn.
#
# COMPUTED operands (`fn (2 add 3) [String] ['five']`) are deliberately
# interpreter-only (the compiled unit would bake the check-time carrier
# where the live value belongs); those cases are pinned in
# lang/go/test/fn_triple_compiled_test.go rather than here so the spec
# corpus's compiled-coverage compile failure ratchet (compiled_coverage_test.go,
# ground to its failureCeiling=0 floor) stays untouched.
#
# ─────────────────────────────────────────────────────────────────────
# §1  basics — named / unnamed params, output abbreviation
def double fn x:Integer [Integer] [x mul 2]  double 5	10	named single param
def add10 fn Integer [Integer] [10 add]  add10 5	15	unnamed bare-type param (body reads the stack)
def neg fn x:Integer Integer [x mul -1]  neg 5	-5	bare-type output abbreviation (Integer ≡ [Integer])
def shout fn s:String [String] [s]  shout 'hi'	'hi'	string param round-trip
def a fn x:Integer [Integer] [x mul 2]  def b fn [[x:Integer] [Integer] [x mul 3]]  a (b 2)	12	triple-form and spec-list fns coexist
def b quote [x mul 2]  def f fn x:Integer [Integer] b  f 5	10	a def-bound list fills the List-typed body slot
def f fn x:(Integer tor String) [String] [`v${x}`]  f 5	'v5'	disjunct annotation on the single param
def f fn x?:Integer [Any] [x]  f 3	3	optional-suffix param (x?:T) works in the triple form
def f fn x:Atom/q [Atom] [x]  f hello	hello/q	quoted-atom (/q) param captures the bare word
#
# §2  form equivalence — triple ≡ wrapped spec list; mirror forms
def w fn [[x:Integer] [Integer] [x mul 2]]  def t fn x:Integer [Integer] [x mul 2]  (w 3) add (t 3)	12	fn x:T [O] [b] ≡ fn [[x:T] [O] [b]]
def t ([x mul 2] [Integer] x:Integer fn)  t 8	16	full mirror (stack) form: body output input fn
7 (fn Integer [Integer] [10 add]) apply	17	direct paren construction, applied (a paren places the fn — NUR073 clause 3)
#
# §2b  the SIX spellings of one single-param/single-return signature
#
# STYLE-GUIDE.md §S1 tells authors to use the spelling with the FEWEST
# square brackets. These rows are why that is a style rule and not a
# semantic one: all six build a `canon`-identical value, so the choice
# among them carries no meaning at all. `boru fmt` collapses only the
# last one (NUR088), which is why the rule needs stating.
#
def s1 fn x:Integer Integer [mul 2 x]  s1 21	42	1 pair — the target form: bare input, bare output
def s fn x:Integer [Integer] [mul 2 x]  s 21	42	2 pairs — bracketed output
def s fn [x:Integer Integer [mul 2 x]]  s 21	42	2 pairs — whole triple listed, bare in/out
def s fn [[x:Integer] Integer [mul 2 x]]  s 21	42	3 pairs — listed triple, bracketed input
def s fn [x:Integer [Integer] [mul 2 x]]  s 21	42	3 pairs — listed triple, bracketed output
def s fn [[x:Integer] [Integer] [mul 2 x]]  s 21	42	4 pairs — the fully canonical spelling
#
# That the six are one VALUE, and not merely one answer, is pinned in
# lang/go/test/fn_triple_compiled_test.go — see
# TestFnSignatureSpellingsAreOneValue. It cannot live here: the assertion
# `deq (canon a/v) (canon b/v)` passes a function VALUE to a word, which
# the compiler declines (Stage 3, soundness), and this corpus holds
# failureCeiling = 0. Same split this file's header describes for
# computed operands.
#
# §3  literal value patterns as the input
def z fn 0 [String] ['zero']  z 0	'zero'	literal value pattern admits the matching value
def z fn 0 [String] ['zero']  z 1	ERROR:signature_error	literal value pattern rejects other values
#
# §4  negatives — the (tnot List) input rule, the List body rule, type enforcement
def f fn [x:Integer] [Integer] [x mul 2]  f 5	ERROR:fn_error	a LIST input selects the spec-list form, which requires triples
def f fn List [Integer] [size]	ERROR:signature_error	a bare List type literal input is rejected by (tnot List) — a single List-typed param needs the spec-list form
def f fn List Any [1] end 7	ERROR:signature_error	NUR091: the same rejection is LOUD whatever the output slot — `fn` that took nothing raises at the declaration instead of stranding its operands
fn List Any [1]	ERROR:signature_error	NUR091: the bare statement raises the same way
def z fn 0 [Integer] 1  z 0	ERROR:signature_error	a non-list body does not fill the List-typed body slot
