# boru Language Specification: module-system edge cases II
# Format: input<TAB>expected<TAB>description
#
# Continuation of edge-modules-1.tsv: export bookkeeping (duplicates,
# trailing body code, namespace re-export), module bodies that
# fail, minted types crossing the boundary with their constructors,
# the unpack module forms, and the builtin wrappers' numeric /
# ordering vocabulary under edge operands.
#
# ─────────────────────────────────────────────────────────────────────
# §1  export bookkeeping
import module [export "M" {a:1} export "M" {a:2}] M.a	2	a duplicate export name inside ONE module: last wins
import module [export "M" {a:1} def z 9] M.a	1	body statements after an export still run; the export stands
import module [def a 1 end def b 2 end export "M" {s: (a add b)}] M.s	3	`end`-separated body statements sequence like any program
import module [export "A" {x:1} export "B" {y:2}] B.$name	'B'	each namespace carries its own $name
import [[Foo X]] module [export "Foo" {a:1}] X.$name	'Foo'	a pair-renamed binding keeps the DECLARED export name
import module [import module [export "I" {v: 40}] export "O" {I: I}] O.I.v	40	a namespace itself can be re-exported — the inner namespace rides out whole
def m (module [export "MM" {v: 1}]) import m end import m end MM.v	1	importing the same Module value twice is idempotent
#
# §2  failing module bodies
import module [raise mod_boom "x"]	ERROR:mod_boom	a raise in the module body aborts the import with the body's code
import module [def x (1 div 0)]	ERROR:division by zero	a native error in the body aborts the import the same way
#
# §3  minted types cross with their constructors
import module [def Age (refine Integer) export "M" {Age: Age}] M.Age istype	true	an exported newtype is a first-class type importer-side
import module [def Age (refine Integer) export "M" {Age: Age}] M.Age teq Integer	false	…and a NOMINAL mint, distinct from its base type
import module [def P class {x:Integer} export "M" {P: P}] make M.P {x:3} dot x eq 3	true	an exported class constructs importer-side via make
#
# §4  unpack — module words without the namespace
unpack "boru:logic-util" nand true true	false	unpack binds a module's words bare
unpack "boru:logic-util" nor false false	true	…all of them
unpack "boru:logic-util" LogicUtil.nand true true	ERROR:undefined_word	unpack does NOT bind the namespace — only the bare words
unpack StringUtil "boru:string-util" upper "ab"	'AB'	the export-named unpack form works for any builtin
#
# §5  builtin wrappers — rounding family at the halves and negatives
import "boru:math-util" MathUtil.floor -2.5	-3	floor moves toward -inf
import "boru:math-util" MathUtil.ceil -2.5	-2	ceil moves toward +inf
import "boru:math-util" MathUtil.round 2.5	3	round halves go AWAY from zero…
import "boru:math-util" MathUtil.round -2.5	-3	…in both directions
import "boru:math-util" MathUtil.trunc -4.9	-4	trunc moves toward zero
import "boru:math-util" MathUtil.sign 0	0	sign of zero is zero
import "boru:math-util" MathUtil.min -3 -7	-7	min of negatives
import "boru:math-util" MathUtil.exp 0.0	1.0	e^0
import "boru:math-util" MathUtil.log2 1.0	0.0	log2 of one
import "boru:math-util" MathUtil.pi	3.141592653589793	the constant words are 0-arg exports
import "boru:math-util" MathUtil.e	2.718281828459045	…fired transparently on access
import "boru:math-util" MathUtil.atan2 1.0 0.0	0.0	sig order: atan2 x y — the SECOND operand is the ordinate
import "boru:math-util" MathUtil.fma 2.0 3.0 4.0	10.0	three-arg wrapper: a mul b add c, in source order
import "boru:math-util" MathUtil.sqrt (MathUtil.abs -16.0)	4.0	wrappers compose like any words
#
# §6  builtin wrappers — string vocabulary under edge operands
import "boru:string-util" StringUtil.concat ["a" "b"]	'ab'	concat takes the LIST form, not two bare strings
import "boru:string-util" StringUtil.indexof "ell" "hello"	1	indexof is needle-first, haystack-last
import "boru:string-util" StringUtil.contains "ell" "hello"	true	contains is needle-first too…
import "boru:string-util" StringUtil.contains "hello" "ell"	false	…GOTCHA: swapped operands quietly answer the wrong question
import "boru:string-util" StringUtil.lower "ÅB"	'åb'	case mapping is Unicode-aware
#
# §7  builtin wrappers — connectives are truthiness-driven
import "boru:logic-util" LogicUtil.nand 1 2	false	non-Boolean operands go through truthiness (1 and 2 are truthy)
import "boru:logic-util" LogicUtil.nor false true	false	nor is order-free
import "boru:logic-util" LogicUtil.xnor true true	true	two trues agree
import "boru:logic-util" LogicUtil.iff false false	true	iff of two falses holds
#
# §8  module fns — arity, templates, and higher-order use
import module [def f3 fn [[a:Integer b:Integer c:Integer] [Integer] [((a mul 100) add (b mul 10)) add c]] export "M" {f3: f3/v}] M.f3 1 2 3	123	three forward args bind in source order
import module [def f3 fn [[a:Integer b:Integer c:Integer] [Integer] [((a mul 100) add (b mul 10)) add c]] export "M" {f3: f3/v}] 1 2 3 M.f3	321	GOTCHA all-stack: sig position 0 is top of stack — the order reverses
import module [def greet fn [[nm:String] [String] [`hi ${nm}`]] export "M" {greet: greet/v}] M.greet "bob"	'hi bob'	a template string in a module fn body interpolates module-side
import module [def inc fn [[x:Integer] [Integer] [x add 1]] export "M" {inc: inc/v}] [1 2 3] each [M.inc]	[2 3 4]	a module fn drives a higher-order body
#
# §9  export payload shapes II
import module [export "M" {flag: true, nothing: none}] M.flag	true	Boolean exports are plain values
import module [export "M" {v: (2 add 3)}] M.v	5	an export value may be COMPUTED in the module body
import module [export "M" {a:1} export "M" {a:2}] M.$module.exports size	1	duplicate export names collapse to one descriptor entry
import module [def T (refine Integer) export "M" {a: 1}] T	ERROR:undefined_word	an unexported module TYPE stays private
import [foo bar] module [export "foo" {a:1}] bar.a	1	renaming works on lowercase exports too
import "boru:test" Test.$name	'Test'	a multi-namespace builtin: each binding knows its own name
#
# §10  builtin wrappers — numeric edges II
import "boru:math-util" 3.0 4.0 MathUtil.hypot	5.0	stack dispatch through a two-arg Float wrapper
import "boru:math-util" MathUtil.logb 8.0	3.0	binary exponent
import "boru:math-util" MathUtil.remainder 7.0 4.0	-3.0	GOTCHA sig order: IEEE remainder(4, 7) — the top-first convention again
import "boru:math-util" MathUtil.max nan 1.0	1.0	max ignores a NaN operand
import "boru:math-util" MathUtil.min 2 1.5	1.5	mixed-type min promotes and compares
import "boru:string-util" StringUtil.pad 5 "ab"	'ab   '	pad right-fills with spaces to the width
#
# §11  wrapper composition and collisions
import module [def sq fn [[x:Integer] [Integer] [x mul x]] export "M" {sq: sq/v}] M.sq (M.sq 3)	81	a module fn nests inside its own argument position
import module [export "MathUtil" {sqrt: 1}] import "boru:math-util" MathUtil.sqrt 16.0	4.0	a later builtin import shadows an inline export of the same namespace
import module [def v 1 export "M" {v: v} def v 2] M.v	1	an export captures the value AT EXPORT TIME — a later body rebind is invisible
import [[foo bar]] module [export "foo" {a:1}] bar.$name	'foo'	pair-renamed lowercase exports keep their declared $name
import "boru:bin-util" 255 BinUtil.popcount	8	stack dispatch through a bin wrapper
import "boru:math-util" MathUtil.nextafter 1.0 2.0	1.9999999999999998	GOTCHA sig order: nextafter steps 2.0 TOWARD 1.0 (top-first again)
import "boru:math-util" MathUtil.abs -5 add 2	7	a wrapper result feeds forward collection like any value
unpack all "boru:logic-util" nand true true	ERROR:unpack_error	the `all` selector is for maps — module unpack has no such form
#
# §12  a module fn's return contract is the frame's (NUR191, closed 2026-09-25)
import module [def d1 fn [[x:Integer] [Integer] [x 3]] export "M" {d1: d1/v}] M.d1 10	ERROR:expected 1 return value(s), got 2	a module fn leaving two values under a one-return contract raises the frame's count error — the CallBoru seam used to hand both back (`10 3`)
import module [def d1 fn [[x:Integer] [Integer] []] export "M" {d1: d1/v}] M.d1 10	ERROR:expected 1 return value(s), got 0	…too few raises too
import module [def d1 fn [[x:Integer] [Integer] [x 'a']] export "M" {d1: d1/v}] M.d1 10	ERROR:expected 1 return value(s), got 2	…and the count is checked before the types, as the frame checks it
import module [def d1 fn [[x:Integer] [Integer Integer] [x 3]] export "M" {d1: d1/v}] M.d1 10	10 3	a two-return contract met is two values
import module [def mk fn [[k:Integer] [Function] [([n:Integer] => [n add k])]] def d1 fn [[x:Integer] [Function] [(mk x)]] export "M" {d1: d1/v}] 3 M.d1 10 typeof	3 Function	a module fn's single returned closure is PARKED where it lands, as a frame's return is — it used to re-step over the 3 (13)
import module [def mk fn [[k:Integer] [Function] [([n:Integer] => [n add k])]] def d1 fn [[x:Integer] [Function] [(mk x)]] export "M" {d1: d1/v}] ((M.d1 10) 3)	13	…and the paren re-step applies it, as it applies any parked value
import module [def mk fn [[k:Integer] [Function] [([n:Integer] => [n add k])]] def d1 fn [[x:Integer] [Integer] [(mk x) 3]] export "M" {d1: d1/v}] M.d1 10	ERROR:expected 1 return value(s), got 2	a factory's residual of a parked closure and a value is the count error the frame raises — the seam used to re-step the closure over the 3 (13)
