# boru Language Specification: MODULE and multi-construct COMPOSITION
# Format: input<TAB>expected<TAB>description
#
# Family: module-composition. Every row deliberately combines 3-5
# constructs in ONE program — the way a real .boru file does, and the way
# the old one-liner corpus never did. The recurring shapes: an inline
# `module […]` (or a native `boru:*` import) that exports a fn, a class, a
# minted type or a dispatch table; an importer-side `def fn` that wraps
# it; an `each` / `for-each` / `filter` / `for` / `while` driving it over
# a collection; and a `fold` / `join` / `emit` closing the pipeline.
#
# WHY THIS FILE EXISTS. A compile refusal is WHOLE-PROGRAM and latches on
# the FIRST unsupported construct. The median spec row is ~40 characters;
# the median real .boru file is ~10,472. So a corpus of one-liners scores
# ~96% while real programs score ~65% — the gap is composition, not any
# single word. These rows put the constructs together on purpose.
#
# EVERY row's expected column is the INTERPRETER's own answer, rendered
# through core.Canon exactly as the spec runner renders it, and measured —
# never guessed. Every row leaves exactly ONE value on the stack.
#
# ROWS THAT REFUSE TO COMPILE ARE RECORDED DELIBERATELY, AS OPEN DEFECTS.
# They are gathered in §6 and each description quotes the reason
# `BORU_FORCE_COMPILE=1` printed, verbatim, so the reason text is the
# ledger of what is left to build. They are not mistakes and must not be
# deleted to make a ceiling green.
#
# THREE ROWS IN §6 ARE WORSE THAN A REFUSAL: they COMPILE and then give a
# DIFFERENT ANSWER (or no answer at all) from the interpreter. Those are
# marked "DIVERGES (no refusal)". They are the reason a refusal ratchet
# alone is not enough — the compiled lane can be wrong silently.
#
# NOTE FOR THE RATCHET: test/go/langspec/compiled_coverage_test.go holds
# refusalCeiling = 0 and compiled_fullcorpus_test.go asserts interpreter/
# compiled parity for every row. The §6 rows are NEW EVIDENCE, not
# regressions — the ceiling must be re-based (or this file moved under
# lang/spec/frontier/) when the corpus is next gated.
#
# Counts at the time of writing: 69 rows, 56 compile, 10 refuse with a
# force-compile reason, 1 aborts the compiled lane with tape_exhausted,
# 2 compile to the wrong value.
#
# ─────────────────────────────────────────────────────────────────────
# §1  An INLINE MODULE whose exported fn drives an each, folded to a scalar.
#     Four constructs a row: module body + def fn + each + fold.
import module [def dbl fn n:Integer Integer [n mul 2] export "M" {dbl: dbl/v}] end fold [add] (each [M.dbl] [1 2 3]) 0	12	module + fn + each over the export + fold — the smallest whole-file shape
import module [def sq fn n:Integer Integer [n mul n] export "M" {sq: sq/v}] end def f fn xs:List Integer [fold [add] (each [M.sq] xs) 0] end f [1 2 3]	14	module + exported fn + an IMPORTER fn whose body does each+fold over it
import module [def a1 fn n:Integer Integer [n add 1] def m10 fn n:Integer Integer [n mul 10] export "M" {a: a1/v m: m10/v}] end each [M.m] (each [M.a] [1 2 3])	[20 30 40]	two exports from one module chained as two nested eaches
import module [def seed 10 def steps [1 2 3] def run fn [[][Integer][fold [add] (each [add seed] steps) 0]] export "M" {run: run/v}] end each [mul (M.run)] [1 2]	[36 72]	a 0-arity exported fn closing over two module-private defs, called inside an each body
import module [def cfg {base: 10 step: 2} export "M" {cfg: cfg}] end each [mul M.cfg.step] (each [add M.cfg.base] [1 2 3])	[22 24 26]	a MAP export read by dot chain inside two stacked each bodies
import module [def conf {f: 2} def scale fn n:Integer Integer [n mul conf.f] export "M" {scale: scale/v conf: conf}] end each [M.scale] (each [add M.conf.f] [1 2 3])	[6 8 10]	module-private config read by an exported fn AND by the importer, both inside eaches
#
# §2  A NATIVE module (boru:*) behind a user fn, driven over a collection and
#     reduced — import + def fn + each/filter + fold/join.
import "boru:string-util" end def f fn s:String String [StringUtil.upper (StringUtil.trim s)] end join ',' (each [f] ['  a ' ' b '])	'A,B'	import + fn wrapping two module words + each + join
import "boru:string-util" end def kvs fn s:String List [StringUtil.split '=' s] end fold [add] (each [size] (each [kvs] ['a=1' 'bb=22'])) 0	4	a splitting fn, each-ed, then each-ed again for size, then folded
import "boru:string-util" end def up fn r:Map Map [{k: (StringUtil.upper r.k)}] end each [up] [{k:'a'} {k:'b'}]	[{k:'A'} {k:'B'}]	a fn that rebuilds a MAP LITERAL from a module word, mapped over records
import "boru:string-util" end def rows [{n:'ann' a:30} {n:'bob' a:20}] end join ',' (each ([r:Map] => [StringUtil.upper r.n]) (filter ([p:Any] => [p.value.a gt 25]) rows))	'ANN'	filter with a Function callback, each with a lambda calling a module word, then join
import "boru:math-util" end def mean fn xs:List Float [(fold [add] xs 0.0) div (size xs)] end mean [1.0 2.0 6.0]	3.0	import + fn whose body folds and divides — the statistics-helper shape
import "boru:array-util" end def top fn xs:List List [ArrayUtil.unique (each [mul 2] xs)] end fold [add] (top [1 1 2]) 0	6	an each nested INSIDE a fn body that calls a module word, result folded outside
import "boru:array-util" end def rows [{g:'x' v:1} {g:'y' v:2} {g:'x' v:3}] end each [size] (ArrayUtil.group (each [dot g] rows) rows)	{x:2 y:1}	each projecting a key, ArrayUtil.group over it, each again for the bucket sizes
#
# §3  A CLASS or minted TYPE that crosses the module boundary: export + make +
#     each + dot + fold.
import module [def P class {n:Integer} export "M" {P: P}] end def ps [(make M.P {n:1}) (make M.P {n:2})] end fold [add] (each [dot n] ps) 0	3	exported class + make importer-side + each dot + fold
import module [def cls class {n:Integer} def mk fn v:Integer cls [make cls {n: v}] export "M" {mk: mk/v cls: cls}] end fold [add] (each [dot n] (each [M.mk] [1 2 3])) 0	6	the constructor fn is exported too — each builds the instances, each reads them, fold sums
import module [def Shape class {n:Integer} def area fn s:Shape Integer [s.n mul s.n] export "M" {Shape: Shape area: area/v}] end fold [add] (each [M.area] (each ([k:Integer] => [make M.Shape {n: k}]) [1 2 3])) 0	14	a method-like fn typed on the exported class, over instances built by a lambda each
import module [def Shape class {n:Integer} def area fn s:Shape Integer [s.n mul s.n] export "M" {Shape: Shape area: area/v}] end def shapes (each ([k:Integer] => [make M.Shape {n: k}]) [1 2 3]) end join ',' (each [convert String] (each [M.area] shapes))	'1,4,9'	the same, bound to a local, then each + convert + join — five constructs in one row
import module [def A (refine Integer) def mk fn n:Integer A [def v:A n v] export "M" {A: A mk: mk/v}] end each [typeof] (each [M.mk] [1 2])	[A A]	a NEWTYPE minted in the module body survives each — typeof reports the nominal mint
import module [import "boru:math-util" end def P class {x:Float y:Float} def norm fn p:P Float [MathUtil.sqrt ((p.x mul p.x) add (p.y mul p.y))] export "M" {P: P norm: norm/v}] end each [M.norm] [(make M.P {x:3.0 y:4.0}) (make M.P {x:6.0 y:8.0})]	[5.0 10.0]	the module body imports its OWN dependency (the importer namespace is invisible there)
#
# §4  DISPATCH TABLES exported from a module: a map of fns or of data, looked
#     up by key inside a callback.
import module [def tbl {a: 1 b: 2} def lookup fn k:String Integer [tbl k get] export "M" {lookup: lookup/v tbl: tbl}] end fold [add] (each [M.lookup] (keys M.tbl)) 0	3	a module-private table behind an exported lookup, driven over its own exported keys
import module [def h1 fn n:Integer Integer [n add 1] def h2 fn n:Integer Integer [n mul 10] def tbl {inc: h1/v ten: h2/v} export "M" {tbl: tbl}] end each ([k:String] => [((M.tbl k get) 4)]) ['inc' 'ten']	[5 40]	a HANDLER TABLE of fn values exported whole, each entry fetched by key and called
import module [def t {inc: (fn n:Integer Integer [n add 1])} export "M" {t: t}] end fold [add] (each ([k:String] => [((M.t k get) 10)]) ['inc' 'inc']) 0	22	an anonymous fn parked in an exported map, called back twice and folded
import module [def inc fn n:Integer Integer [n add 1] export "M" {inc: inc/v}] end fold [add] (vals (each [M.inc] {a:1 b:2})) 0	5	each over a MAP with a module callback, vals, then fold
import module [def inc fn n:Integer Integer [n add 1] export "M" {inc: inc/v}] end def g M.inc/v end fold [add] (each [g] [1 2 3]) 0	9	an export re-bound importer-side with /v, then used as an each body and folded
#
# §5  MUTABLE ACCUMULATORS — flex stores fed by for-each / for with a module
#     word in the body. This is the loop real files write.
import module [def dbl fn n:Integer Integer [n mul 2] export "M" {dbl: dbl/v}] end def acc (flex []) end for-each ([x:Integer] => [acc push (M.dbl x)]) [1 2 3] end acc	(flex [2 4 6])	flex list + for-each lambda + module fn — the canonical accumulator
import module [def dbl fn n:Integer Integer [n mul 2] export "M" {dbl: dbl/v}] end def t (flex {n:0}) end for-each ([x:Integer] => [t set 'n' (t.n add (M.dbl x))]) [1 2 3] end t	(flex {n:12})	a running total in a flex MAP, updated through set with a module call
import "boru:string-util" end def acc (flex {}) end for-each ([kv:KeyVal] => [acc set (StringUtil.upper kv.k) (kv.v mul 2)]) {a:1 b:2} end acc	(flex {A:2 B:4})	for-each over a map: a native module word rewrites the KEY, the value is scaled
import "boru:array-util" end import module [def norm fn n:Integer Integer [n mod 4] export "M" {norm: norm/v}] end def acc (flex []) end for-each ([x:Integer] => [acc push (M.norm x)]) (ArrayUtil.unique [1 5 9 2]) end acc	(flex [1 1 1 2])	two modules + flex + for-each over a COMPUTED collection
import module [def dbl fn n:Integer Integer [n mul 2] export "M" {dbl: dbl/v}] end def acc (flex []) end for 3 [acc push (M.dbl i) drop] end acc	(flex [0 2 4])	the numeric `for` range form with the loop variable i feeding a module call
import module [def dbl fn n:Integer Integer [n mul 2] export "M" {dbl: dbl/v}] end def stp fn e:Integer Any [acc push (M.dbl e)] end def acc (flex []) end for-each stp/v [1 2] end acc	(flex [2 4])	a NAMED step fn (declared before the store it writes) handed to for-each as a value
#
# §6  The OPEN DEFECTS. Every row below runs correctly on the interpreter and
#     is rejected (or silently mis-executed) by the bytecode compiler. The
#     reason text is quoted verbatim from `BORU_FORCE_COMPILE=1`.
import module [def dbl fn n:Integer Integer [n mul 2] export "M" {dbl: dbl/v}] end def acc (flex []) end for-each [M.dbl acc swap append drop] [1 2 3] end acc	(flex [2 4 6])	REFUSES: "residual value of unknown provenance" — the same accumulator with a CODE body
import "boru:string-util" end def acc (flex []) end for-each [StringUtil.upper acc swap append drop] ['a' 'b'] end join ',' (valof acc)	'A,B'	REFUSES: "operand of unknown provenance or not statically materialisable at join" — flex fill then join
import module [def mk fn k:Integer Function [([n:Integer] => [n add k])] export "M" {mk: mk/v}] end def a5 (M.mk 5) end each [a5] [1 2 3]	[6 7 8]	REFUSES: "code-body word each (Stage 2)" — a module-made CLOSURE bound, then used as an each body
import module [def mk fn k:Integer Function [([n:Integer] => [n add k])] export "M" {mk: mk/v}] end def a5 (M.mk 5) end each a5/v [1 2 3]	[6 7 8]	REFUSES: "unmatched dispatch recovered at each" — the /v spelling of the same call
import module [def mk fn k:Integer Function [([n:Integer] => [n add k])] export "M" {mk: mk/v}] end def fs {a: (M.mk 1) b: (M.mk 2)} end (fs.b 10)	12	REFUSES: "fn-value application bounded by a paren (dynamic value precedes args)" — a MAP of module-made closures
