# boru Language Specification: CODE BODIES and quoted operands
# Format: input<TAB>expected<TAB>description
#
# Family: code-bodies. The construct family that declines most in REAL
# code: `do` bodies; `if` / `case` / `guard` / `var` / `while` / `for`
# bodies; bodies bound to a `def` and driven later; bodies parked in a
# map, a list or a flex store and fetched at run time; bodies over
# COMPUTED collections; bodies that define locals; bodies that read an
# enclosing binding; bodies that MUTATE an enclosing binding from inside
# a loop; a code body arriving as a function PARAMETER; quoted lists
# evaluated later; and the macro-ish / quoted-operand shapes (`quote`,
# `unquote`, `splice`, `macro`, `behave`, query clause lists).
#
# EVERY row's expected column is the value the INTERPRETER produces,
# measured — never guessed. Each input was run as
#   boru do -no-compile '<input> end <drops> canon end print end <drops>'
# once per residual slot, so the expected column is literally
# `core.Canon(stack)`, the string test/specfix compares against. The
# capture method was validated against 380 existing rows (control,
# codequote, list, higher-order, macro, each-variants, callbacks) before
# a single row here was written; it reproduced all 380 exactly.
#
# ROWS THAT FAIL TO COMPILE TO COMPILE ARE RECORDED DELIBERATELY, AS OPEN
# DEFECTS. Each such row was then run under `BORU_FORCE_COMPILE=1` and
# its description carries the compile failure VERBATIM, so the reason text is
# the ledger of what is left to build. They are not mistakes and must
# not be deleted to make a ceiling green. The compiler scores ~96% on
# the old one-liner corpus and ~65% on real files precisely because a
# compile failure is WHOLE-PROGRAM and latches on the FIRST unsupported
# construct, and the old corpus never COMBINED constructs. Combining
# them is what this file does.
#
# Two rows are marked `DOES NOT COMPILE: HARD ERROR` rather than a compile failure:
# under BORU_FORCE_COMPILE=1 they do not decline the program, they
# ABORT it — an internal_error or a case_error the interpreter never
# raises. Those are the sharpest defects in the file.
#
# NOTE FOR THE RATCHET: test/go/langspec/compiled_coverage_test.go holds
# failureCeiling = 0. The declining rows below are NEW EVIDENCE, not
# regressions — the ceiling must be re-based (as it must for
# callbacks.tsv and each-variants.tsv, written in the same corpus
# expansion), or this file moved under a documented tier.
#
# Two known defects found while writing this file are DELIBERATELY NOT
# recorded as rows, because they would fail hard gates rather than a
# ratchet, and a red differential gate hides everything else:
#
#   1. SILENT WRONG ANSWER (fails TestSpecCompiledDifferential):
#        def t 0 end for 3 [each [def t (t add 1) t] [0] drop] end t
#      interpreter -> 3, bytecode -> 0. An `each` body's `def` of an
#      enclosing binding is LOST when the each sits inside a `for` body.
#      Compare the row in section 9 with the `do` wrapper, which declines
#      cleanly, and the bare `for 3 [def t (t add 1)]`, which is correct.
#
#   2. NON-TERMINATION (fails everything, slowly):
#        def t 0 end while [t lt 3] [each [def t (t add 1) t] [0] drop] end t
#      interpreter -> 3; under BORU_FORCE_COMPILE=1 the same program
#      spins to the 10,000,000-step evaluation limit. Same lost `def`
#      as (1), but now the loop's own exit condition depends on it.
#
# See also: each-variants.tsv (the `each` family), callbacks.tsv (fn
# values travelling as data), control.tsv (the one-liner baseline).

#
# §1  `do` bodies — the plainest code body there is
do [1 add 2 end 3 mul 4]	3 12	two independent results from one body
do []		an empty body leaves the stack untouched
do [1 add 2] mul 10	30	a downstream word consumes the body's single result
do [10 20] add 5	10 25	a downstream word consumes only the TOP of a multi-value residual
do [do [1 add 2]]	3	a body nested one deep
do [do [do [1 add 2]]]	3	three levels of `do`
do [do [2 mul 3] add 4]	10	an inner body's result feeds the outer body
do [1] do [2]	1 2	two sibling bodies at the top level
do [do [1] do [2]]	1 2	two sibling bodies INSIDE a body
do [[1 2] [3 4]]	[1 2] [3 4]	list literals in a body are values, not code
do {a:(1 add 2) b:4}	{a:3 b:4}	`do` over a MAP evaluates the values
do [{a:(1 add 2) b:(2 mul 3)}]	{a:3 b:6}	a map literal built inside a body
#
# §2  bodies that define locals
do [def y 4 y mul y]	16	a body that defines a local and uses it
do [def y 4 end y add 1]	5	the same with an explicit barrier
do [def a 1 def b 2 a add b]	3	two locals in one body
do [def a 1 def b (a add 1) def c (b add 1) c]	3	a chain of locals, each built from the last
do [def a 1 a] add (do [def b 2 b])	3	two bodies with same-shaped locals, combined
def x (do [def a 1 a add 1]) end x	2	a body's local escapes only as the body's value
do [def m {a:1} m set (quote b) 2]	{a:1 b:2}	a local map grown inside the body
#
# §3  bodies that reference an ENCLOSING binding
def x 7 end do [x mul 3]	21	a body reads a binding from the enclosing scope
def x 7 end do [do [x add 1] mul 2]	16	…through two levels of body
def k 10 end each [add k] [1 2 3]	[11 12 13]	an `each` body closes over an enclosing binding
def k 10 end do [each [add k] [1 2 3]]	[11 12 13]	…with the `each` itself inside a `do` body
def k 10 end fold [add] (each [mul k] [1 2]) 0	30	enclosing binding read in a body feeding a fold
def n 5 end do [`n=${n}`]	'n=5'	string interpolation inside a body reads the enclosing binding
def n 5 end each [`v=${n}`] [1]	['v=5']	…and inside an each body
def n 5 end def later (quote [n mul 2]) end def n 7 end do later	14	a quoted body binds its free word LATE — the second `def n` wins
#
# §4  bodies bound to a `def`, then used
def body (quote [1 add 2]) end do body	3	a body must be QUOTED to survive a def (a bare list would auto-evaluate)
def body (quote [add 1]) end each body [1 2 3]	[2 3 4]	the def-bound body drives an each
def body (quote [dup mul]) end each body [1 2 3]	[1 4 9]	a stack-shuffling def-bound body
def body (quote [add]) end fold body [1 2 3 4] 0	10	a def-bound body as a fold step
def b (quote [add]) end scan b [1 2 3]	[1 3 6]	…and as a scan step
def b (quote [gt 1]) end filter b [1 2 3]	[2 3]	…and as a filter predicate
def b (quote [i mul 2]) end for 3 b	0 2 4	…and as a `for` body, reading the loop word `i`
def b (quote [i lt 3]) end def i 0 end while b [def i (i add 1)] end i	3	…and as a `while` CONDITION body
def b (quote ['caught']) end do [raise oops 'x'] error b	'caught'	…and as an `error` handler body
def th (quote [1 add 2]) end if true th [0]	3	a def-bound `if` THEN branch
def th (quote [1 add 2]) end def el (quote [9]) end if false th el	9	both branches def-bound
def n 2 end def th (quote [n mul 10]) end if (n gt 1) th [0]	20	a def-bound branch that closes over a binding
def clauses (quote [1 'one' 2 'two' 'many']) end case 2 clauses	'two'	a def-bound `case` clause list
def b1 (quote [add 1]) end def b2 (quote [mul 2]) end each b2 (each b1 [1 2 3])	[4 6 8]	two def-bound bodies chained
def b (quote [add 1]) end each b [1 2] end each b [3 4]	[2 3] [4 5]	one def-bound body reused at two call sites
def b (quote [mul 2]) end fold [add] (each b [1 2 3]) 0	12	a def-bound map body feeding a literal fold body
#
# §5  bodies parked in a container, fetched, then run
def ops {inc:(quote [add 1]) dbl:(quote [mul 2])} end each ops.dbl [1 2 3]	[2 4 6]	a body read out of a map by dotted access
def ops {inc:(quote [add 1]) dbl:(quote [mul 2])} end def k 'inc' end each (ops get k) [1 2 3]	[2 3 4]	…by a COMPUTED key
def ops [(quote [add 1]) (quote [mul 2])] end each (ops get 1) [1 2 3]	[2 4 6]	a body read out of a list by index
def bodies {inc:(quote [add 1]) dbl:(quote [mul 2])} end each bodies.inc (each bodies.dbl [1 2])	[3 5]	two map-held bodies composed
def m {f:(quote [add 1])} end do [each m.f [1 2 3]]	[2 3 4]	a map-held body driven from inside a `do` body
def bodies (flex {inc:(quote [add 1])}) end each bodies.inc [1 2]	[2 3]	the same map made MUTABLE (flex) — DOES NOT COMPILE: "code-body word each (Stage 2)"
