# tokens	expected	note
# =====================================================================		
# record — explicit record-shape constructor		
# =====================================================================		
# `refine Record [{a:Integer} {b:String} …]` builds a record type		
# of single-pair maps. Each pair becomes one named field with a type		
# constraint. Records are the explicit, named-shape counterpart to		
# the implicit `{a:Integer}` literal — but the two have different		
# semantics:		
#		
#   { a:Integer }                  — implicit shape, used for		
#                                    structural `is` checks. The		
#                                    parser flags the value as a		
#                                    Node-family TYPE.		
#   refine Record [ {a:Integer} ] — explicit record type value;		
#                                    a stronger nominal-leaning form.		
#		
# In particular, `is` against an explicit `record [...]` is currently		
# narrower than `is` against the implicit shape — the explicit form		
# is intended primarily as a building block for `refine NAME record …`		
# and downstream `make NAME` instantiation.		
#		
# This file documents:		
#		
#   1. Construction.		
#   2. Rendering and typeof.		
#   3. Naming via `def NAME (refine Record …)`.		
#   4. Instantiation via `make NAME …`.		
#   5. Structural conformance: which forms work, which return false.		
#   6. Errors / malformed records.		
#		
# Runs against the production lang registry (test/go/langspec).		
		
		
# ====================================================================		
# 1. Construction		
# ====================================================================		
# The argument is a LIST of single-pair maps. Each pair contributes		
# one field. The parser builds the inner `{k:Type}` literals as		
# implicit-map shapes, which `record` consumes element-by-element.		
		
# Note on rendering: a record value's underlying Data is a		
# RecordTypeInfo, not a plain OrderedMap, so the spec runner's		
# map-aware renderer falls through to v.String() — which emits		
# fields comma-separated rather than space-separated.		
refine Record [ { a:Integer } ]	record{a:Integer}	one-field record
refine Record [ { a:Integer } { b:String } ]	record{a:Integer b:String}	two-field record (comma-separated)
refine Record [ { a:Integer } { b:String } { c:Boolean } ]	record{a:Integer b:String c:Boolean}	three-field record
		
# Same-typed fields are fine — fields are by name not by type.		
refine Record [ { x:Integer } { y:Integer } ]	record{x:Integer y:Integer}	
		
# Field types may be any type literal, including subtypes.		
refine Record [ { age:Number } ]	record{age:Number}	
refine Record [ { tag:Atom } ]	record{tag:Atom}	
		
# ====================================================================		
# 2. typeof and is		
# ====================================================================		
# A record value's VType is Node/Map (records share the map vtype),		
# so `typeof` reports `Map`. The richer 'this is a record'		
# information lives in the value's Data subtype.		
		
typeof (refine Record [ { a:Integer } ])	Map	records are Map-typed under the hood
(refine Record [ { a:Integer } ]) is List	false	a record is not a list
		
# ====================================================================		
# 3. Naming via `def NAME (refine Record …)`		
# ====================================================================		
# `def NAME (refine Record …)` binds NAME to the record type,		
# making NAME usable as a type literal. The bound type is the same		
# RecordType the body produced.		
		
def R (refine Record [ { a:Integer } ]) R	R	the name denotes its minted node and renders as the name (§6); the field schema is the node's recorded content
def R (refine Record [ { a:Integer } ]) typeof R	Map	the RecordType's metatype is Map
		
# Defining and re-querying.		
def R (refine Record [ { a:Integer } { b:String } ]) R	R
		
# ====================================================================		
# 4. Instantiation via `make NAME …`		
# ====================================================================		
# `make NAME data` creates a value carrying the named record's shape.		
# The result is a regular map-typed value (it round-trips through		
# typeof as `Map`), but its underlying data carries the record's		
# typed schema for downstream tools.		
		
def R (refine Record [ { a:Integer } ]) make R { a:5 }	{a:5}
def R (refine Record [ { a:Integer } { b:String } ]) make R { a:1 b:'x' }	{a:1 b:'x'}
