# tokens	expected	note
# =====================================================================		
# Structure — non-scalar values inside Nodes, resolved at depth		
# =====================================================================		
# Companion to nodes.tsv. Where nodes.tsv covers the structural		
# mechanics of List/Map (construction, auto-eval, quoting) with mostly		
# scalar contents, this file focuses on what happens when the *values*		
# inside a structure are richer: type literals, record-shape maps,		
# enums (disjuncts), Function values, FunctionSignature type values, and atoms —		
# and especially on `def` references to such values resolving		
# arbitrarily deep inside nested Lists and Maps.		
#		
# Notes on a couple of rough edges:		
#   - Function and FunctionSignature *values* stringify verbosely (they carry		
#     whole signature structs), so rows that embed them check the		
#     containing Node's `typeof` / `is` rather than rendering the		
#     value itself.		
#   - A `def`-bound *function* referenced bare inside a structure		
#     auto-invokes (the FnDef-literal auto-call rule) rather than		
#     embedding the function value — so `def f fn[…] {x:f}` is an		
#     error, not `{x:<fn>}`. To embed a function value, write the		
#     `( fn … )` literal inline.		
#   - Class / record *instances* (via `make Type …` /		
#     `make RecordType …`) need the production constructor words		
#     (`class`, `record`) which aren't in the kernel — those are		
#     covered in lang/spec/object.tsv and lang/spec/record.tsv. A		
#     'record' in the structural sense `{ field:Type … }` (a map all		
#     of whose values are type literals) IS a kernel construct and is		
#     exercised here.		
#		
# === Test fixtures (eng/go/spec_test.go::registerSpecWords) ===		
#   addq / subq / mulq  — [Number Number] forward-prec — args[1] op args[0]		
#   lengthq             — [List] forward-prec — list length		
#   firstq              — [List] forward-prec — first element or None		
#   Pre-bound defs: pi=3, tau=6, greeting='hello'.		
# === end fixtures ===		
		
		
# ====================================================================		
# 1. Type literals as structure values		
# ====================================================================		
# A type literal (Integer, String, …) is a perfectly good Node value.		
# A list of type literals; a map whose values are type literals (the		
# latter is a record-shape — see §2).		
		
[ Integer String Boolean ]	[Integer String Boolean]	list of three type literals
lengthq [ Integer String Boolean ]	3	
firstq [ Integer String ]	Integer	first element is the Integer type literal
{ a:Integer }	{a:Integer}	single type-literal value
{ a:Integer b:String c:Boolean }	{a:Integer b:String c:Boolean}	(fields in source order)
		
# def / type references to a type literal resolve when the structure		
# auto-evaluates.		
def t Integer { x:t }	{x:Integer}	`t` (bound to Integer) resolves as a map value
def t Integer [ t t String ]	[Integer Integer String]	resolves element-wise in a list
def IdType Integer { id:IdType }	{id:Integer}	a type-named binding referenced as a value
def IdType Integer [ IdType String ]	[Integer String]	
		
# ====================================================================		
# 2. Record-shape maps as structure values		
# ====================================================================		
# `{ field:Type … }` — a map all of whose values are type bodies — is		
# a record-shape (a Node-family TYPE). It can sit inside another Node		
# as a value; nesting goes to any depth.		
		
{ schema:{ id:Integer name:String } }	{schema:{id:Integer name:String}}	a record-shape as a map value
{ schema:{ id:Integer name:String } } typeof	Map	the whole thing is itself a record-shape → metatype Type
{ rows:[ { id:Integer } { id:Integer } ] }	{rows:[{id:Integer} {id:Integer}]}	a list of record-shapes as a value
{ outer:{ middle:{ inner:Integer } } }	{outer:{middle:{inner:Integer}}}	three-deep record-shape nesting
{ schema:[ Integer String ] }	{schema:[Integer String]}	a typed-tuple-ish list as a value
		
# def / type references inside record-shapes resolve at depth.		
def t Integer { schema:{ id:t name:String } }	{schema:{id:Integer name:String}}	
def IdType Integer { schema:{ id:IdType } }	{schema:{id:Integer}}	
def t Integer { rows:[ { id:t } { id:t } ] }	{rows:[{id:Integer} {id:Integer}]}	
		
# ====================================================================		
# 3. Enums (disjuncts) as structure values		
# ====================================================================		
