# boru Language Specification: FN-LOCAL DEFS and SCOPE — what a `def`
# inside a fn body means, and who can see it.
# Format: input<TAB>expected<TAB>description
#
# Family: fn-locals-scope. Written to widen the corpus past the
# one-liner shapes it had. Real .boru files do not call a word with two
# literals; they open a fn body, bind three or four locals, define a
# helper fn beside them, branch, loop, and hand a closure to a callback
# — all in the same body. Every row here is one of those shapes.
#
# What the family covers: a body defining a local fn and calling it;
# local helpers that recurse (self, mutual, accumulator); a local whose
# value is COMPUTED (from a param, from a previous local, from an `if` /
# `case` / `do` / `codequote`); REDEFINITION inside a body (and `undef`);
# a local SHADOWING a param, a module-level name, an imported module's
# exported word, and an imported module's NAMESPACE; CONDITIONAL defs
# inside a branch; DYNAMIC-SCOPE reads (a callee seeing the caller's
# body-locals and params); a local read by a NESTED body (capture, its
# snapshot rule, and its transitivity); locals driven by `for` / `while`
# / `for-each`; locals that HOLD functions; and frame teardown.
#
# EVERY row's expected column is the engine's own answer, measured with
# `boru do <input> end canon` on the INTERPRETER (BORU_NO_COMPILE=1) —
# the same canon rendering the spec runner compares against. Nothing
# here is a guess; candidates the interpreter would not run cleanly were
# discarded rather than repaired into something that passes.
#
# ROWS THAT FAIL TO COMPILE TO COMPILE ARE RECORDED DELIBERATELY, AS OPEN
# DEFECTS. Each such row's description begins `DOES NOT COMPILE:` and ends with
# the exact reason `BORU_FORCE_COMPILE=1 boru do …` printed. They are
# not mistakes and must not be deleted to keep a ceiling green: a
# compile compile failure is WHOLE-PROGRAM and latches on the FIRST unsupported
# construct, which is precisely why the compiler scores ~96% on a corpus
# of 40-character one-liners and ~65% on real files whose median size is
# 10,472 characters. The compile failure texts below are the ledger of what is
# left to build.
#
# THE LEDGER. 100 rows: 80 compile, 20 decline, 0 diverge. Six of the
# twenty compile failures are ERROR:-column rows (§5, §12) where the check pass
# is simply agreeing with the interpreter that the program is bad —
# those are NOT gaps. The other FOURTEEN are rows with a real value
# that the compiler will not build, grouped by the exact reason it
# printed:
#
#   6 ×  fn f: body result of unknown provenance
#          — §6: a `def` inside an `if` branch whose name is read after
#            the branch closes. One-sided or two-sided, pre-bound or not,
#            nested or flat: every spelling declines. This is the single
#            biggest gap this family found, and it is the commonest
#            statement in real boru.
#   2 ×  operand of unknown provenance or not statically materialisable at <word>
#          — §6: the same conditionally-def'd local, but consumed by an
#            operator (`add`, `mul`) instead of returned. Different
#            message, same root.
#   2 ×  function value reaches push (Stage 3)
#          — §10: a body-local fn value pushed into a local list, whether
#            written straight or accumulated in a loop. Parking the same
#            value in a local MAP compiles (the row above it), so this is
#            `push` specifically, not fn-values-in-containers.
#   2 ×  check diagnostics: [fn_body_error] … conflicts with an existing type name
#          — §11: a `class` or an `fnsig` declared as a body-local. The
#            interpreter scopes the type to the frame; the check pass sees
#            it as a second global type of that name.
#   1 ×  check diagnostics: [undefined_word] undefined word: n
#          — §9: an `each` callback that redefines a local of the
#            ENCLOSING body. The check pass cannot see the enclosing
#            body-local through the callback boundary at all.
#   1 ×  if: then-branch result of unknown provenance
#          — §6: a body-local fn that RETURNS a closure out of a branch.
#
# NOTE FOR THE RATCHET: test/go/langspec/compiled_coverage_test.go holds
# a failureCeiling. The declining rows below are NEW EVIDENCE, not
# regressions — the ceiling must be re-based against them.
#
# TWO COMPILED/INTERPRETED DIVERGENCES were found while writing this
# family. They are NOT rows: a diverging row would break the
# compile==interpret differential gate rather than document a gap, so
# they are recorded here (the convention edge-fns-1.tsv uses) and belong
# in a findings doc, not the corpus.
#
# (omitted) DIVERGENCE — a local redefined inside a `while` body, read
#   after the loop, is ONE ITERATION AHEAD under the compiler:
#     def f fn [[] [Integer] [def i 0 end while [i lt 3] [def last i end def i (i add 1)] end last]]  f
#   interpreter 2 (correct: the last i the body saw), compiled 3. The
#   top-level spelling without the fn wrapper diverges identically, so
#   the fn frame is not what breaks:
#     def i 0 end while [i lt 3] [def last i end def i (i add 1)] end last
#   interpreter 2, compiled 3.
#
# (omitted) DIVERGENCE — the loop-carried dynamic read of recursion.tsv
#   §10, with the recursive helper as a BODY-LOCAL and the carried name
#   a body-local of the enclosing frame:
#     def f fn [[] [Integer] [def depth2 0 end def go fn [[k:Integer] [Integer] [if (k lte 0) [depth2] [def depth2 (depth2 add 1) end go (k sub 1)]]] go 3]]  f
#   interpreter 3 (each frame's redefinition is visible to the next),
#   compiled 0 (the compiled frames read the enclosing snapshot).
#
# (omitted) FINDING, not a divergence — `def` of a FN inside a body whose
#   name collides with a module-level fn of the same signature does NOT
#   restore the outer definition at frame exit, where a same-named PARAM
#   does (recursion.tsv §12 pins the param side). Measured, both modes
#   agreeing, so it is not a compiler gap:
#     def add2 fn [[x:Integer] [Integer] [x add 2]] def f fn [[] [Integer] [def add2 fn [[x:Integer] [Integer] [x add 100]] add2 1]] f end add2 1
#   answers `101 101` — the second `add2 1` still reaches the body-local.
#   Kept out of the corpus: this is the `def` overlap-redefinition filter
#   of lang/go/CLAUDE.md meeting frame teardown, and pinning it would
#   freeze whichever side turns out to be wrong.
#
# ─────────────────────────────────────────────────────────────────────
# §1  a fn body DEFINING a local fn and CALLING it
def f fn [[] [Integer] [def helper fn [[n:Integer] [Integer] [n mul 2]] helper 21]]  f	42	a body-local fn, defined and called in the same body
def f fn [[x:Integer] [Integer] [def helper fn [[k:Integer] [Integer] [k mul 2]] def r (helper x) end def s (helper r) end s]]  f 3	12	the local helper is called twice, each result bound to a further local
def f fn [[n:Integer] [List] [def helper fn [[k:Integer] [Integer] [k mul 2]] each helper/v (iota n)]]  f 4	[0 2 4 6]	the body-local fn travels to `each` as a /v value
def f fn [[xs:List] [List] [def bump fn [[n:Integer] [Integer] [n add 1]] each bump/v xs]]  f [1 2 3]	[2 3 4]	…over the param list rather than a computed one
def f fn [[xs:List] [Integer] [def sum2 fn [[a:Integer b:Integer] [Integer] [a add b]] def n (0 fold sum2/v xs) end n]]  f [1 2 3]	6	a local fn as a fold callback, its result bound to another local
def f fn [[xs:List] [Integer] [def keep fn [[p:Any] [Boolean] [p.value gt 2]] size (filter keep/v xs)]]  f [1 2 3 4]	2	a local fn as a filter predicate (the Function form sees {key value})
def f fn [[xs:List] [List] [def dbl fn [[n:Integer] [Integer] [n mul 2]] def odd fn [[p:Any] [Boolean] [p.value mod 2 eq 1]] each dbl/v (filter odd/v xs)]]  f [1 2 3 4 5]	[2 6 10]	TWO body-local fns, one filtering and one mapping — the real pipeline shape
def f fn [[] [Integer] [def g fn [[] [Integer] [7]] def h fn [[] [Integer] [g mul 2]] h]]  f	14	one body-local fn calls another defined beside it
def f fn [[] [Integer] [def h fn [[] [Integer] [k]] def k 3 end h]]  f	3	a local fn defined BEFORE the local it reads — a forward ref resolved at call time
def f fn [[] [Integer] [def ev fn [[n:Integer] [Boolean] [if (n eq 0) [true] [od (n sub 1)]]] def od fn [[n:Integer] [Boolean] [if (n eq 0) [false] [ev (n sub 1)]]] if (ev 4) [1] [0]]]  f	1	MUTUALLY recursive body-local fns
def f fn [[] [Integer] [def a2 fn [[x:Integer] [Integer] [x add 1] [s:String] [Integer] [size s]] (a2 1) add (a2 'ab')]]  f	4	a body-local fn with TWO overloads, both dispatched from the same body
#
# §2  RECURSION with a body-local helper
def f fn [[n:Integer] [Integer] [def go fn [[k:Integer a:Integer] [Integer] [if (k lte 0) [a] [go (k sub 1) (a add k)]]] go n 0]]  f 10	55	the accumulator idiom written as a body-local helper
def f fn [[n:Integer] [Integer] [def fib fn [[k:Integer] [Integer] [if (k lte 1) [k] [(fib (k sub 1)) add (fib (k sub 2))]]] fib n]]  f 10	55	a body-local fib — tree recursion resolving its own name through the frame
def f fn [[] [Integer] [def n 3 end def go fn [[k:Integer] [Integer] [if (k lte 0) [0] [n add (go (k sub 1))]]] go 2]]  f	6	the recursive local helper CAPTURES a sibling body-local
def f fn [[n:Integer] [Integer] [def loop2 fn [[k:Integer acc:Integer] [Integer] [if (k eq 0) [acc] [def nxt (acc add k) end loop2 (k sub 1) nxt]]] loop2 n 0]]  f 5	15	the helper defines its OWN local per frame, then tail-calls itself
def f fn [[n:Integer] [Integer] [def go fn [[k:Integer] [Integer] [if (k lte 0) [0] [k add (go (k sub 1))]]] go n]]  f 4	10	non-tail recursion in a body-local helper
#
# §3  a def whose value is COMPUTED
def f fn [[x:Integer] [Integer] [def y (x mul 3) end y add 1]]  f 5	16	a local whose value is computed from a param
def f fn [[] [Integer] [def a 1 end def b (a add 1) end def c (b add a) end c]]  f	3	a chain of computed locals, each reading the previous
def f fn [[xs:List] [Integer] [def total (0 fold [add] xs) end def n (size xs) end total div n]]  f [1 2 3]	2	two computed locals combined — the mean idiom
def f fn [[xs:List] [Map] [def n (size xs) end def tot (0 fold [add] xs) end {n: n tot: tot}]]  f [1 2 3]	{n:3 tot:6}	computed locals assembled into the returned map
def f fn [[n:Integer] [Integer] [def r (if (n gt 0) [1] [2]) end r add 10]]  f 3	11	a local whose value is an `if` EXPRESSION (the provenance-safe spelling)
def f fn [[n:Integer] [String] [def kind (case n [[lt 0] 'neg' 0 'zero' 'pos']) end kind]]  f -3	'neg'	a local whose value is a `case` expression
def f fn [[] [Integer] [def a 2 end def r (do [a add 1]) end r]]  f	3	a local whose value comes from `do` over a code body that reads another local
def f fn [[] [Integer] [def body (codequote [mul 3]) end 0 fold [add] (each body [1 2])]]  f	9	a local holding an unevaluated code body, spliced into `each`
#
# §4  REDEFINITION inside a body (and undef)
def f fn [[] [Integer] [def a 1 end def a 2 end def a 3 end a]]  f	3	three defs of the same name in one body — the last wins
def f fn [[x:Integer] [Integer] [def y 1 end def y (x add y) end y]]  f 5	6	a redefinition computed from the PREVIOUS binding
def f fn [[] [Integer] [def a 1 end def a (a add 1) end def a (a add 1) end def a (a add 1) end a]]  f	4	the counter-by-redefinition idiom
def f fn [[] [Integer] [def a 1 end def a 'two' end size a]]  f	3	a redefinition may change the TYPE of the local
def f fn [[] [Integer] [def a 1 end undef a end def a 5 end a]]  f	5	undef then redefine inside one body
def f fn [[] [Integer] [def a 1 end def b 2 end undef a end b]]  f	2	undef of one local leaves its sibling alone
#
# §5  a local SHADOWING a param, a module-level name, a module word
def f fn [[x:Integer] [Integer] [def x 9 end x]]  f 5	9	a body-local SHADOWS the param of the same name
