# boru Language Specification: Value reads (valof / /v)
# Format: input<TAB>expected<TAB>description
#
# valof name → resolve a name to its bound VALUE, disabling any call the
#              name would induce. Companion to the `/v` word suffix.
# name/v     → the same operation as a suffix.
#
# `valof` and `/v` are ONE operation and must behave identically in every
# position. A bare reference is INERT at the reference site: it is left on
# the stack as an (unquoted) Function value and is never auto-invoked —
# not even a 0-arg fn. It stays inert through GROUPING too: a paren places
# its collapsed value and never re-steps it (NUR073 clause 3, BROAD). The
# value dispatches where an application is asked for: handed to `apply`,
# read through a member (dot access, whose group IS the dispatch), or
# called by a bare name.
#
# `valof` is TOTAL over every binding kind: for a fn binding it suppresses
# the call, and for any other binding it is the identity. There is no
# function-only gate — that totality is the point, because it is what
# lets ONE spelling read a slot whose kind is not known statically
# (NUR085, resolved by this rule). The only compile failure left is an UNBOUND
# name, which has no value to take: [boru/undefined_word].
#
# ─────────────────────────────────────────────────────────────────────
# §1  Bare reference is inert (held) — `valof` ≡ `/v`, no auto-fire
def z fn [[][Integer][42]]  z/v	fn [[][Integer][42]]	bare /v holds a 0-arg fn — NOT fired
def z fn [[][Integer][42]]  valof z	fn [[][Integer][42]]	bare valof holds identically (no re-step)
def inc fn [[n:Integer][Integer][n add 1]]  typeof (inc/v)	Function	a held reference is a Function value
def inc fn [[n:Integer][Integer][n add 1]]  typeof (valof inc)	Function	valof yields a Function value
#
# §2  A paren PLACES the held value — it never re-steps it into a call
#     (NUR073 clause 3, the BROAD verdict: "parens do not re-step; they
#     place a value or values on the forward stack"). Grouping a reference
#     is therefore an identity on the value, and APPLICATION is explicit:
#     `apply`, a bare name, or a member read (§3) brings it live.
def z fn [[][Integer][42]]  (z/v)	fn [[][Integer][42]]	a paren places the held 0-arg fn — grouping is not a use
def z fn [[][Integer][42]]  (valof z)	fn [[][Integer][42]]	valof groups identically — one operation, one answer
def z fn [[][Integer][42]]  (z/v) apply	42	apply is how the placed 0-arg fn fires
def inc fn [[n:Integer][Integer][n add 1]]  5 (inc/v) apply	6	a grouped 1-arg reference applies through apply
def inc fn [[n:Integer][Integer][n add 1]]  5 (valof inc) apply	6	valof ≡ /v under apply too
def sub2 fn [[a:Integer b:Integer][Integer][a sub b]]  10 3 (sub2/v) apply	-7	a grouped 2-arg reference, applied in stack order (top→sig[0])
def sub2 fn [[a:Integer b:Integer][Integer][a sub b]]  10 3 (valof sub2) apply	-7	valof ≡ /v for a 2-arg fn
#
# §3  Reference stored in a map slot dispatches via dot-access
def inc fn [[n:Integer][Integer][n add 1]]  def ops {f: inc/v}  ops.f 5	6	/v in a map slot dispatches
