# boru Language Specification: edge-quote-1 — eval-by-default duality
# Format: input<TAB>expected<TAB>description
# =====================================================================
# Edge cases for the quotation system's FIRST principle: lists are
# EVALUATED by default ([add 1 2] -> [3]); `quote` opts out and holds
# the tokens as data ((quote [add 1 2]) in canon); implicit-quote
# positions (if branches, for/each/fn bodies) hold code WITHOUT the
# quote wrapper; `def name [body]` is NOT such a position — it
# evaluates the node and binds the value. Expected values use the
# canon renderer. See EXPLANATION.md "Quotation and evaluation",
# lang/go/CLAUDE.md "Quotation System".
# =====================================================================

# --- §1 the duality, pinned by size/get -------------------------------
[add 1 2]	[3]	evaluated by default: one element, the sum
[add 1 2] size	1	the evaluated list has ONE element
quote [add 1 2]	(quote [add 1 2])	held: canon renders the quote wrapper + the raw word
quote [add 1 2] size	3	the held list has THREE nodes (word + two operands)
quote [add 1 2] get 2	2	a literal element reads out as plain data
quote [add 1 2] typeof	List	a held list is still a real List
[4 5 6]	[4 5 6]	plain data: nothing to run, eval is a no-op
[1 2 3] size	3	plain data size unchanged by auto-eval
quote [1 2 3]	(quote [1 2 3])	quoting plain data only adds the held marker
quote [1 2 3] size	3	held plain data: same three elements
[10 sub 3]	[7]	infix-form arithmetic evaluates inside a list literal
quote [10 sub 3] size	3	…but held it is three raw nodes
quote [add 1 2] get 1	1	index 1 of the HELD list is the first operand (index 0 is the word)
quote [add 1 2] get 0	ERROR:signature_error	the Word element re-fires at the pointer when pulled out bare
quote [10 sub 3] get 0	10	a numeric head reads out fine — only Word nodes re-fire
[add 1 2] cmp [3]	0	the evaluated list orders equal to [3]

# --- §2 nested lists mix evaluation ------------------------------------
[1 [add 2 3] 4]	[1 [5] 4]	inner lists evaluate too (recursively)
1 [2 [add 3 4] 5] 6	1 [2 [7] 5] 6	nesting inside an open stack: only list interiors evaluate
[[add 1 2] [add 3 4]]	[[3] [7]]	sibling inner lists evaluate independently
quote [1 [add 2 3] 4]	(quote [1 [add 2 3] 4])	quote holds the WHOLE tree — inner list stays raw
quote [1 [add 2 3] 4] size	3	held outer size counts the inner list as one node
quote [[add 1 2] [add 3 4]] size	2	two held inner lists, still two nodes
[[1 2] [3 4]]	[[1 2] [3 4]]	nested plain data unchanged
[size [1 2 3]]	[3]	a word applying to a nested literal runs inside the list

# --- §3 quote on non-list nodes ----------------------------------------
quote 99	99	a scalar passes through quote unchanged
quote "s"	's'	a string passes through quote unchanged
quote true	true/q	`true` is captured as the ATOM true/q, not a Boolean
quote none	none	none passes through as the None value
quote {a:1}	{a:1}	a map is NOT held — quote passes it through as data
quote {a:(1 add 2)}	{a:3}	quote does NOT suppress a map value's ParenExpr eval
quote (2 add 3)	5	a paren EVALUATES first; quote marks the result
[1,2] quote	(quote [1 2])	stack-form quote marks an already-evaluated data list
5 quote	5	stack-form quote on a scalar is the identity
quote quote foo	ERROR:undefined_word	the first quote captures the TOKEN `quote`, stranding foo

# --- §4 implicit-quote positions hold code; def EVALUATES ---------------
if true [add 1 2] [0]	3	an if branch is CODE: it runs and leaves 3, not [3]
if false [add 1 2] [0]	0	the untaken branch never runs
if false [1 div 0] [7]	7	a doomed branch is held code — untaken, it cannot raise
for 2 [10]	10 10	a for body is held code, re-run per iteration
for 2 [add 1 2]	3 3	…and each run evaluates the body afresh
[1 2 3] each [mul 3]	[3 6 9]	an each body is held code applied per element
[3 4] each [dup add]	[6 8]	stack words in an each body see the pushed element
def f fn [[x:Integer][Integer][x div 0]] 42	42	a fn body is held at def time — defining cannot raise
def b [add 1 2] b	[3]	def is NOT an implicit-quote position: the list evaluates
def b [add 1 2] size b	1	…and the binding holds the one-element result
def b [add 1 2] b get 0	3	…the bound value's one element is the sum
def q (quote [add 1 2]) q size	3	quote restores the held form under def
def q (quote [add 1 2]) q	(quote [add 1 2])	a stored held list re-references as the held list
def q (quote [add 1 2]) [q]	[(quote [add 1 2])]	a held list nests as ONE element when re-collected
def q (quote [add 1 2]) [q] size	1	…and counts as one
def q (quote [add 1 2]) q get 2	2	a stored held list indexes like any list
def q (quote [add 1 2]) typeof q	List	…and types as a plain List
def xs [1,2,3] quote xs	xs/q	quote of a BOUND name still captures the NAME, not the value
def h (quote [dup add]) 5 h	5 (quote [dup add])	referencing a stored held list does NOT run it (contrast `def h word [dup add]`)

# --- §5 do over held code ----------------------------------------------
quote [add 1 2] do	3	hold, then run: do evaluates the held list
do [add 2 3]	5	do's own body slot is implicit-quoted code
