# boru Language Specification: the boru:array-util module
# Format: input<TAB>expected<TAB>description
#
# Loadable module of APL-style array utilities. Import binds the
# `ArrayUtil` namespace, then words are called via dot-access:
# `import "boru:array-util"  ArrayUtil.word args`. The everyday array
# words (iota/range/take/shed/each/fold/...) stay in core; this module
# holds the specialised shape/structure, selection/ordering,
# membership/grouping, and neighborhood vocabulary.
#
# ---------------------------------------------------------------------
# §1  shape / structure
import "boru:array-util"  ArrayUtil.shape [[1 2 3] [4 5 6]]	[2 3]	shape: the length along each axis (2 rows, 3 cols)
import "boru:array-util"  ArrayUtil.rank [[1 2 3] [4 5 6]]	2	rank: the number of axes
import "boru:array-util"  ArrayUtil.reshape [2 3] [1 2 3 4 5 6]	[[1 2 3] [4 5 6]]	reshape: lay flat data into the given shape
import "boru:array-util"  ArrayUtil.transpose [[1 2 3] [4 5 6]]	[[1 4] [2 5] [3 6]]	transpose: swap rows and columns of a rank-2 list
#
# §2  selection / ordering
import "boru:array-util"  ArrayUtil.where [true false true false true]	[0 2 4]	where: indices of the truthy elements
import "boru:array-util"  ArrayUtil.grade [30 10 20]	[1 2 0]	grade: indices that would sort the list ascending
import "boru:array-util"  ArrayUtil.at [0 2] [10 20 30 40]	[10 30]	at: select data elements by an index list
import "boru:array-util"  ArrayUtil.replicate [2 0 3] [1 2 3]	[1 1 3 3 3]	replicate: repeat each element by its count
import "boru:array-util"  ArrayUtil.expand [true false true] [7 8]	[7 0 8]	expand: spread data into true slots, 0 into false slots
import "boru:array-util"  ArrayUtil.compress [true false true] [1 2 3]	[1 3]	compress: keep data where the mask is true
#
# §2b editing — copy-returning single-element edits (HAMT Level A primitives)
import "boru:array-util"  ArrayUtil.insert-at 1 99 [1 2 3]	[1 99 2 3]	insert-at: insert the element before index 1
import "boru:array-util"  ArrayUtil.insert-at 0 99 [1 2 3]	[99 1 2 3]	insert-at: index 0 prepends
import "boru:array-util"  ArrayUtil.insert-at 3 99 [1 2 3]	[1 2 3 99]	insert-at: index == length appends
import "boru:array-util"  [1 2 3] ArrayUtil.insert-at 1 99	[1 99 2 3]	insert-at: pipeline form (subject from the stack)
import "boru:array-util"  def xs [1 2 3] end def ys (ArrayUtil.insert-at 1 99 xs) end xs	[1 2 3]	insert-at is copy-returning — the source list is unchanged
import "boru:array-util"  ArrayUtil.insert-at 4 99 [1 2 3]	ERROR:index_out_of_range	insert-at: index past length is a loud error, not a silent no-op
import "boru:array-util"  ArrayUtil.insert-at -1 99 [1 2 3]	ERROR:index_out_of_range	insert-at: negative index is a loud error
import "boru:array-util"  ArrayUtil.remove-at 1 [1 2 3]	[1 3]	remove-at: drop the element at index 1
import "boru:array-util"  ArrayUtil.remove-at 0 [1 2 3]	[2 3]	remove-at: index 0 drops the head
import "boru:array-util"  [1 2 3] ArrayUtil.remove-at 2	[1 2]	remove-at: pipeline form (subject from the stack)
import "boru:array-util"  ArrayUtil.remove-at 3 [1 2 3]	ERROR:index_out_of_range	remove-at: index == length is a loud error
import "boru:array-util"  ArrayUtil.remove-at 0 []	ERROR:index_out_of_range	remove-at: any index into an empty list is a loud error
#
# §3  membership / grouping
import "boru:array-util"  ArrayUtil.member [1 5 3] [1 2 3]	[true false true]	member: is each needle present in the haystack
import "boru:array-util"  ArrayUtil.unique [1 2 2 3 3 3]	[1 2 3]	unique: distinct elements, first-seen order
import "boru:array-util"  ArrayUtil.indices [20 99 10] [10 20 30]	[1 -1 0]	indices: position of each needle in the haystack, -1 if absent
import "boru:array-util"  ArrayUtil.group ['a' 'b' 'c']	{a:[0] b:[1] c:[2]}	group (1-arg): map each key to the indices where it occurs
# the membership/grouping words compare by deq — the VALUE equality
# (NUR015 fix: they previously keyed on the rendered form, a third
# equality notion): scalars by value (eq and deq coincide there),
