# tokens	expected	note
# =====================================================================		
# get / set — universal container access		
# =====================================================================		
# `get` and `set` are boru's container-access pair. Both are forward-		
# precedence with a fan of signatures so the same word can drive		
# Stores (copy-on-write), class instances (in-place mutation),
# FlexMap/FlexList (in-place, returns the node), and plain Map / List / Options nodes
# (read-only for `get`).		
#		
# Sig shape (see eng/go/core_storage.go):		
#		
#   set 'key' v store      copy-on-write: pushes a new layer with		
#                          {'key':v}, propagates up the parent chain.		
#   set field v inst       in-place field mutation on a class instance.
#   set i v flexlist       in-place set at index i on a FlexList.
#   set key v map           copy-returning: a NEW map with the key		
#                          bound; the receiver Map is untouched (§7).		
#		
#   get 'key' store        Store lookup; errors on missing key.		
#   get key node           Map/List/Options lookup; missing keys yield		
#                          the None type literal.		
#   get key inst           class-instance field access.
#   get i flexlist         FlexList element by index.
#   get key None           short-circuits to None — None propagation		
#                          for chained reads.		
#		
# Map/List read patterns also live in map.tsv / list.tsv. This file		
# covers the cross-cutting surface: Store-side set/get via `context`,
# class-instance set, and the None / error paths.
#		
# Runs against the production boru registry.		
		
		
# ====================================================================		
# 1. Store via `context`: set key value, then read it back		
# ====================================================================		
# `set` on a Store is copy-on-write: each set creates a new Store		
# layer and propagates the update up through parent layers to the		
# context stack. Re-querying the context returns the latest layer.		
#		
# Idiom: `context set KEY VAL end` — `context` pushes the current		
# context Store onto the stack, `set` then forward-collects KEY and		
# VAL, and `end` halts forward collection so the third arg (the		
# container) is taken from the stack.		
		
context set 'x' 42 end context get 'x'	42	String key — round-trip through the context store
context set ( quote name ) 'Alice' end context get 'name'	'Alice'	Atom key — `(quote name)` forces the atom to materialise before set's forward-collection consumes it
		
# Multi-key context — every `set` extends the layer chain, every		
# `get` walks it.		
context set 'a' 1 end context set 'b' 2 end context get 'a'	1	first key still reachable after second set
context set 'a' 1 end context set 'b' 2 end context get 'b'	2	second key visible after its own set
		
# Setting the same key twice — the latest value wins (the new layer		
# shadows the old one).		
context set 'x' 1 end context set 'x' 2 end context get 'x'	2	shadowing semantics
		
# Store value flows into normal expression flow.		
context set 'n' 7 end context get 'n' add 3	10	get-result chains into arithmetic
		
# Missing key on a Store raises an error.		
context get 'missing'	ERROR:unknown key	Store get is strict; missing keys are an error
context dot quote nope	ERROR:unknown key	
		
# ====================================================================		
# 2. Class-instance set
# ====================================================================		
# `set` on a class instance is in-place mutation: the instance's
# field map is updated directly. The instance value held by `def`
# observes the change on subsequent reads.
		
# String-key set		
def Foo (class { a:String b:Integer }) def f (make Foo { a:'hi' b:1 }) set 'a' 'bye' f f .a	'bye'	String key updates the field
def Foo (class { a:String b:Integer }) def f (make Foo { a:'hi' b:1 }) set 'a' 'bye' f f .b	1	other fields are untouched
		
# Numeric field via String value — set replaces the value verbatim.		
def Foo (class { a:Integer }) def f (make Foo { a:5 }) set 'a' 99 f f .a	99	
		
# ====================================================================		
# 3. None propagation		
# ====================================================================		
# `get key None` yields None — lets chained accessor expressions		
# short-circuit through missing levels without crashing.		
		
None get 'a'	None	None passes through string-key access
None get 0	None	None passes through integer-key access
None dot (quote x)	None	
		
# ====================================================================		
# 4. Map / List read summary		
# ====================================================================		
