# tokens	expected	note
# =====================================================================
# user-defined type kinds — dispatch matrix
# =====================================================================
# Every refinement kind a user can introduce via `def Name (refine …)`
# or `def Name (… tor …)` etc. must dispatch the same way system types
# do: a typed fn parameter `[x:Name]` accepts values the type admits
# and rejects everything else.
#
# The earlier bug: `ResolveDefType` in eng/go/fn_params.go fell through
# to `return TAny` for any populated type body other than Record /
# Options — so `[f:Foo]` where Foo was a `class` body became a
# wildcard. Compounded by missing per-kind Behavior.Match wiring for
# Disjunct / DepScalar / bare nominal subtypes (each minted a lattice
# node with the default lattice-walk Match, which rejected every value
# because the new node sat BELOW its parents in the lattice).
#
# The fix has two layers:
#   1. ResolveSigType now consults `DefEntry.TypeDef *Type` (the
#      explicit "this is a type" flag) via `r.LookupTypeName` as the
#      primary path; body-payload pattern-matching is the fallback for
#      Record / Options only.
#   2. InstallType (eng/go/core_type.go) attaches a per-kind Unifier
#      Behavior at mint time:
#        - Class / Table → parent-chain walk (default)
#        - Disjunct       → disjunctUnifier (unifies against alternatives)
#        - DepScalar      → depScalarUnifier (runs the bound check)
#        - bare refine X  → bareRefineUnifier (admits base-type values)
#        - predicate fn   → predicateUnifier (pre-existing)
#
# Rows below pin both directions per kind — accept the right values
# AND reject the wrong ones. A regression in either layer surfaces
# immediately.
#
# Runs against the production lang registry (test/go/langspec).


# ====================================================================
# 1. Class refinement — `def Foo (class {…})`
# ====================================================================
# A typed fn param [f:Foo] should accept Foo instances built with
# `make Foo {…}` and reject unrelated values.

def Foo (class {}) def g fn [[f:Foo] [Integer] [99]] (make Foo {}) g	99	Foo accepts its own instance
def Foo (class {x:0}) def g fn [[f:Foo] [Integer] [99]] (make Foo {x:5}) g	99	Foo with field, accepts instance carrying field
def Foo (class {}) def g fn [[f:Foo] [Integer] [99]] 42 g	ERROR:signature	Foo rejects Integer
def Foo (class {}) def g fn [[f:Foo] [Integer] [99]] 'hi' g	ERROR:signature	Foo rejects String
def Foo (class {}) def g fn [[f:Foo] [Integer] [99]] [1,2,3] g	ERROR:signature	Foo rejects List

# Regression for §6.1 — with Foo dispatching correctly, no need for
# `end` between `g` and the next native fn (`print`-equivalent). Before
# the fix this leaked the user-fn call into the next word because the
# wildcard match captured the next word as an argument.
def Foo (class {}) def g fn [[f:Foo] [Integer] [99]] (make Foo {}) g lengthq [ 1 ]	99 1	dispatch finishes before next word


# ====================================================================
# 2. Bare nominal subtype — `def Pos (refine Integer)` is a NEWTYPE
# ====================================================================
# A bare refine adds no predicate, so it is a nominal newtype: a value
# is a Pos only if its OWN tag is Pos (or a subtype), exactly like the
# `is` word (`42 is Pos` is false) and the return boundary. A plain
# base value is NOT a Pos — construct one explicitly with `def x:Pos …`
# (which reparents via Unify). Matching is symmetric: the same rule
# holds at params, returns, and `is`. See
# design/REFINE-NEWTYPE-VS-SUBSET.10.md.

def Pos (refine Integer) def g fn [[n:Pos] [Integer] [99]] 42 g	ERROR:signature	a plain Integer is NOT a Pos (newtype): param rejects it
def Pos (refine Integer) def g fn [[n:Pos] [Integer] [99]] def x:Pos 42 x g	99	an explicitly-constructed Pos is admitted
def Pos (refine Integer) def g fn [[n:Pos] [Integer] [99]] def x:Pos -5 x g	99	negative, constructed as Pos, admitted
def Pos (refine Integer) def g fn [[n:Pos] [Integer] [99]] 'hi' g	ERROR:signature	Pos rejects String (wrong family)
def Pos (refine Integer) def g fn [[n:Pos] [Integer] [99]] [1,2,3] g	ERROR:signature	Pos rejects List (wrong family)
def Name (refine String) def g fn [[s:Name] [Integer] [99]] 'Ada' g	ERROR:signature	a plain String is NOT a Name (newtype): param rejects it
def Name (refine String) def g fn [[s:Name] [Integer] [99]] def x:Name 'Ada' x g	99	an explicitly-constructed Name is admitted
