# boru Language Specification: FOLD / MAP / FILTER / SORT and the collection
# words, in the shapes REAL programs spell them.
# Format: input<TAB>expected<TAB>description
#
# Family: fold-map-filter. Written to widen the corpus past the one-liner
# shapes it had: every fold call form and accumulator kind (scalar, String,
# List, Map); bodies written as a literal quotation, as a def-bound word, as
# a def-bound fn VALUE, as a `=>` lambda and as a closure over an enclosing
# binding; filter in all three predicate forms (quotation, Reach lens,
# Function callback) over lists and over maps; sort / reverse / take / shed /
# flatten / size; sorting BY A COMPUTED KEY (boru has no comparator sort —
# ArrayUtil.sortby / ArrayUtil.grade are the idiom); and chained pipelines
# that put each, filter, fold and sort in one statement, inside a fn, over
# records, over class instances and over module results.
#
# EVERY row's expected column is the engine's OWN answer, captured from
# `boru do -no-compile '<input> end canon'` — the INTERPRETER, and the same
# canon rendering the spec runner compares against. Nothing here is guessed.
# `-no-compile` is load-bearing: `boru do` defaults to compile-try, and one
# candidate row (noted in §12) answers differently on the two engines.
#
# ROWS THAT FAIL TO COMPILE TO COMPILE ARE RECORDED DELIBERATELY, as OPEN DEFECTS.
# Their descriptions carry the exact reason `BORU_FORCE_COMPILE=1` printed.
# A compile compile failure is WHOLE-PROGRAM and latches on the FIRST unsupported
# construct, which is why the compiler scores ~96% on a corpus of 40-character
# one-liners and ~65% on real files that combine constructs. These rows are
# the gap made visible; they are not mistakes and must not be deleted to make
# a ceiling green.
#
# NOTE FOR THE RATCHET: test/go/langspec/compiled_coverage_test.go holds
# failureCeiling = 0. The declining rows below are NEW EVIDENCE, not
# regressions — the ceiling must be re-based (or this file moved under
# lang/spec/frontier/) when the corpus is next gated.
#
# A note on ARGUMENT ORDER, because it decides what a fold body means: a call
# binds its arguments in SIGNATURE order, filling positions from the forward
# stack first and the value stack afterwards, top-first. fold pushes the
# accumulator and then the ELEMENT on top of it, so a two-argument word in the
# body sees (element, accumulator) as (top, deeper) — `0 fold [sub] [1 2 3]`
# is acc-minus-element all the way down, and `'' fold ([a e] => [a add e])`
# does NOT concatenate left-to-right (§4).
#
# ─────────────────────────────────────────────────────────────────────
# §1  fold — the call forms, with and without an initial accumulator
0 fold [add] [1 2 3 4]	10	canonical form: init on the stack, body and data forward
fold [add] [1 2 3 4] 0	10	fully-forward form: every operand written after the word
fold [add] [1 2 3 4]	10	no-init form — the first element seeds the accumulator
1 fold [mul] [1 2 3 4 5]	120	product, seeded with the multiplicative identity
0 fold [sub] [1 2 3]	-6	acc-minus-element: the element is on TOP, the accumulator beneath
0 fold [add] []	0	empty input returns the initial accumulator untouched
fold [add] [7]	7	no-init over a singleton is just the seed
fold [add] [1.5 2.5 3.0] 0.0	7.0	a Float accumulator over a Float list
0 fold [add] [1 2.5 3]	6.5	a MIXED numeric list promotes the accumulator as it goes
0 fold [add] (iota 10)	45	over a COMPUTED collection — the generator is a paren call
fold [add] {a:1 b:2 c:3} 0	6	over a MAP: fold reduces the values
#
# §2  fold accumulators that are not scalars — String, List, Map
'' fold [add] ['a' 'b' 'c']	'abc'	a String accumulator concatenates
[] fold [push] [1 2 3]	[1 2 3]	a LIST accumulator: push sees (element, acc) as (top, deeper)
[] fold [push] []	[]	the list-accumulator idiom over an empty collection
{} fold [set 'k'] [1 2]	{k:2}	a MAP accumulator: `set 'k'` takes the key forward, value and map from the stack
{} fold [dup set] ['a' 'bb']	{a:'a' bb:'bb'}	building a map keyed BY the element — dup makes the element both key and value
def tally fn [[xs:List][Map][{} fold [dup set] xs]]  tally ['a' 'b' 'a']	{a:'a' b:'b'}	the map-accumulator fold wrapped in a fn, with a repeated key
def keyed fn [[xs:List][Map][{} fold [set 'k'] xs]]  keyed [1 2]	{k:2}	a Map-returning fn whose whole body is a map-accumulator fold
#
# §3  fold bodies — literal quotation, def-bound word, def-bound fn VALUE,
#     lambda, and a lambda closing over an enclosing binding
def step fn [[a:Integer e:Integer][Integer][a add e]]  0 fold [step] [1 2 3]	6	a def-bound WORD named inside a literal body
def step fn [[a:Integer e:Integer][Integer][a add e]]  0 fold step/v [1 2 3]	6	the same reducer parked as a fn VALUE with /v
0 fold ([a:Integer e:Integer] => [a add e]) [1 2 3 4]	10	a `=>` lambda as the callback
0 fold ([a:Integer e:Integer] => [if (e gt a) [e] [a]]) [3 1 4 1 5]	5	running maximum — a lambda body with a branch
def k 10 end 0 fold ([a:Integer e:Integer] => [a add e add k]) [1 2]	23	a CLOSURE: the lambda reads an enclosing def
def mk fn [[k:Integer][Function][([a:Integer e:Integer] => [a add e add k])]]  def f (mk 10)  0 fold f/v [1 2]	23	a closure MADE BY A FACTORY, bound, then folded with — DOES NOT COMPILE: "unmatched dispatch recovered at fold"
0 fold ([a:Integer kv:Any] => [a add kv.v]) {a:1 b:2 c:3}	6	over a MAP a lambda is handed a KeyVal — read `.v`
def Reducer class {step: Function} end def r (make Reducer {step: (fn [[a:Integer e:Integer][Integer][a add e]])}) end 0 fold r.step [1 2 3]	6	the reducer lives in a Function-typed CLASS FIELD — DOES NOT COMPILE: "higher-order `fold` over a gradual-Any collection: ambiguous overload (List vs Map), no static commit and no poly re-match"
#
# §4  fold's argument order, spelled out. `a add e` inside a lambda is NOT
#     "a then e": add binds args[0] from the forward token and args[1] from
#     the stack, so for a non-commutative operation the written order reads
#     backwards. Integers hide this; Strings do not.
'' fold ([a:String e:String] => [a add e]) ['x' 'y' 'z']	'zyx'	REVERSED: a String fold written the obvious way concatenates right-to-left
'' fold [add] ['x' 'y' 'z']	'xyz'	the LITERAL body does concatenate left-to-right — the two spellings disagree
#
# §5  fold shapes that do NOT dispatch, and leave the callback stranded as
#     data. Real code writes these and gets no error — just a wrong value.
0 fold [([a:Integer e:Integer] => [a add e])] [1 2 3]	fn [[a:Integer e:Integer][Any][a add e]]	a lambda WRAPPED IN A CODE BODY is not a callback: fold leaves it as data — DOES NOT COMPILE: "code-body word fold (Stage 2)"
{a:1} fold ([acc:Map e:Integer] => [acc add e]) [1 2]	fn [[acc:Map e:Integer][Any][acc add e]]	a Map initial accumulator with a lambda callback: fold does not dispatch at all
10 fold ([a:Integer f:Function] => [(f a)]) [(fn [[n:Integer][Integer][n add 1]])]	fn [[a:Integer f:Function][Any][(f a)]]	folding a LIST OF FUNCTIONS into a value: no dispatch, the lambda strands
each [([n:Integer] => [n mul 2])] [1 2 3]	[fn [[n:Integer][Any][n mul 2]] fn [[n:Integer][Any][n mul 2]] fn [[n:Integer][Any][n mul 2]]]	the same trap on each — every element maps to the un-applied lambda — DOES NOT COMPILE: "code-body word each (Stage 2)"
#
# §6  each as MAP — the transform half of the pipeline
0 fold [add] (each [size] ['a' 'bb' 'ccc'])	6	map-then-reduce over Strings
each ([kv:Any] => [kv.v mul 10]) {a:1 b:2}	{a:10 b:20}	over a MAP: values transform, keys stay
each ([kv:Any] => [kv.i]) {a:1 b:2}	{a:0 b:1}	the KeyVal carries the INDEX too
each ([kv:Any] => [kv.k]) {a:1 b:2}	{a:'a' b:'b'}	…and the key
each $.n [{n:1} {n:2} {n:3}]	[1 2 3]	a REACH LENS as the body: project one field out of every record
def rows [{n:1} {n:2} {n:3}] end each [get 'n'] rows	[1 2 3]	the same projection spelled with get
def sel (quote $.n) end each sel [{n:1} {n:2}]	[1 2]	the lens parked in a binding first (quote keeps it from evaluating)
each ([n:Integer] => [each [add n] [1 2]]) [10 20]	[[11 12] [21 22]]	NESTED each — the inner map runs per outer element
0 fold [add] (flatten (each ([n:Integer] => [each [add n] [1 2]]) [10 20]))	66	…flattened and summed, the way real code consumes a nested map
#
# §7  filter — all three predicate forms, over lists and over maps
