# boru Language Specification: the boru:minilang module + the core `mini` word
# Format: input<TAB>expected<TAB>description
#
# `mini <kind> <src> <opts?>` expands at the call site to the STANDARD
# minilang call `MiniLang.lang_<kind> <src> <opts> end` (design/MINILANG.0.md).
# The trailing `end` stops the generated word's forward collection, so
# kind-declared inputs always come from the STACK and tokens after the mini
# call are never stolen. Kinds: `re` (Go regexp match — subject from stack,
# match structure out) and `bf` (brainfuck — output String; `,` reads the
# stack input or opts.in). The kind set is FIXED (`MiniLang.kinds` lists it;
# `MiniLang.register` is a tombstone raising mini_registry_frozen) — custom
# mini-languages are Function VALUES (`mini <fn> <src>`, §fnv). NB
# backslashes in '…' strings need doubling ('\\d' below is the pattern \d)
# — backtick strings are backslash-safe.
#
# ─────────────────────────────────────────────────────────────────────
# §1  re — Go regular expressions
import "boru:minilang"  def r ("AbcD" mini re '[a-z]+') end  r.fst.m	'bc'	first match text (the design doc's headline example)
import "boru:minilang"  ("a1b2c3" mini re '\\d').n	3	all matches counted by default
import "boru:minilang"  ("a1b2c3" mini re '\\d' {limit:2}).n	2	opts.limit caps the match count
import "boru:minilang"  ("zz" mini re 'a+').ok	false	no match → ok:false
import "boru:minilang"  def g ('abc-123' mini re '([a-z]+)-(\\d+)') end  g.fst.g	['abc' '123']	capture groups ride on each match as g
import "boru:minilang"  def d ("AbcD" MiniLang.lang_re '[a-z]+' {} end) end  d.fst.m	'bc'	mini is pure sugar — the desugared standard call is equivalent
#
# §2  bf — brainfuck
import "boru:minilang"  mini bf '++++++++[>++++++++<-]>+.'	'A'	generator form: 8*8+1 = 65 = 'A'
import "boru:minilang"  "hi" mini bf ',.,.'	'hi'	filter form: `,` reads the STACK input (standard-sig stack input)
import "boru:minilang"  mini bf ',.+.' {in:'A'}	'AB'	generator form reads opts.in
import "boru:minilang"  "hi" MiniLang.lang_bf ',.,.' {} end	'hi'	desugared standard call, filter form
#
# §3  value forms / kinds — custom mini-languages are def-bound fn VALUES
#     (the kind namespace is fixed; §fnv pins the value-form contract)
import "boru:minilang"  MiniLang.kinds	[re/q bf/q gex/q math/q hb/q bb/q micron/q m/q jp/q jq/q xp/q sp/q]	the (fixed) kind atoms, in registration order
import "boru:minilang"  def poly (fn [[src:String opts:Map] [Integer] [((opts.x pow 2) add (3 mul opts.y))]])  mini poly 'x^2 + 3*y' {x:10, y:2}	106	a def-bound generator value: named params via opts
import "boru:minilang"  import "boru:string-util"  def count (fn [[src:String opts:Map subject:String] [Integer] [(StringUtil.split src subject) size]])  "banana" mini count 'an'	2	a def-bound filter value: subject from the stack, src reaching the body dynamically
# Memoising a custom mini-language: built-in re/xp cache their compiled artifact
# in a private Go map an author can't reach, so a fn-value language holds its OWN
# cross-call cache — a mutable `flex` map (module-level or closure-captured),
# keyed by src. CRITICAL: get/set quote the key, so a VARIABLE key must be
# parenthesised — `get (src)` / `set (src) v m` (a bare `get src` keys on the
# literal atom `src`). Here `calls.n` counts the compute path: 3 calls, 2
# distinct srcs → the body runs twice, the repeat 'aa' is a cache hit. See
# design/MINILANG.5.md §7.
import "boru:minilang"  def calls (flex {n:0}) end  def cache (flex {}) end  def dbl (fn [[src:String opts:Map subject:String] [String] [if ((cache get (src)) is None) [set 'n' ((calls get 'n') add 1) calls drop  def r (add src src)  set (src) r cache drop  r] [cache get (src)]]])  def x ("z" mini dbl 'aa') end  def y ("z" mini dbl 'aa') end  def z2 ("z" mini dbl 'bb') end  calls get 'n'	2	a fn-value mini-language memoises per src in a flex map — 3 calls, 2 distinct srcs, body computes twice (the repeat is a hit)
#
# §4  the auto-`end` theft guard
import "boru:minilang"  "x1" mini re '\\d' "ZZ"	{ok:true ms:[{m:'1' i:1 e:2 g:[]}] fst:{m:'1' i:1 e:2 g:[]} lst:{m:'1' i:1 e:2 g:[]} n:1} 'ZZ'	the token after the mini call is NOT stolen as the subject
import "boru:minilang"  def a ("x1" mini re '\\d') end  def b ("y22" mini re '\\d+') end  b.fst.m	'22'	chained mini calls each bind their own stack subject
#
# §5  negatives
import "boru:minilang"  mini nope 'x'	ERROR:mini_unknown_lang	unknown kind: expansion-time error at the call site
mini re 'a'	ERROR:mini_unknown_lang	mini is core but kinds need the import (no auto-import)
MiniLang.kinds	ERROR:undefined_word	the namespace is unbound until imported
import "boru:minilang"  "x" mini re '('	ERROR:mini_parse_error	a malformed pattern fails when the kind runs
import "boru:minilang"  mini bf '['	ERROR:mini_parse_error	unbalanced brackets
import "boru:minilang"  mini bf '+[]' {steps:100}	ERROR:mini_eval_error	a runaway program hits the step budget instead of hanging
import "boru:minilang"  mini bf '<'	ERROR:mini_eval_error	leaving the tape is loud
import "boru:minilang"  MiniLang.register	ERROR:mini_registry_frozen	the kind namespace is fixed — registration was removed (tombstone)
import "boru:minilang"  MiniLang.register poly (fn [[s:String o:Map] [Integer] [1]])	ERROR:mini_registry_frozen	a legacy register call fails loudly with the migration hint
#
# §6  the `+name<delim>src<delim>` shortcut — terse lexer sugar for `mini name 'src'`.
#     The delimiter is the first char after the name; the same char closes. Backslash
#     escapes the delimiter and itself; every OTHER backslash is raw (so `\d` stays `\d`,
#     no doubling). Desugars to the identical token stream as the explicit call, so a
#     stack subject, a trailing opts map, and the unknown-kind error all carry over.
import "boru:minilang"  ("AbcD" +re/[a-z]+/).fst.m	'bc'	the shortcut: subject from the stack, / delimiter
import "boru:minilang"  ("a1b2c3" +re/\d/).n	3	raw backslash — `\d` is the pattern, no doubling (vs the quoted '\\d')
import "boru:minilang"  ("a1b2c3" +re/\d/ {limit:2}).n	2	a trailing opts map is collected by mini's 3-arg sig
import "boru:minilang"  ("AbcD" +re|[a-z]+|).fst.m	'bc'	a custom delimiter — | here
import "boru:minilang"  ("xa/by" +re#a/b#).fst.m	'a/b'	pick a delimiter (#) so the source can contain /
import "boru:minilang"  ("xa/by" +re/a\/b/).fst.m	'a/b'	or escape the delimiter with a backslash
import "boru:minilang"  +bf/++++++++[>++++++++<-]>+./	'A'	bf generator via the shortcut
import "boru:minilang"  +hb/deadbeef/	Bytes<de ad be ef>	hex Bytes literal via the shortcut
import "boru:minilang"  mini hb 'deadbeef'	Bytes<de ad be ef>	the explicit form is equivalent
import "boru:minilang"  (MiniLang.lang_hb 'deadbeef' {} end)	Bytes<de ad be ef>	mini/+hb are sugar — the desugared standard call is equivalent
import "boru:minilang"  +hb/de_ad_be_ef/	Bytes<de ad be ef>	underscores in the source are ignored (grouping)
import "boru:minilang"  +hb/de\ ad\ be\ ef/	Bytes<de ad be ef>	whitespace must be escaped — a literal is a single whitespace-free span
import "boru:minilang"  +bb/01001100/	Bytes<4c>	binary Bytes literal — 8 bits, MSB-first
import "boru:minilang"  (MiniLang.lang_bb '01001100' {} end)	Bytes<4c>	the desugared standard call for bb
import "boru:minilang"  +bb/01001100_11110000/	Bytes<4c f0>	binary grouping with underscores
import "boru:minilang"  +hb/abc/	ERROR:mini_parse_error	an odd-length hex source is rejected
import "boru:minilang"  +bb/0102/	ERROR:mini_parse_error	a non-binary digit is rejected
import "boru:minilang"  +bb/0100110/	ERROR:mini_parse_error	a non-multiple-of-8 bit count is rejected
import "boru:minilang"  +nope/x/	ERROR:mini_unknown_lang	an unknown kind is the same expansion-time error as `mini nope`
+re/[a-z]+/	ERROR:mini_unknown_lang	the shortcut needs the import too (no auto-import)
#
# §6b  the OPEN form — a literal is a single whitespace-free span, and the closing
#      delimiter is optional when the source does not contain the delimiter char: with
#      no delimiter before the first unescaped whitespace (or end of source), the span
#      is the source — `+email:alice@example.com` ≡ `mini email 'alice@example.com'`.
#      There is no scan-ahead past whitespace, so a stray delimiter char in a later
#      token can never capture the literal, and a literal never spans lines. A source
#      char equal to the delimiter CLOSES there (first occurrence wins) unless escaped.
import "boru:minilang"  +hb:deadbeef	Bytes<de ad be ef>	open form: no closing delimiter needed at end of source
import "boru:minilang"  ("a1b2c3" +re:\d {limit:2}).n	2	open form ends at whitespace — the opts map still collects, backslashes still raw
import "boru:minilang"  ("a1b2c3" +re:\d {limit: 2}).n	2	a spaced map key's `:` cannot capture the literal (no scan-ahead)
import "boru:minilang"  def r ("alice@example.com" +re:@example ) end  r.fst.m	'@example'	the motivating shape: a source full of punctuation, no delimiter collision
import "boru:minilang"  ("xa:by" +re:a\:b ).fst.m	'a:b'	an escaped delimiter keeps the open form open
import "boru:minilang"  ("aXbXc" +re:X:).n	2	a source char equal to the delimiter closes the literal — this is the CLOSED form, src 'X'
import "boru:minilang"  (+hb/de_ad_be_ef/) typeof	Bytes	a closed literal abuts syntax — the delimiter closes before `)`
import "boru:minilang"  +hb:dead beef	ERROR:undefined_word	the open source ends at whitespace: `beef` is a separate (undefined) word
import "boru:minilang"  +hb/de ad be ef/	ERROR:undefined_word	whitespace no longer spans a literal — use `_` grouping, `\ ` escapes, or the quoted form
import "boru:minilang"  +re:	ERROR:syntax_error	an empty open source is not a literal — `+re:` falls to normal lexing
#
# §mi  micron (short form: m) — Micron literals. The source parses through each
#      ONE merged tabnas grammar (eng.MicronFromString): each builtin Micron
#      leaf owns a tabnas literal grammar, and the (*Tabnas).Merge combination
#      dispatches on shape — Emailon, then Urlon, then Pathon. Pathon's grammar
#      accepts any whitespace-free source, so it is the catch-all and a micron
#      literal never fails to parse. URL sources contain `:` and `/`, so
#      pick a delimiter outside the source (`+m|https://…`) or the first
#      occurrence closes the literal early (the standard closed-form rule).
import "boru:minilang"  +m:alice@example.com typeof	Emailon	an email source parses first as Emailon
import "boru:minilang"  +m:alice@example.com	alice@example.com
import "boru:minilang"  (+m:alice@example.com:).host	'example.com'	a micron literal is a full Micron — properties work
import "boru:minilang"  +m:bob@x.io eq (make Emailon 'bob@x.io')	true	the literal and the make form build the SAME value
import "boru:minilang"  +m|https://x.com/a?q=1 typeof	Urlon	not an email → next constructor in turn: Urlon
import "boru:minilang"  +m|https://x.com/a?q=1	https://x.com/a?q=1
import "boru:minilang"  +m:a/b typeof	Pathon	neither email nor URL → the Pathon catch-all
import "boru:minilang"  +m:9000 typeof	Pathon	any whitespace-free source is a valid (single-segment) Pathon
import "boru:minilang"  +micron:bob@corp.io typeof	Emailon	the full kind name is the same transducer
import "boru:minilang"  mini m 'bob@corp.io' typeof	Emailon	the explicit mini form is equivalent
import "boru:minilang"  (MiniLang.lang_micron 'bob@corp.io' {} end) typeof	Emailon	as is the desugared standard call
import "boru:minilang"  mini micron 5	ERROR:signature_error	the source must be a String
#
# §7  compiled mini-languages — an optional expansion-time compile hook (design §13).
#     A BUILT-IN kind keeps its transducer (the semantic reference + fallback) and
#     may add a Go compiler that runs at the `mini` site when src is concrete,
#     splicing tokens instead of the standard call. `re` ships one (precompiled-
#     pattern carrier + run-re consumer). `mini` has no expansion cache, so hooks
#     memoize (re does). The boru hook surface (register-compiled) died with the
#     frozen kind namespace — the word survives as a tombstone.
import "boru:minilang"  MiniLang.register-compiled	ERROR:mini_registry_frozen	the boru compile-hook surface was removed with registration (tombstone)
#
# §8  the `gex` kind — glob-expression SELECT (not a match-extractor like re).
#     Anchored whole-subject match: `*` any run, `?` one char, `**`/`*?` a literal
#     `*`/`?`. A scalar returns itself when it matches else None; a List is filtered
#     to matching elements, a Map to entries whose key matches. None / empty results
#     are falsy, so the scalar value drops straight into `if`.
import "boru:minilang"  "ax" mini gex 'a*'	'ax'	scalar match returns the subject (explicit mini form)
import "boru:minilang"  "bx" mini gex 'a*'	None	no match → None
import "boru:minilang"  "ax" MiniLang.lang_gex 'a*' {} end	'ax'	the desugared standard call — mini and +gex are sugar for this
import "boru:minilang"  "ax" +gex/a*/	'ax'	the terse +literal form, subject from the stack
import "boru:minilang"  "bx" +gex/a*/	None	+literal, no match → None
import "boru:minilang"  "xab" +gex/a*/	None	anchored: the whole subject must match, not a substring
import "boru:minilang"  ["ab" "zz" "ac"] +gex/a*/	['ab' 'ac']	a List subject is filtered to matching elements
import "boru:minilang"  {ab:1 zz:2 ac:3} +gex/a*/ {}	{ab:1 ac:3}	a Map subject is filtered by key — needs an explicit {} (mini's opts is a Map, so a bare map subject is claimed as opts)
import "boru:minilang"  {ab:1 zz:2 ac:3} +gex/a*/ typeof	Function	without the {} the map IS the opts, leaving no subject — the partial stays a storable Function value (see §fn)
import "boru:minilang"  "a*b" +gex/a**b/	'a*b'	`**` is a literal `*` (matches the star verbatim)
import "boru:minilang"  "axb" +gex/a**b/	None	`**` is literal, so the wildcard reading does not apply
import "boru:minilang"  "axc" +gex/a?c/	'axc'	`?` matches exactly one character
import "boru:minilang"  "ac" +gex/a?c/	None	`?` requires a character — zero won't do
import "boru:minilang"  "a?c" +gex/a*?c/	'a?c'	`*?` is a literal `?`
import "boru:minilang"  "axc" +gex/a*?c/	None	`*?` is literal, so a real char does not match it
import "boru:minilang"  if ("ax" +gex/a*/) ['Y'] ['N']	'Y'	a matched subject is truthy
import "boru:minilang"  if ("bx" +gex/a*/) ['Y'] ['N']	'N'	None is falsy, so a non-match takes the else branch
#
# §m  m — traditional maths formula evaluator (tabnas/expr). Variables are
#     bound by the named params; operators + - * / % ^ (power, right-assoc),
#     unary +/-, and parens. Numeric coercion follows boru: all-integer operands
#     stay Integer (division truncates like `div`), any Float promotes to Float.
import "boru:minilang"  mini math 'x*y-z^2' {x:3 y:4 z:2}	8	formula with variables from the named params
import "boru:minilang"  mini math 'x*y-z^2' {x:3 y:4 z:2.0}	8.0	a Float param promotes the whole result to Float (boru coercion)
import "boru:minilang"  mini math '2^3^2' {}	512	`^` is right-associative: 2^(3^2) = 2^9
import "boru:minilang"  mini math '-z^2' {z:3}	-9	`^` binds tighter than unary minus: -(3^2)
import "boru:minilang"  mini math '(x+y)*z' {x:1 y:2 z:3}	9	parentheses group
import "boru:minilang"  mini math 'x/y' {x:5 y:2}	2	integer operands → truncating integer division, like `div`
import "boru:minilang"  mini math 'x/y' {x:5.0 y:2}	2.5	a Float operand → real division
import "boru:minilang"  mini math 'x' {x:42}	42	a bare variable resolves to its param
import "boru:minilang"  (MiniLang.lang_math 'x*y-z^2' {x:3 y:4 z:2} end)	8	mini is sugar — the desugared standard call is equivalent
#
# §m  negatives
import "boru:minilang"  mini math 'x+q' {x:1}	ERROR:mini_eval_error	an unbound variable is a loud error
import "boru:minilang"  mini math 'x/y' {x:1 y:0}	ERROR:mini_eval_error	division by zero is a loud error
import "boru:minilang"  mini math 'x +' {x:1}	ERROR:mini_syntax_error	a malformed formula is a loud parse error
#
# §jpq  jp — JSONPath (github.com/ohler55/ojg) — and jq — jq filter
#       (github.com/itchyny/gojq). The document is the stack subject and may be
#       any boru shape: a Node (Map/List), class instance, Table or Record. Both
#       return a LIST of results (jp: matched nodes; jq: the output stream). A
#       MAP/Record subject needs an explicit {} opts (a bare map is otherwise
#       claimed as mini's opts — the same gotcha as gex).
import "boru:minilang"  {store:{book:[{title:'A'} {title:'B'}]}} mini jp '$.store.book[*].title' {}	['A' 'B']	JSONPath over a Node — matched nodes as a List
import "boru:minilang"  {a:1 b:2} mini jq '.a + .b' {}	[3]	a jq filter over a Node; jq's output stream is a List
import "boru:minilang"  [{n:1} {n:2} {n:3}] mini jp '$[*].n'	[1 2 3]	a List subject needs no {} (only a Map subject is claimed as opts)
import "boru:minilang"  [1 2 3 4] mini jq '.[] | select(. > 2)'	[3 4]	jq select over a List subject
import "boru:minilang"  def Pt class {x:Integer y:Integer} end  (make Pt {x:7 y:9}) mini jp '$.x'	[7]	a class instance projects to its field map
