# Macro system — design/MACROS.8.md + design/legacy/MACROS-PHASE1.10.ignore.
#
# Columns: <input><TAB><expected>[<TAB><note>]. Output is eng.Canon, so a bare
# atom renders name/q. Each spec row runs on a fresh registry, so gensym's
# counter starts at 1 every row.
#
# ─────────────────────────────────────────────────────────────────────
# §0  gensym — fresh, never-colliding atoms (Phase 0).
gensym	tmp$g1/q	first gensym in a fresh registry
[gensym gensym gensym]	[tmp$g1/q tmp$g2/q tmp$g3/q]	monotonic + unique per call
(gensym) eq (gensym)	false	two gensyms never collide
typeof (gensym)	Atom	gensym is an Atom
#
# §1  macro definer + unquote — operands arrive as code, spliced at the call site.
def twice (macro [[e] [ quote [ unquote e add unquote e ] ]])  twice 5	10	unquote inserts the operand form (twice)
def unless (macro [[c body] [ quote [ if unquote c [0] unquote body ] ]])  unless false [42]	42	a control-flow macro (cond false → body)
def unless (macro [[c body] [ quote [ if unquote c [0] unquote body ] ]])  unless true [42]	0	cond true → the then branch
#
# §2  splice — flatten a list operand into the surrounding sequence.
def callit (macro [[f xs] [ quote [ unquote f splice xs ] ]])  def add3 fn [[a:Integer b:Integer c:Integer][Integer][a add b add c]]  callit add3 [1 2 3]	6	splice spreads [1 2 3] as add3's args
#
# §3  hygiene — an introduced binder does NOT capture a same-named user var.
# Manual (gensym) and automatic (Phase 4) both keep the user's `tmp` intact.
def myor (macro [[a b] [ def g (gensym)  quote [ def unquote g unquote a  if unquote g [unquote g] [unquote b] ] ]])  def tmp 42  myor false tmp	42	manual: a gensym'd temp (def unquote g) doesn't capture user tmp
def myor2 (macro [[a b] [ quote [ def tmp unquote a  if tmp [tmp] [unquote b] ] ]])  def tmp 42  myor2 false tmp	42	AUTO-hygiene: a literal `def tmp` binder is renamed, so user tmp is safe
def defconst (macro [[name val] [ quote [ def unquote name unquote val ] ]])  defconst answer 42  answer	42	intentional user-visible binding via `def unquote name` (escape: not renamed)
#
# §4  macroexpand — show the expansion as data (no splice/run).
def twice (macro [[e] [ quote [ unquote e add unquote e ] ]])  macroexpand (twice 5)	[5 add 5]	expansion is the spliced token list
#
# §5  Negatives
unquote 5	ERROR:unquote: only valid inside a macro template	unquote outside a template
splice [1 2 3]	ERROR:splice: only valid inside a macro template	splice outside a template
macro [[a]]	ERROR:expected [[params] [body]]	macro needs [[params][body]]
def m (macro [[a b] [quote [unquote a]]])  m 1	ERROR:expects 2 operand	too few operands
def m (macro [[a] [quote [splice a]]])  m 5	ERROR:did not evaluate to a list	splice of a non-list
#
# §6  Expansion cache (1e) — repeated calls with the same operands reuse the
#     expansion; correctness is unchanged (a hit re-splices identical code).
def inc1 (macro [[a] [ quote [ unquote a add 1 ] ]])  [(inc1 4) (inc1 4) (inc1 9)]	[5 5 10]	cache hits (inc1 4 twice) + a miss (inc1 9)
#
# §7  macroexpand is recursive (macroexpand-all): a macro whose expansion calls
#     another macro is expanded too. A runaway recursive macro errors loudly.
def innr (macro [[x] [quote [unquote x add 1]]])  def outr (macro [[y] [quote [innr unquote y]]])  macroexpand (outr 5)	[5 add 1]	nested macro fully expanded
def loopy (macro [[a] [quote [loopy unquote a]]])  macroexpand (loopy 1)	ERROR:expansion too deep	recursive macro is caught, not looped
#
# §8  Staging (Phase 5, interpreter): a macro is define-before-USE — using it
#     before definition errors. A macro referenced in a fn body expands at
#     CALL time, so it need only be defined before the call (more lenient than
#     compiled mode, where expansion moves to compile time — IR-backend work).
nope 1  def nope (macro [[a] [quote [unquote a]]])	ERROR:undefined word: nope	use before definition errors
def unless (macro [[c body] [ quote [ if unquote c [0] unquote body ] ]])  def f fn [[n:Integer] [Integer] [ unless (n gt 10) [n] ]]  f 5	5	a macro composes inside a fn body
def f fn [[n:Integer] [Integer] [ twice n ]]  def twice (macro [[e] [quote [unquote e add unquote e]]])  f 5	10	macro defined after the fn but before the call → expands at call time
