# boru Language Specification: Function Application (apply)
# Format: input<TAB>expected<TAB>description
#
# apply is the opposite-direction complement of `valof`: where `valof`/`/v`
# turns a call site into a Function VALUE, `apply` turns a Function value
# back into a CALL against the preceding stack arguments.
#
# apply is STACK-ONLY (it reads its function off the top of the stack):
#
#     <arg> ... <fn> apply
#
# so the canonical form pairs it with the `/v` suffix, which leaves the
# function on the stack without invoking:
#
#     5 inc/v apply        →  6        # inc applied to 5
#
# IMPORTANT — pair apply with the `/v` SUFFIX, not the `(valof …)` paren.
# A paren re-steps its contents, so `5 (valof inc) apply` fires `inc`
# against the stacked `5` FIRST (→ 6), leaving no function for `apply`.
# The `/v` suffix parks the function instead, which is what apply needs.
#
# ─────────────────────────────────────────────────────────────────────
# §1  Basic application (args... fn/v apply)
def inc fn [[n:Integer][Integer][n add 1]]  5 inc/v apply	6	apply a 1-arg referenced fn to one stack arg
def sub2 fn [[a:Integer b:Integer][Integer][a sub b]]  10 3 sub2/v apply	-7	apply a 2-arg referenced fn (stack order: top→sig[0])
def z fn [[][Integer][42]]  z/v apply	42	apply fires a referenced 0-arg fn
def inc fn [[n:Integer][Integer][n add 1]]  5 inc/v apply  add 100	106	apply composes — its result stays on the stack
#
# §2  apply on an anonymous-function reference
def f ([n:Integer] => [n add 1])  5 f/v apply	6	apply a referenced lambda
def inc fn [[n:Integer][Integer][n add 1]]  5 (valof inc) apply	6	a PAREN-grouped reference applies identically: the paren PLACES the fn (NUR073 clause 3) and apply calls it — grouping and the /v suffix now agree
#
# §3  apply on a usurp (argument-reversed) wrapper
def sub2 fn [[a:Integer b:Integer][Integer][a sub b]]  10 3 sub2/uv apply	7	apply a reffed-usurp wrapper: args reversed (3 sub 10... reversed → 10 sub 3)
#
# §4  Negatives
5 apply	ERROR:signature_error	apply with no function on the stack
def inc fn [[n:Integer][Integer][n add 1]]  5 inc apply	ERROR:signature_error	bare inc fires on 5 first (→6); apply then has no fn
#
# §5  The reach-lens overload is stack-only too (NUR098's fix, 2026-08-24):
#     receiver beneath, lens on top — `receiver lens apply`. The forward
#     spellings are refused exactly as the Function overload's are, so the
#     word carries ONE sourcing regime with no per-overload exception. The
#     two forward-lens NEGATIVES joined this file with the forty-sixth
#     increment (2026-09-10): their check-time no-match takes the recovery
#     path, and a recovered window whose operands include a DEFERRED
#     EXPRESSION (a reach, a paren expr, an interp string) now takes the
#     runtime REMATCH rather than declining — it re-runs the match over the
#     values the interpreter's own dispatch examines, so the compiled
#     program raises the byte-identical signature_error instead of the whole
#     program falling back.
#
#     The SWAPPED spelling `$.1 [10 20 30] apply` is deliberately NOT here.
#     Its window carries sigError's REORDER HINT, which is derived from tape
#     state the runtime rebuild cannot reproduce, so it keeps a sound
#     whole-program refusal — and this corpus's refusal ceiling is 0, so a
#     row that refuses does not belong in it whatever its answers are. It is
#     pinned instead by lang/go/deferred_rematch_test.go
#     (TestReorderHintWindowKeepsItsRefusal), which asserts both the refusal
#     and the interpreter's own hint. (It WAS added here by the forty-sixth
#     increment and taken out again by the batch gate that caught it.)
def p {name:'ada'}  p $.name apply	'ada'	apply a reach lens to a stack receiver (lens on top)
[10 20 30] $.1 apply	20	apply an index lens to a stack list
def p {name:'ada'}  p apply $.name	ERROR:signature_error	forward lens refused — apply is stack-only, no per-overload exception
[10 20 30] apply $.1	ERROR:signature_error	forward lens refused for the list form too
