# boru Language Specification: the boru:time-util module
# Format: input<TAB>expected<TAB>description
#
# Loadable module of time/date utilities. Its name collides with the
# builtin `Time` type, so it carries a `-util` id and a `TimeUtil`
# namespace: `import "boru:time-util"  TimeUtil.word args`. The module
# distinguishes Instant (a point in time, e.g. a unix timestamp) from
# Date (a calendar day) — Date-typed words (to-iso, is-leap-year, …) take
# a Date, not an Instant. The "current time" words (today-utc, now-local)
# read the Clock capability, which this suite FREEZES at 2021-01-01, so
# they are deterministic here. (Core `now` is in lang/spec/temporal.tsv.)
#
# ─────────────────────────────────────────────────────────────────────
# §1  unix epoch ↔ Instant
import "boru:time-util"  TimeUtil.unix 0	1970-01-01T00:00:00Z	unix seconds → Instant
import "boru:time-util"  TimeUtil.to-unix (TimeUtil.unix 1700000000)	1700000000	Instant → unix seconds (round-trip)
#
# §2  current day — frozen at 2021-01-01 in this suite
import "boru:time-util"  TimeUtil.today-utc	2021-01-01	today (UTC) reads the frozen clock
#
# §3  Date formatting (Date-typed input)
import "boru:time-util"  TimeUtil.to-iso TimeUtil.today-utc	'2021-01-01'	ISO-8601 string of a Date
import "boru:time-util"  TimeUtil.to-string TimeUtil.today-utc	'2021-01-01'	default string form of a Date
#
# §4  leap-year predicate (Date-typed input)
import "boru:time-util"  TimeUtil.is-leap-year TimeUtil.today-utc	false	2021 is not a leap year
import "boru:time-util"  TimeUtil.is-leap-year (TimeUtil.to-date (TimeUtil.unix 1577836800))	true	2020 is a leap year
#
# §5  clock / async words (moved here from core)
import "boru:time-util" TimeUtil.now	2021-01-01T00:00:00Z	now reads the (frozen, in specs) clock
import "boru:time-util" typeof TimeUtil.now	Instant	now yields an Instant
import "boru:time-util" TimeUtil.await [[1 add 2] [3 add 4]]	[3 7]	await runs bodies in parallel
import "boru:time-util" TimeUtil.await []	[]	an empty parallels list returns the empty List, before any mode is read
import "boru:time-util" size (TimeUtil.await {mode:'full'} [[1 add 2] [3 add 4]])	2	`full` has no error escape — always a List, one row per branch
import "boru:time-util" (TimeUtil.await {mode:'full'} [[1 add 2]]) get 0	{status:ok/q value:3}	each `full` row wraps its branch outcome
import "boru:time-util" (TimeUtil.await {mode:'full'} [[1 div 0]]) get 0	{status:error/q value:error(division by zero)}	a rejected branch becomes a row, not an escape
import "boru:time-util" typeof (TimeUtil.await [[1 div 0]])	Error	`all` short-circuits a rejecting branch to that branch's Error
import "boru:time-util" typeof (TimeUtil.await [[1 add 2] [3 add 4]])	List	…and builds the List when every branch succeeds
import "boru:time-util" TimeUtil.await {mode:5} [[1 add 2]]	[3]	a non-String/Atom mode reads as the default, it does not raise
import "boru:time-util" TimeUtil.await {mode:'bogus'} [[1 add 2]]	ERROR:await_error	an unknown mode raises
import "boru:time-util" TimeUtil.await {mode:'bogus'} []	[]	…but NOT for an empty list: doAwait returns before it selects a runner
import "boru:time-util" TimeUtil.await {mode:'first'} [[1 2 3]]	1 2 3	`first` hands back the winning branch's WHOLE residual — a runtime-variadic REGION, three values through one recorded slot (NUR067, graduated)
import "boru:time-util" TimeUtil.await {mode:'first'} [[]]		…and the zero-count direction: an empty winner contributes nothing
import "boru:time-util" TimeUtil.await {mode:'any'} [[raise bad_input "boom"] [3 mul 4]]	12	`any` takes the one branch that resolves; the rejecting one contributes nothing
#
# §6  negative — the namespace is unbound until imported; words gone from core
TimeUtil.unix 0	ERROR:undefined_word	`TimeUtil` is undefined without `import`
now	ERROR:undefined_word	`now` is no longer a core word
#
# §7  Instant construction & unix conversions
import "boru:time-util"  TimeUtil.unix-ms 1700000000000	2023-11-14T22:13:20Z	unix milliseconds → Instant
import "boru:time-util"  TimeUtil.unix-ns 1700000000000000000	2023-11-14T22:13:20Z	unix nanoseconds → Instant
import "boru:time-util"  TimeUtil.to-unix-ms (TimeUtil.unix 1700000000)	1700000000000	Instant → unix milliseconds
#
# §8  timezones
import "boru:time-util"  TimeUtil.tz "America/New_York"	America/New_York	IANA zone name → Timezone
import "boru:time-util"  TimeUtil.tz-utc	UTC	the UTC timezone
import "boru:time-util"  TimeUtil.tz-local	Local	the host-local timezone
import "boru:time-util"  TimeUtil.tz-name (TimeUtil.tz-utc)	'UTC'	name of a Timezone
import "boru:time-util"  TimeUtil.tz-offset (TimeUtil.tz-utc) (TimeUtil.unix 1700000000)	'+00:00'	offset of an Instant in a zone
import "boru:time-util"  TimeUtil.is-dst (TimeUtil.tz "America/New_York") (TimeUtil.unix 1700000000)	false	DST active? (Nov → false)
#
# §9  current local datetime — frozen at 2021-01-01
import "boru:time-util"  TimeUtil.now-local	2021-01-01T00:00:00	now-local reads the frozen clock
#
# §10  Date field extraction (Date → Integer/String)
import "boru:time-util"  TimeUtil.year (TimeUtil.to-date (TimeUtil.unix 1700000000))	2023	calendar year
import "boru:time-util"  TimeUtil.month (TimeUtil.to-date (TimeUtil.unix 1700000000))	11	month number (1-12)
import "boru:time-util"  TimeUtil.day (TimeUtil.to-date (TimeUtil.unix 1700000000))	14	day of month
import "boru:time-util"  TimeUtil.weekday (TimeUtil.to-date (TimeUtil.unix 1700000000))	2	ISO weekday (Mon=1..Sun=7)
import "boru:time-util"  TimeUtil.weekday-name (TimeUtil.to-date (TimeUtil.unix 1700000000))	'Tuesday'	weekday name
import "boru:time-util"  TimeUtil.month-name (TimeUtil.to-date (TimeUtil.unix 1700000000))	'November'	month name
import "boru:time-util"  TimeUtil.year-day (TimeUtil.to-date (TimeUtil.unix 1700000000))	318	ordinal day of the year
import "boru:time-util"  TimeUtil.iso-week (TimeUtil.to-date (TimeUtil.unix 1700000000))	46	ISO-8601 week number
import "boru:time-util"  TimeUtil.quarter (TimeUtil.to-date (TimeUtil.unix 1700000000))	4	calendar quarter (1-4)
import "boru:time-util"  TimeUtil.days-in-month (TimeUtil.to-date (TimeUtil.unix 1700000000))	30	days in that month
import "boru:time-util"  TimeUtil.days-in-year (TimeUtil.to-date (TimeUtil.unix 1700000000))	365	days in that year
import "boru:time-util"  TimeUtil.format "2006-01-02" (TimeUtil.to-date (TimeUtil.unix 1700000000))	'2023-11-14'	Go-layout format of a Date
#
# §11  Date arithmetic (shift a Date by n units)
import "boru:time-util"  TimeUtil.add-days 10 (TimeUtil.to-date (TimeUtil.unix 1700000000))	2023-11-24	add days
import "boru:time-util"  TimeUtil.add-months 2 (TimeUtil.to-date (TimeUtil.unix 1700000000))	2024-01-14	add months
import "boru:time-util"  TimeUtil.add-years 3 (TimeUtil.to-date (TimeUtil.unix 1700000000))	2026-11-14	add years
import "boru:time-util"  typeof (TimeUtil.add-days 10 (TimeUtil.to-date (TimeUtil.unix 1700000000)))	Date	a shift changes the value, never the type
import "boru:time-util"  keys (TimeUtil.add-days 10 (TimeUtil.to-date (TimeUtil.unix 1700000000)))	ERROR:signature_error	…so a Date is not a Map
import "boru:time-util"  TimeUtil.to-unix (TimeUtil.add-days 10 (TimeUtil.to-date (TimeUtil.unix 1700000000)))	ERROR:uncalled_function	…and not an Instant either — to-unix takes an Instant
#
# §12  duration constructors — calendar (Integer → CalendarDuration)
import "boru:time-util"  TimeUtil.years 2	P2Y0M0D	n years as a CalendarDuration
import "boru:time-util"  TimeUtil.months 6	P0Y6M0D	n months as a CalendarDuration
import "boru:time-util"  TimeUtil.weeks 2	P0Y0M14D	n weeks (→ days)
import "boru:time-util"  TimeUtil.days 30	P0Y0M30D	n days
import "boru:time-util"  TimeUtil.cal-dur 1 6 15	P15Y6M1D	years/months/days → CalendarDuration
#
# §13  duration constructors — clock (Number → ClockDuration)
import "boru:time-util"  TimeUtil.hours 3	3h0m0s	n hours
import "boru:time-util"  TimeUtil.minutes 90	1h30m0s	n minutes
import "boru:time-util"  TimeUtil.seconds 30	30s	n seconds
import "boru:time-util"  TimeUtil.ms 500	500ms	n milliseconds
import "boru:time-util"  TimeUtil.us 250	250µs	n microseconds
import "boru:time-util"  TimeUtil.ns 1000	1µs	n nanoseconds
#
# §14  duration extraction
import "boru:time-util"  TimeUtil.total-hours (TimeUtil.minutes 90)	1.5	ClockDuration → total hours (Float)
import "boru:time-util"  TimeUtil.total-minutes (TimeUtil.hours 2)	120.0	→ total minutes
import "boru:time-util"  TimeUtil.total-seconds (TimeUtil.minutes 1)	60.0	→ total seconds
import "boru:time-util"  TimeUtil.total-ms (TimeUtil.seconds 2)	2000.0	→ total milliseconds
import "boru:time-util"  TimeUtil.dur-years (TimeUtil.cal-dur 1 6 15)	15	CalendarDuration years field
import "boru:time-util"  TimeUtil.dur-months (TimeUtil.cal-dur 1 6 15)	6	CalendarDuration months field
import "boru:time-util"  TimeUtil.dur-days (TimeUtil.cal-dur 1 6 15)	1	CalendarDuration days field
