# NUR038 statement seal — twin value-called statements (the misfire class,
# fixed 2026-08-01). A completed value-called forward collection now SEALS
# (stack-only re-step, the /s word twin), and a reach-read named fn that
# would collect is an arrival BARRIER (committed via commitBarrierForward
# or resolved from the stack), so consecutive dot-access calls each bind
# their own arguments in source order. These rows are the value-returning
# twin-call matrix: semantically green on the interpreter, compile-FAILED
# on the pre-existing residual-ordering limitation ("dynamic value
# precedes residual args (fn-value-call boundary)") — two dynamic call
# results in one program residual exceed the Stage-1 lowering. Sound
# interpreter fallback (differential-clean). Graduation = the residual
# lowering handling multiple dynamic results, at which point the ledger
# entries delete and the rows move to lang/spec/fn-value.tsv §6.
def f fn [[x:Any] [Any] [x]] end def m {p: f/v} end 5 m.p m.p 7	5 7	stack form then forward form — the seal is form-agnostic
def f fn [[x:Any] [Any] [x]] end def m {p: f/v} end m.p (1 add 2) m.p 7	3 7	a computed first argument still seals before the second call
def m {l: ([x:Any] => [x])} end m.l 5 m.l 7	5 7	afn lambda values seal too
# The explicit-paren row GRADUATED 2026-08-27 (Stage 3) and now lives in
# lang/spec/fn-value.tsv §6: it compiles natively and answers `5 7` on both
# lanes. SIX MORE GRADUATED there 2026-09-05 — the twin, triple, two-arg,
# module-export, bare-word and explicit-`end` rows: a user call's single
# result is PARKED data where it lands (design/PAREN-RESTEP-RULE.0.md, the
# bare-call rows), so two dynamic results in one residual are two placed
# values. What is left here are the spellings whose residual carries the
# dynamic result UNDER a later window (the stack form, a computed first
# argument, a lambda member, the 0-arg overload twin).
def e fn [[] [Integer] [42] [x:Any] [Any] [x]] end def m {e: e/v} end m.e 5 m.e 7	5 7	an arg-bearing overload wins over its 0-arg twin, per statement (the NUR035 guard holds under the seal)
