# parser/spec/parse.tsv — the parser-level parity corpus.
#
# One row per source: src <TAB> expected <TAB> optional note. The note column
# is always present (`-` means no note), so an unescaped tab cannot be ignored
# as an accidental extra field.
#
# A line is a COMMENT only when it starts with '#' AND contains no tab, so a
# source may itself begin with '#' (boru's comment marker) without vanishing.
# Blank lines are ignored.
#
# EVERY column is escaped (\n, \t, \\) so a row is exactly one line. A render
# can itself contain a newline — XML text spanning lines does — and an
# unescaped one splits the row and silently truncates it rather than failing.
#
# `expected` is the canon of the parsed value stream (each value rendered,
# space-joined), or 'ERR ' and the first line of the error text. Both engines
# must produce it: parser/go/parserspec_test.go and
# parser/ts/src/parserspec.test.ts read these files with NO shared code, the
# same two-runner discipline core/spec uses.
#
# Rows the two engines DISAGREE on are not here — they are in divergent.tsv
# with both renders, so this file stays one contract rather than a lowest
# common denominator.
#
# Seeded from parser/go. parse-battery.test.ts named it the reference while
# nothing checked that claim (design/legacy/TS-PARITY-AUDIT.0.ignore).
'a\\nb'	'a\\nb'	-
't\\tt'	't\\tt'	-
'r\\rr'	'r\\rr'	-
'bs\\\\'	'bs\\\\'	-
'q\\'q'	"q'q"	-
"dq\\""	'dq"'	-
0d_	ERR [boru/syntax_error]: invalid 0d numeric literal: 0d_	-
0d12_	ERR [boru/syntax_error]: invalid 0d numeric literal: 0d12_	-
1.2.3	ERR [boru/syntax_error]: a number has no members to access with `.`	-
5 . foo	ERR [boru/syntax_error]: a number has no members to access with `.`	-
a => [1]	word(a) sugar(lambda) [1]	-
<br/>	<br/>	-
<a href='u'>t</a>	<a href="u">t</a>	-
<t a='1' b='2'><u/>text</t>	<t a="1" b="2"><u/>text</t>	-
`v ${1} w`	interp('v ' ${1} ' w')	-
`${x}`	interp(${word(x)})	-
{:String}	{:String}	-
# comment\n1	1	-
1 # trailing	1	-
(quote a)	(quote a)	-
{a:{b:[1 2]}}	{a:{b:[1 2]}}	-
[{x:1}]	[{x:1}]	-
-2.5e3	-2500.0	-
1e-7	0.0000001	-
a:b	{a:word(b)}	-
's':1	{s:1}	-
12:30:00	{12:{30:0}}	-
a/b/c	word(a/b/c)	-
f/q	f/q	-
Box<Integer>	Box<Integer>	-
Box<(Integer)>	Box<(Integer)>	-
Box<(1e400)>	ERR [boru/float_overflow]: floating-point literal out of range: 1e400 overflows to infinity	parenthesized angle arguments propagate conversion errors
Box<T = (Integer)>	Box<T = (Integer)>	-
Box<Pair<(Integer)>>	Box<Pair<(Integer)>>	-
{x: Box<Integer>}	{x:Box<Integer>}	-
Box<Integer String>	Box<Integer String>	-
Box<>	Box<>	-
(Box of [Integer])	(Box of [word(Integer)])	-
1_000	1000	-
1_0.5	10.5	-
'u\\u0041'	'uA'	-
'x\\x41'	'xA'	-
'q\\z'	'qz'	-
{a: true}	{a:word(true)}	-
[true false]	[word(true) word(false)]	-
{b: none}	{b:none}	-
{x}	{x:word(x)}	-
{x/v}	{x:x/v}	-
{x/2}	{x:x/2}	-
{x/s}	{x:x/s}	-
{x/q}	{x:x/q}	-
{x/zz}	{x/zz:word(x/zz)}	-
{a x/v}	{a:word(a) x:x/v}	-
<a>&amp;&lt;&gt;</a>	<a>&amp;&lt;&gt;</a>	-
<a b='&amp;'/>	<a b="&amp;"/>	-
<a>&#65;</a>	<a>&amp;#65;</a>	-
<a>&quot;</a>	<a>"</a>	-
<a	ERR xml: unterminated opening tag <a>	-
<a></b>	ERR xml: mismatched closing tag </b> for <a>	-
<	ERR [boru/syntax_error]: unexpected `` — nothing valid can appear here	-
<a>\nx</a>	<a>\nx</a>	-
<a x='1' x='2'/>	ERR xml: duplicate attribute "x" in <a>	-
<a x='1/>	ERR xml: unterminated value for attribute "x" in <a>	-
<a x=''/>	<a x=""/>	-
<a>x</ a >	<a>x</a>	-
<a>x</	ERR xml: malformed closing tag for <a>	-
<a>x</a!	ERR xml: malformed closing tag for <a>	-
<a><b y='1></b></a>	ERR xml: unterminated value for attribute "y" in <b>	-
<a>${'s'}</a>	interp-xml(<a>${'s'}</a>)	-
<a>${{k:1}}</a>	interp-xml(<a>${{k:1}}</a>)	-
<a>${(}</a>	ERR xml: in ${...}: [boru/syntax_error]: unmatched opening parenthesis	-
`a\\nb`	'a\\nb'	-
`t\\ta\\r\\\\q\\`e\\$s\\zx`	't\\ta\\r\\\\q`e$szx'	NUR026: the template escape set is now the quoted-string set — the unknown `\\z` yields a bare `z` (was `\\z`)
# NUR026 — a template takes the QUOTED-STRING escape vocabulary. The rows
# below are the escapes that were inert in a template before the fix, plus
# the malformed-input residual that is deliberately NOT at parity (jsonic
# RAISES on a bad \\x in a quoted string; the template lexer has no error
# channel, so it keeps the literal reading — recorded, not silent).
# The \\b / \\f / \\v control characters are pinned in the two ports' unit
# tests instead: their canon carries a RAW control byte, which no single
# TSV line can hold (the corpus escape set is \\n, \\t, \\\\ only).
`a\\x41b`	'aAb'	two-hex-digit byte, newly live in a template (NUR026)
`a\\u0041b`	'aAb'	four-hex-digit rune, newly live (NUR026)
`a\\0b`	'a0b'	\\0 is the digit, exactly as in a quoted string (NUR026)
`a\\xZZb`	'axZZb'	MALFORMED \\x stays literal in a template — the recorded residual
[inf -inf nan]	[inf -inf nan]	-
0x10	16	-
0o17	15	-
0b101	5	-
0x1_0	16	-
0x_1	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 0x_1	-
0x1_	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 0x1_	-
0x1__0	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 0x1__0	-
0_x1	ERR [boru/syntax_error]: invalid numeric literal: 0_x1	-
0xFFFFFFFFFFFFFFFFFF	ERR [boru/integer_overflow]: integer literal out of range: 0xFFFFFFFFFFFFFFFFFF exceeds the Integer range (-9223372036854775808..9223372036854775807)	-
[1,,2]	ERR [boru/syntax_error]: empty list element: remove the leading/repeated comma (write `none` for an explicit empty value)	-
[,1]	ERR [boru/syntax_error]: empty list element: remove the leading/repeated comma (write `none` for an explicit empty value)	-
{a:<b/>}	{a:<b/>}	-
{a:<b x=1/>}	ERR xml: attribute "x" in <b> must have a quoted value	-
\t		-
# only a comment		-
. x	ERR [boru/syntax_error]: `.` member access has no receiver	-
! . x	ERR [boru/syntax_error]: `.` member access has no receiver	-
[x:Integer]	[{x:word(Integer)}]	-
+m'src'	sugar(mini m 'src')	-
(1,,2)	ERR [boru/syntax_error]: empty list element: remove the leading/repeated comma (write `none` for an explicit empty value)	-
(,1)	ERR [boru/syntax_error]: empty list element: remove the leading/repeated comma (write `none` for an explicit empty value)	-
(1,)	ERR [boru/syntax_error]: unmatched opening parenthesis	-
(,)	ERR [boru/syntax_error]: unmatched opening parenthesis	-
(1, 2)	(1 2)	-
[1,]	[1]	-
{a:,}	ERR [boru/syntax_error]: empty list element: remove the leading/repeated comma (write `none` for an explicit empty value)	-
Box<Integer	ERR [boru/syntax_error]: unclosed angle bracket: Box<… has no matching `>`	-
+.5	ERR [boru/syntax_error]: numeric literal has no digit before `.`: +.5	-
0dx	ERR [boru/syntax_error]: invalid 0d numeric literal: 0dx	-
-0x10	-16	-
[0x10]	[16]	-
{a?:5}	{a:(None tor Absent tor 5)}	-
{a?:Integer}	{a:(word(Integer) tor None tor Absent)}	-
{a?: none}	{a:(None tor none tor Absent)}	TNone optional-key payload rank
a.b.c	a.b.c	-
a!.b	a!.b	-
$.name	$.name	-
m.'k'	m.'k'	-
a.(k)	a.(k)	-
(m n).k	(m n).k	-
[[x] => [x]]	[([word(x)] sugar(lambda) [word(x)])]	-
[1 => [2]]	[(1 sugar(lambda) [2])]	-
{f:[x] => [x]}	ERR [boru/syntax_error]: unexpected `=>` — nothing valid can appear here	-
a.b => [1]	a.(b sugar(lambda) [1])	-
{[k]:1}	{k:1}	-
{[k]:1 aa:2}	{k:1 aa:2}	-
{[k]:1 [j]:2}	{k:1 j:2}	-
{1.5:2}	{1.5:2}	-
{'sk':1}	{sk:1}	-
{a?:1 b:2}	{a:(None tor Absent tor 1) b:(None tor Absent tor 2)}	-
<a href=>x</a>	ERR xml: attribute "href" in <a> must have a quoted value	-
<a 'x'/>	ERR xml: invalid attribute name in <a>	-
<a>${1}</a>	interp-xml(<a>${1}</a>)	-
<a b='${2}'/>	interp-xml(<a b="${2}"/>)	-
<a><b>${3}</b></a>	interp-xml(<a><b>${3}</b></a>)	-
<a><!-- c --></a>	<a/>	-
<a><!-- unclosed	ERR xml: unterminated comment in <a>	-
<a  b = '1' />	<a b="1"/>	-
<a b='x&lt;y'/>	<a b="x&lt;y"/>	-
<a b='x&gt;y&amp;z'/>	<a b="x&gt;y&amp;z"/>	-
<a>t1<b/>t2</a>	<a>t1<b/>t2</a>	-
<a><b/><c/></a>	<a><b/><c/></a>	-
<a>pre${1}mid${2}post</a>	interp-xml(<a>pre${1}mid${2}post</a>)	-
<a b='p${1}q'/>	interp-xml(<a b="p${1}q"/>)	-
<a-b c-d='1'/>	<a-b c-d="1"/>	-
<a_b/>	<a_b/>	-
<A/>	<A/>	-
</a>	ERR xml: expected a tag name after '<'	-
<a/ >	ERR xml: expected '/>' to close <a>	-
< a/>	ERR xml: expected a tag name after '<'	-
w/t	sugar(type-bound [[w]])	-
w/u	w/u	-
f/s	f/s	-
f/12	f/12	-
x/tt	ERR [boru/syntax_error]: invalid word modifier /tt on "x"	-
x/uu	ERR [boru/syntax_error]: invalid word modifier /uu on "x"	-
x => [1]	word(x) sugar(lambda) [1]	-
[a => [1]]	[(a sugar(lambda) [1])]	-
(x => [x 1])	((x sugar(lambda) [word(x) 1]))	-
a b => [1]	word(a) (b sugar(lambda) [1])	-
{f: x => [x]}	ERR [boru/syntax_error]: unexpected `=>` — nothing valid can appear here	-
Box<Integer> of [1]	Box<Integer> word(of) [1]	-
{p: Pair<A B>}	{p:Pair<A B>}	-
` plain `	' plain '	-
`${1}${2}`	interp(${1} ${2})	-
`a${'s'}b`	interp('a' ${'s'} 'b')	-
(1	ERR [boru/syntax_error]: unmatched opening parenthesis	-
1 (2 3	ERR [boru/syntax_error]: unmatched opening parenthesis	-
[1	[1]	-
{a:1	{a:1}	-
'unterm	ERR [boru/syntax_error]: this string is never closed: 'unterm	-
9223372036854775808	ERR [boru/integer_overflow]: integer literal out of range: 9223372036854775808 exceeds the Integer range (-9223372036854775808..9223372036854775807)	-
-9223372036854775809	ERR [boru/integer_overflow]: integer literal out of range: -9223372036854775809 exceeds the Integer range (-9223372036854775808..9223372036854775807)	-
0.1_2	0.12	-
'a' : 1	{a:1}	-
{'q k':2}	{q k:2}	-
{5:1}	{5:1}	-
true:1	{true:1}	-
{none:1}	{none:1}	-
(A tor None)	(A tor None)	-
(None tor A)	(None tor A)	-
x => y => [x]	word(x) sugar(lambda) (y sugar(lambda) [word(x)])	-
[x y => [x]]	[word(x) (y sugar(lambda) [word(x)])]	-
[{k:1} => [1]]	[({k:1} sugar(lambda) [1])]	-
[a:1 => [2]]	[({a:1} sugar(lambda) [2])]	-
[1 2 => [3] 4]	[1 (2 sugar(lambda) [3]) 4]	-
(=> [1])	(sugar(lambda) [1])	-
n => [n] 5	word(n) sugar(lambda) [word(n)] 5	-
1 x => [x 2] 3	1 (x sugar(lambda) [word(x) 2]) 3	-
{m: [x] => [x]}	ERR [boru/syntax_error]: unexpected `=>` — nothing valid can appear here	-
{x.y:1}	ERR [boru/syntax_error]: unexpected `.` — nothing valid can appear here	-
{n: bf.n addq 1}	ERR [boru/syntax_error]: unexpected `1` — nothing valid can appear here	-
Box<T extends Integer>	Box<T extends Integer>	-
Box<T = Integer>	Box<T = Integer>	-
Box<T extends Integer U = String>	Box<T extends Integer U = String>	-
Box<T extends>	Box<T extends>	-
Box<lower>	Box<lower>	-
Box<T extends Integer,U>	Box<T extends Integer U>	-
def Box<T> (refine List)	word(def) Box<T> (refine List)	-
true	word(true)	-
false	word(false)	-
inf	inf	-
-inf	-inf	-
nan	nan	-
Foo	word(Foo)	-
a/u	a/u	-
a/s	a/s	-
a/f	a/f	-
a/2	a/2	-
a/q	a/q	-
a/v	a/v	-
a/t	sugar(type-bound [[a]])	-
a/qq	ERR [boru/syntax_error]: invalid word modifier /qq on "a"	-
a/fs	ERR [boru/syntax_error]: invalid word modifier /fs on "a"	-
a/uv	a/uv	-
a/uq	ERR [boru/syntax_error]: invalid word modifier /uq on "a"	-
a/vq	ERR [boru/syntax_error]: invalid word modifier /vq on "a"	-
a/tt	ERR [boru/syntax_error]: invalid word modifier /tt on "a"	-
a/0	a/0	-
a/1f	a/1f	-
a/su	a/u	-
0x1f	31	-
0b1011	11	-
0xFFFFFFFFFFFFFFFFF	ERR [boru/integer_overflow]: integer literal out of range: 0xFFFFFFFFFFFFFFFFF exceeds the Integer range (-9223372036854775808..9223372036854775807)	-
1_0	10	-
0b	ERR [boru/syntax_error]: invalid numeric literal: 0b	-
0x	ERR [boru/syntax_error]: invalid numeric literal: 0x	-
<a n=${1}/>	interp-xml(<a n="${1}"/>)	-
<a n=${x}/>	interp-xml(<a n="${word(x)}"/>)	-
<a>t${1}u</a>	interp-xml(<a>t${1}u</a>)	-
<a n='a\\'b'/>	ERR xml: invalid attribute name in <a>	-
<a n="a\\"b"/>	ERR xml: invalid attribute name in <a>	-
<a>	ERR xml: unterminated element <a>	-
<a n/>	<a n=""/>	-
<>	ERR xml: expected a tag name after '<'	-
a.b	a.b	-
# NUR066 — a dot segment spelled as a BARE NAME is a field name, even when
# that name is one of the parser's reserved VALUE literals. Dot access IS a
# get/getr chain (design/REACH.10.md), so `m.k` and `m get k/q` must differ in
# spelling only; `none`/`end`/`inf`/`-inf`/`nan` used to resolve to their
# values before the chain saw them and no `dot` signature matched.
a.none	a.none	a reserved value literal is a field name in a segment (NUR066)
a.end	a.end	`end` names the field, not the end marker (NUR066)
a.inf	a.inf	the IEEE literals are names here too (NUR066)
a.nan	a.nan	-
a.-inf	a.-inf	a leading hyphen is a legal word name (NUR066)
a!.none	a!.none	the getr segment follows the same rule (NUR066)
a.none.end	a.none.end	chained reserved-literal segments (NUR066)
$.end	$.end	a receiverless lens takes the name too (NUR066)
# The negative: a stray terminator is NOT a field name. `;` keeps its own
# grammar text rather than being rewritten to `end`, so it stays the end
# marker and `a.;` stays the error it was — and canon spells it back as `;`,
# not `end`, which would re-parse as the field name above.
a.;	a.;	a semicolon segment stays the end marker, distinct from a.end (NUR066)
a.b /s	sugar(stack-args) a.b	reach receiver followed by standalone stack modifier
a.'k'	a.'k'	-
a.0	a.0	-
{:Integer}	{:Integer}	-
{}	{}	-
[]	[]	-
`a\\`b`	'a`b'	-
`a\\$b`	'a$b'	-
( 1 )	(1)	-
(	ERR [boru/syntax_error]: unmatched opening parenthesis	-
1 tor 2	1 word(tor) 2	-
Integer tor String	word(Integer) word(tor) word(String)	-

# --- arbitrary-precision `0d…` literals (REFERENCE.md) -------------------
# Rendered by the PARSEABLE form, sign before the marker: -0d789, never
# 0d-789. These eight were divergent.tsv rows until core/ts grew the
# BigInteger / BigDecimal render arms it was missing entirely (both fell
# through to String(data), so a BigInteger was indistinguishable from an
# Integer and the render no longer parsed back as the same value).
0d123	0d123	-
0D45_6	ERR [boru/syntax_error]: numeric prefix must be lowercase: 0D45_6	uppercase `0D` was accepted until the lowercase-only rule; the row now pins the refusal
-0d789	-0d789	-
0d1_2.3	0d12.3	-
0d1e2	0d100	-
0d1.5e2	0d150	-
0d1_2e1_0	0d120000000000	-
0d99999999999999999999	0d99999999999999999999	-
0d1e25	0d10000000000000000000000000	plain form at every magnitude — never scientific, unlike a Float

# --- numeric-literal REFUSALS (behavioural, not cosmetic) -----------------
# A literal that overflows binary64 is rejected rather than folded to inf:
# `1e400` evaluating to inf in one engine and refusing in the other is a
# disagreement about what the language ACCEPTS. Likewise the misplaced-
# separator message, which differed only because the two jsonic ports
# disagree about whether `1_` lexes as a number token at all.
1_	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 1_	-
1e400	ERR [boru/float_overflow]: floating-point literal out of range: 1e400 overflows to infinity	-
-1e400	ERR [boru/float_overflow]: floating-point literal out of range: -1e400 overflows to infinity	-
1__0	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 1__0	a repeated separator is misplaced too
_1	word(_1)	not digit-led, so an ordinary word — the separator rule is numeric-only
1e308	1e+308	the largest exponent that still fits binary64
1.7e308	1.7e+308	just under the Float ceiling — accepted, unlike 1e400

# Separator placement is checked against actual digits in each component:
# decimal digits in integer/fraction/exponent runs, and digits of the named
# base in 0x/0o/0b runs. These rows are the independent 66-case lexer sweep;
# the four base rows near the top (0x_1, 0x1_, 0x1__0, 0_x1) complete it.
1.2_	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 1.2_	-
1_.2	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 1_.2	-
1._2	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 1._2	-
1_._2	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 1_._2	-
12_.34	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 12_.34	-
12.3__4	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 12.3__4	-
1__0.2	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 1__0.2	-
1__0.2_	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 1__0.2_	-
1__0._2	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 1__0._2	-
1_0._2	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 1_0._2	-
1_0.2_	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 1_0.2_	-
1_0_.2	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 1_0_.2	-
1_0.2__3	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 1_0.2__3	-
1_.2_	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 1_.2_	-
1._2_	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 1._2_	-
1___.2	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 1___.2	-
1.2___	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 1.2___	-
0_.0	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 0_.0	-
0._0	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 0._0	-
0_._0	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 0_._0	-
+1_.2	ERR [boru/syntax_error]: misplaced `_` in numeric literal: +1_.2	-
-1_.2	ERR [boru/syntax_error]: misplaced `_` in numeric literal: -1_.2	-
+1.2_	ERR [boru/syntax_error]: misplaced `_` in numeric literal: +1.2_	-
-1.2_	ERR [boru/syntax_error]: misplaced `_` in numeric literal: -1.2_	-
1e_4	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 1e_4	-
1_e4	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 1_e4	-
1e4_	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 1e4_	-
1_e4_	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 1_e4_	-
1__e4	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 1__e4	-
1e__4	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 1e__4	-
1e4__	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 1e4__	-
1_e_4	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 1_e_4	-
1_.2e3	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 1_.2e3	-
1.2_e3	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 1.2_e3	-
1.2e_3	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 1.2e_3	-
1.2e3_	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 1.2e3_	-
1_.2_e_3_	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 1_.2_e_3_	-
0x_1_	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 0x_1_	-
0x__1	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 0x__1	-
0b_1_	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 0b_1_	-
0o_7_	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 0o_7_	-
12_a	ERR [boru/syntax_error]: invalid numeric literal: 12_a	-
12a_	ERR [boru/syntax_error]: invalid numeric literal: 12a_	-
12__a	ERR [boru/syntax_error]: invalid numeric literal: 12__a	-
12._a	ERR [boru/syntax_error]: a number has no members to access with `.`	-
12_.a	ERR [boru/syntax_error]: invalid numeric literal: 12_	-

# Positive separator cases and base-specific negative twins prove that the
# stricter check is about actual digits, not merely surrounding alphanumerics.
1e2_3	1e+23	-
1_0e2_3	1e+24	-
1.2_3e4_5	1.23e+45	-
0xA_F	175	-
0xA_G	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 0xA_G	-
0o7_0	56	-
0o7_8	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 0o7_8	-
0b1_0	2	-
0b1_2	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 0b1_2	-
0d1_0	0d10	-
0d1_e2	ERR [boru/syntax_error]: invalid 0d numeric literal: 0d1_e2	-
0d1e_2	ERR [boru/syntax_error]: invalid 0d numeric literal: 0d1e_2	-
0d1.2_3	0d1.23	-

# Matcher boundary arms: malformed separator runs stay whole for the precise
# separator diagnostic, while a dot followed by a word remains member access.
1_.	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 1_.	-
1_..	ERR [boru/syntax_error]: a number has no members to access with `.`	-
1_.2ea	ERR [boru/syntax_error]: invalid numeric literal: 1_	-
1_ea	ERR [boru/syntax_error]: invalid numeric literal: 1_ea	-
1_e	ERR [boru/syntax_error]: invalid numeric literal: 1_e	-
1_.2a	ERR [boru/syntax_error]: invalid numeric literal: 1_	-
1.2_a	ERR [boru/syntax_error]: a number has no members to access with `.`	-
1_.2e400	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 1_.2e400	-
1e400_	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 1e400_	-
1_=>	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 1_	-
1_ 2	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 1_	-
1_'x'	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 1_	-
1_#comment	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 1_	-
[1_]	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 1_	-
1_=>[x]	ERR [boru/syntax_error]: misplaced `_` in numeric literal: 1_	-
1_.2e	ERR [boru/syntax_error]: invalid numeric literal: 1_	-
1_e+	ERR [boru/syntax_error]: invalid numeric literal: 1_e+	-

# Decimal-dot boundary policy. A trailing-dot exponent is one Float, overflow
# retains the complete literal, and a numeric value before member access is
# rejected before either overflow conversion or key evaluation. These rows
# independently cover signs, finite/underflow/overflow values, malformed
# exponent/separator runs, and word/data/interpolation contexts.
1.e2	100.0	trailing-dot scientific literal
-1.E2	-100.0	uppercase exponent and negative sign
+1.e-2	0.01	positive sign and negative exponent
1.e-400	0.0	underflow rounds to zero
1.0e400	ERR [boru/float_overflow]: floating-point literal out of range: 1.0e400 overflows to infinity	fractional scientific overflow
1.e400	ERR [boru/float_overflow]: floating-point literal out of range: 1.e400 overflows to infinity	trailing-dot scientific overflow
