# The step loop, the registry, signature matching and dispatch — exercised
# through ONE fixture word so no word library is needed. `addq` is declared
# Integer Integer -> Integer, forward-collecting, exactly as the eng/spec
# fixtures declare it.
#
# expr	expected	note

# --- bare literals reach the residual unchanged ---
run 1	1	a lone literal is the result
run 1 2	1 2	multiple residual values are the result, in order
run 'x'	'x'	a string literal

# --- dispatch ---
run addq 1 2	3	forward collection: the word takes the two following literals
run addq 0 0	0	
run addq -1 1	0	
run 1 2 addq	3	stack form: the same word over the two preceding values
run addq 1 2 addq 3 4	3 7	two independent dispatches leave two residuals

# --- dispatch failure taxonomy ---
run addq 1	ERROR:signature_error	an under-supplied call must not silently succeed (REFERENCE.md:1071 — signature_error is the RUNTIME code; no_signature is the check-mode diagnostic)
run addq 'a' 1	ERROR:signature_error	a type mismatch selects no overload
run nosuchword	ERROR:undefined_word	an unbound word is an error, not a value

# --- parens group and evaluate first ---
run ( addq 1 2 )	3	a paren group collapses to its result
run addq ( addq 1 2 ) 4	7	a nested group supplies an argument
run addq 1	ERROR:signature_error	arity: a forward word with one operand never fires
run addq 1 'x'	ERROR:signature_error	type mismatch on the second slot
run nosuchword	ERROR:undefined_word	an undefined word
run addq (addq 1 2) 3	ERROR:signature_error	a nested paren group as the first operand
run ( 1 2 addq )	3	stack form inside a group
run addq 1 2 3	3 3	a trailing operand past the barrier stays residual
run 1 nosuchword 2	ERROR:undefined_word	undefined word between literals

# --- the dispatch shapes the step loop distinguishes ---
run negq 5	-5	a one-slot forward word
run negq negq 5	ERROR:signature_error	nested forward collection
run pairq 7	7 7	a MULTI-return word lays both results in the residual
run pairq 7 addq 1 2	7 7 3	multi-return residual followed by an unrelated call
run 1 2 sumq	3	STACK form takes both operands off the stack
run sumq	ERROR:signature_error	stack form with an empty stack
run 1 sumq	ERROR:signature_error	stack form one operand short
run boomq 1	ERROR:fixture_boom	a raising handler propagates its code
run boomq 'x'	ERROR:fixture_boom	the Any slot accepts any concrete value, then raises
run addq (negq 3) 4	ERROR:signature_error	a paren group as a forward operand
run negq (addq 1 2)	ERROR:signature_error	a paren group as the only operand
run 1 2 sumq 3 addq 4	3 7	stack form and forward form in one program
run pairq (negq 2)	ERROR:signature_error	multi-return over a computed operand

# --- full-stack dispatch ---
# depthq is the fixture full-stack word: it receives the whole resolved
# stack of the current PAREN SCOPE and returns its replacement. The scope
# rule is the part worth pinning — a paren bounds what it can see.
run depthq	0	an empty scope has depth 0
run 1 depthq	1 1	the stack is not consumed, only extended
run 1 2 3 depthq	1 2 3 3	three deep
run 1 ( 2 depthq )	1 2 1	a paren BOUNDS the scope — the inner sees one, not two

# --- the END marker cuts a forward collection short ----------------------
# `;` is the punctuation spelling of `end` (REFERENCE.md:415); the corpus
# uses the punctuation so a row can still name a WORD called end. A pending
# forward word fires with whatever it has collected, which for these
# fixtures is never enough — the value of the rows is that the marker
# REACHES the word rather than being dropped, and that a bare `;` with no
# pending marker is silently dropped instead of erroring.
run ;	
run 1 ;	1
run addq 1 ;	ERROR:signature_error
run addq ;	ERROR:signature_error
run addq 1 2 ;	3
run 1 ; 2	1 2
run negq ;	ERROR:signature_error
run pairq ;	ERROR:signature_error
run ( addq 1 ; )	ERROR:signature_error
run [ addq 1 ; ]	ERROR:signature_error
run boomq ;	ERROR:signature_error
run 1 2 sumq ;	3
run depthq ;	0

# --- the WORD `end` is not the end MARKER -------------------------------
# `;` is the marker (above); the bare word `end` is an ordinary name, and
# core defines no word by it. These rows were 9 rows of divergent.tsv until
# core/ts's isEnd stopped treating a Word named "end" as the marker — a
# fallback left over from the legacy fixture tokenizer that Go's IsEnd never
# had, and that made `run end 1` the value 1 here against Go's error.
run end	ERROR:undefined_word
run end 1	ERROR:undefined_word
run 1 end 2	ERROR:undefined_word
run 1 2 end	ERROR:undefined_word
run 1 2 end sumq	ERROR:undefined_word
run 1 2 end depthq	ERROR:undefined_word
run [ 1 end 2 ]	ERROR:undefined_word
run 1 2 addq end	ERROR:undefined_word
run 1 negq end	ERROR:undefined_word

# --- a type literal is not a word ---------------------------------------
# `Word` names the lattice branch, and its literal shares that branch's
# vType. core/ts's isWord() tested the vType ALONE, so stepWord resolved
# the name, wrote the literal back to the same slot, and the step loop
# re-entered stepWord on it — ending in an UNCODED `AsWord: not a word
# value` that escaped the BoruError taxonomy entirely. isWord() now
# requires word DATA, which is what separates a word from its type.
run Word	Word
run 1 Word 2	1 Word 2
run [ Word ]	[Word]
run boomq Word	ERROR:fixture_boom

# --- the strict forward barrier -----------------------------------------
# REFERENCE.md:364 lists "another function word" as a forward-collection
# barrier, and design/STRICT-FORWARD-BARRIER.0.md makes it uniform: a
# parked forward that cannot commit with the args it already holds is
# STRANDED, a signature_error, not a wait-through. The rule does not ask
# how many args the boundary word collects — a nullary `depthq` and a
# binary `addq` both strand.
#
# The GROUPED spelling is what fires the outer word, and that contrast is
# the whole point of the rule: `boomq ( negq 5 )` raises fixture_boom
# while `boomq negq 5` refuses. core/ts had no such rule and waited
# through — 30 rows of divergent.tsv until it did.
run ( 1 2 ) boomq depthq	ERROR:signature_error
run ( 1 boomq negq 2 )	ERROR:signature_error
run ( boomq addq 1 2 )	ERROR:signature_error
run ( boomq negq 5 )	ERROR:signature_error
run 1 2 3 boomq depthq	ERROR:signature_error
run 1 2 boomq depthq	ERROR:signature_error
run 1 2 boomq negq 3	ERROR:signature_error
run 1 boomq addq 2 3	ERROR:signature_error
run 1 boomq boomq 2	ERROR:signature_error
run 1 boomq depthq	ERROR:signature_error
run 1 boomq negq 2	ERROR:signature_error
run 1 boomq negq 5	ERROR:signature_error
run 1 boomq negq 5 addq 2 3	ERROR:signature_error
run [ boomq addq 1 2 ]	ERROR:signature_error
run [ boomq negq 5 ]	ERROR:signature_error
run boomq addq 1 ( )	ERROR:signature_error
run boomq addq 1 2	ERROR:signature_error
run boomq addq 1 2 3	ERROR:signature_error
