# boru Language Specification: error-taxonomy edge cases II
# Format: input<TAB>expected<TAB>description
#
# Continuation of edge-errors-1.tsv: the catch-and-substitute idiom
# through fn boundaries, raising out of control contexts (if / case /
# fold / filter), reserved words, parse-time numeric taxonomy, the §5
# uncalled_function residue check, and structural assertions.
#
# ─────────────────────────────────────────────────────────────────────
# §1  the catch-and-substitute idiom — errors stay local to a boundary
def sd fn [[a:Integer b:Integer] [Integer] [do [a div b] error [drop -1]]] sd 10 2	5	a fn wraps a risky op: the success path is untouched
def sd fn [[a:Integer b:Integer] [Integer] [do [a div b] error [drop -1]]] sd 10 0	-1	…and the failure path substitutes the sentinel INSIDE the fn
def mk fn [[] [Error] [do [raise mk_c "m"]]] (mk) dot code eq mk_c/q	true	a fn may DECLARE an Error return and hand the reified value out
def e (do [raise aa "x"]) [e]	[error(x)]	an Error value renders as error(message) inside a container
def e (do [raise aa "x"]) def m {e: e} m.e is Error	true	a map field holds an Error like any value
[(do [raise aa "1"]) (do [raise bb "2"])] size	2	two independently reified errors coexist as data
(convert Map (do [raise {code: cc/q, message: "m", n: 7}])) size	3	convert Map projects code, message, AND the payload key
(convert Map (do [raise {code: cc/q, message: "m", n: 7}])) get "n" eq 7	true	…and the payload value survives the projection
do [convert Integer "abc"] error [dot message] eq 'convert: cannot convert "abc" to number'	true	a plain Go-error's message is still readable at the boundary
#
# §2  raising out of control contexts — one boundary catches them all
do [if true [raise t_c "t"] [5]] error [dot code] eq t_c/q	true	raise from an if branch
do [1 case [1 [raise one_c "u"] 2]] error [dot code] eq one_c/q	true	raise from a case arm
do [[1 2] filter [raise fi_c "f"]] error [dot code] eq fi_c/q	true	raise from a filter predicate aborts the filter
#
# §3  reserved words and parse-time numeric taxonomy
def true 1	ERROR:reserved_word	the boolean literals cannot be rebound
def def 1	ERROR:reserved_word	the sealed core words cannot be rebound
undef make	ERROR:reserved_word	…nor undef'd
