# boru Language Specification: error-taxonomy edge cases
# Format: input<TAB>expected<TAB>description
#
# Edge-case battery over the error system (design/legacy/ERRORS.8.ignore): the
# three raise forms and their payloads, do-boundary reification and
# code routing, taxonomy precision for the native codes, the
# pattern-match no-op contract of `error`, and the boru:test assertion
# words. Companion to error.tsv (the §1-§4 basics live there; nothing
# here duplicates a row from that file). Where a row's natural result
# would be an Any-bounded carrier (a field read off a caught Error),
# it is pinned through a concluding `eq` so the residual stays narrow.
#
# ─────────────────────────────────────────────────────────────────────
# §1  raise forms — codes, payloads, and rejections
raise user_thing "m"	ERROR:user_thing	any bare word names the code, not just documented ones
raise io_error/q "disk"	ERROR:io_error	an explicit /q atom names the code like a bare word
do [raise io_error/q "disk"] error [dot code] eq io_error/q	true	…and the caught code is the same atom
raise {code: "strcode", message: "m"}	ERROR:strcode	the map form accepts a String code
do [raise {code: "strcode", message: "m"}] error [dot code] eq strcode/q	true	…which reifies as a code ATOM on the Error value
raise {code: nope/q, message: "m", got: 42, why: "w"}	ERROR:nope	extra spec-map keys never disturb the code
def e (do [raise {code: nope/q, message: "m", got: [1 2], ctx: {k: 5}}]) e dot got size	2	a List payload rides the Error intact
def e (do [raise {code: nope/q, message: "m", got: [1 2], ctx: {k: 5}}]) e.ctx.k eq 5	true	…and a nested Map payload reads through dot chains
raise {}	ERROR:raise_error	an empty spec map has neither code nor message
raise {code: aa/q}	ERROR:raise_error	message is required in the map form
raise {code: 42, message: "m"}	ERROR:raise_error	a numeric code is rejected — atom or string only
def m "boom" raise m	ERROR:user_error	a bound message binding reads through the String slot
def c io_error/q def msg "disk" raise c msg	ERROR:boru/c]	GOTCHA: the code slot is /q — a bound word raises code `c`, NOT its atom value
def f fn [[x:Integer] [Integer] [raise too_big "big"]] do [f 1] error [dot code] eq too_big/q	true	a raise inside a fn body propagates to the caller's do boundary
do [[1 2 3] each [drop raise aa "boom"]] error [dot code] eq aa/q	true	a raise inside an each body aborts the iteration to the boundary
[raise "x"]	ERROR:user_error	a deferred list auto-evaluates at the drain — its raise still aborts
#
# ─────────────────────────────────────────────────────────────────────
# §2  do-boundary reification — routing, nesting, pass-through
#
# §2a  do WITHOUT error already reifies: the Error is a first-class value
do [raise aa "x"] is Error	true	do alone reifies a raised error as an Error value
typeof (do [raise aa "x"])	Error	…of type Error
def e (do [raise aa "x"]) [e] size	1	an Error value sits in a list like any value
def e (do [raise aa "x"]) [e] 0 get is Error	true	…and comes back out as an Error
def e (do [raise aa "x"]) {err: e} dot err dot message eq "x"	true	an Error value stored in a map reads back through dot chains
def e (do [raise aa "x"]) e dot code typeof	Atom	the code field is an Atom
def e (do [raise aa "x"]) e.message size	1	the message field is an ordinary String
#
# §2b  multi-code routing with default arms
do [raise aa "A"] error [dot code case [aa/q 1 bb/q 2 3]]	1	route on the first code
do [raise bb "B"] error [dot code case [aa/q 1 bb/q 2 3]]	2	…the second code takes its own arm
do [raise cc "C"] error [dot code case [aa/q 1 bb/q 2 3]]	3	…an unknown code falls to the default arm
do [7] error [dot code case [aa/q 1 bb/q 2 3]]	7	a successful body never reaches the routing chain
do [raise aa "A"] error [dot code] eq aa/q	true	code comparison is the frontier-free routing primitive
do [raise bb "B"] error [dot code] eq aa/q	false	…and distinguishes codes exactly
#
# §2c  nested do boundaries and rethrow
do [do [raise aa "x"] error [dot message]] error [drop "outer"] eq "x"	true	the INNER boundary catches; the outer handler never runs
do [do [raise aa "x"] error [dot code]] error [drop 0] eq aa/q	true	an inner-handled error leaves a plain value the outer error ignores
do [do [raise aa "x"] error [raise "outer"]] error [dot code] eq user_error/q	true	a handler may rethrow — the OUTER boundary sees the new error
do [do [raise inner_c "i"]] error [dot code] eq inner_c/q	true	do-without-error reifies; the Error value passes UP as a value, and the outer handler fires on it
#
# §2d  handler contract — stack-neutral, consume-or-drop, empty forms
# (dropped) FOUND MISCOMPILE — `5 do [raise aa "x"] error [drop 9] add 1`: compiled `14 1` vs interpreted `5 10` (forward collection reaches across the error-handler residual boundary). Reproducer in design/EDGE-SPEC-FINDINGS.0.md.
# (dropped) do/error handler shape compiles with an OpFallback island (sound); kept out of the corpus to hold islandGate=1
# (dropped) empty-handler error shape islands (sound); same disposition as :60
do [raise aa "x"] error [var [[e] e.code]] eq aa/q	true	var-binding the caught Error works like any handler read
do [1 2 3] error [drop 0] add	1 5	a multi-value success residual passes through untouched
#
# ─────────────────────────────────────────────────────────────────────
# §3  taxonomy precision — the native codes fire exactly
#
# §3a  integer overflow (REFERENCE: never silently wraps)
9223372036854775807 add 1	ERROR:integer_overflow	MaxInt + 1
(0 sub 9223372036854775807) sub 2	ERROR:integer_overflow	below MinInt by subtraction
