# boru Language Specification: the boru:parselang module + the core `parse` word
# Format: input<TAB>expected<TAB>description
#
# `parse <kind> <opts?> <source>` is the sibling of `mini`: it expands at the
# call site to the STANDARD parser call `ParseLang.parse_<kind> <source> <opts>
# end`. Unlike `mini`, the `source` is the REQUIRED LAST surface arg (a String
# or a {src:…} Source map) and `opts` is the optional MIDDLE one — disambiguated
# by arity. A parser returns Any (an AST, a transduction, …). The kind set is
# FIXED (the tabnas family + aontu); a custom parser is a Function VALUE (§10;
# `ParseLang.register` is a tombstone raising parse_registry_frozen).
# `ParseLang.kinds` lists the kinds; `ParseLang.source` resolves a source value
# to its String. These rows def-bind a small `calc` parser fn whose AST is the
# token list `[left op right]` (built by StringUtil.split on the resolved
# source). A {file:…} source is deferred in v1.
#
# ─────────────────────────────────────────────────────────────────────
# §1  parse — a def-bound boru parser fn returning a tokenization
import "boru:parselang"  import "boru:string-util"  def calc (fn [[source:Any opts:Map] [List] [StringUtil.split ' ' (ParseLang.source source)]])  end  (parse calc 'x + y') get 1	'+'	the parsed operator token
import "boru:parselang"  import "boru:string-util"  def calc (fn [[source:Any opts:Map] [List] [StringUtil.split ' ' (ParseLang.source source)]])  end  (parse calc 'x + y') get 0	'x'	the left operand token
import "boru:parselang"  import "boru:string-util"  def calc (fn [[source:Any opts:Map] [List] [StringUtil.split ' ' (ParseLang.source source)]])  end  (parse calc '3 * 4') get 2	'4'	operands are arbitrary tokens, not fixed identifiers
#
# §2  source forms and opts
import "boru:parselang"  import "boru:string-util"  def calc (fn [[source:Any opts:Map] [List] [StringUtil.split ' ' (ParseLang.source source)]])  end  (parse calc {src:'a - b'}) get 1	'-'	a {src:…} Source map resolves to its string
import "boru:parselang"  import "boru:string-util"  def calc (fn [[source:Any opts:Map] [List] [StringUtil.split ' ' (ParseLang.source source)]])  end  (parse calc {trace:true} 'x + y') get 1	'+'	3-arg form: opts in the middle, source last
import "boru:parselang"  import "boru:string-util"  def calc (fn [[source:Any opts:Map] [List] [StringUtil.split ' ' (ParseLang.source source)]])  end  (calc 'x + y' {} end) get 1	'+'	parse is pure sugar — invoking the bound fn directly is equivalent
#
# §3  register / kinds / source — out-of-band exports
import "boru:parselang"  ParseLang.kinds	[ini/q json/q jsonic/q json5/q jsonc/q csv/q toml/q yaml/q xml/q zon/q markdown/q feed/q aontu/q]	the FIXED parser-kind atoms (the tabnas family + aontu — the whole namespace)
import "boru:parselang"  ParseLang.source 'x + y'	'x + y'	the source resolver passes a String through
import "boru:parselang"  ParseLang.source {src:'a b'}	'a b'	the source resolver unwraps {src:…}
#
# §4  negatives
import "boru:parselang"  parse nope 'x'	ERROR:parse_unknown_lang	unknown kind: expansion-time error at the call site
parse calc 'x'	ERROR:parse_unknown_lang	parse is core but parsers need the import (no auto-import)
ParseLang.kinds	ERROR:undefined_word	the namespace is unbound until imported
import "boru:parselang"  import "boru:string-util"  def calc (fn [[source:Any opts:Map] [List] [StringUtil.split ' ' (ParseLang.source source)]])  end  parse calc {file:'x.calc'}	ERROR:parse_file_unsupported	{file:…} source is deferred in v1
import "boru:parselang"  import "boru:string-util"  def calc (fn [[source:Any opts:Map] [List] [StringUtil.split ' ' (ParseLang.source source)]])  end  parse calc {nope:1}	ERROR:parse_bad_source	a source map must carry a 'src' field
import "boru:parselang"  ParseLang.register	ERROR:parse_registry_frozen	the kind namespace is fixed — the register tombstone raises with the value-form migration hint
#
# §5  ini — the built-in INI parser (github.com/tabnas/ini/go). No host
#     registration needed: importing the module is enough. Top-level
#     `key = value` lines become Map fields, `[section]` headers nest a Map,
#     and a recognised boolean decodes to a Boolean.
import "boru:parselang"  (parse ini 'b = hello') get 'b'	'hello'	a top-level key/value decodes to a String field
import "boru:parselang"  (parse ini {src:'b = hello'}) get 'b'	'hello'	a {src:…} Source map resolves like every other parser
import "boru:parselang"  ((parse ini 'a = 1\n[sec]\nx = true') get 'sec') get 'x'	true	a [section] header nests a Map; a recognised boolean decodes to a Boolean
import "boru:parselang"  (ParseLang.parse_ini 'b = hello' {} end) get 'b'	'hello'	parse is pure sugar — the desugared standard call is equivalent
#
# §5  ini negatives
import "boru:parselang"  parse ini {file:'cfg.ini'}	ERROR:parse_file_unsupported	{file:…} source is deferred in v1, ini included
import "boru:parselang"  parse ini {nope:1}	ERROR:parse_bad_source	a source map must carry a 'src' field
#
# §6  the rest of the tabnas parser family (github.com/tabnas/*) — all built
#     in, all reached the same way. These pin the desugared standard call so
#     every parser export is covered; the JSON family + yaml/zon return the
#     decoded top level, csv a List of rows, toml/xml/feed/markdown a Map
#     (markdown the mdast-adjacent AST document).
import "boru:parselang"  (ParseLang.parse_json '{"a":1,"b":"hi"}' {} end) get 'b'	'hi'	JSON object → Map
import "boru:parselang"  (ParseLang.parse_jsonic '{a:1, b:"hi"}' {} end) get 'b'	'hi'	jsonic (relaxed JSON): unquoted keys
import "boru:parselang"  (ParseLang.parse_json5 '{a:1, b:0x10}' {} end) get 'b'	16	JSON5: hex literal decodes to an Integer
import "boru:parselang"  (ParseLang.parse_jsonc '{"a":1, "b":2}' {} end) get 'b'	2	JSONC (JSON with comments)
import "boru:parselang"  ((ParseLang.parse_csv 'a,b\n1,2' {} end) get 0) get 1	'b'	CSV → List of rows; row 0 is the header
import "boru:parselang"  (ParseLang.parse_toml 'b = "hi"' {} end) get 'b'	'hi'	TOML table → Map
import "boru:parselang"  (ParseLang.parse_yaml 'b: hi' {} end) get 'b'	'hi'	YAML mapping → Map
import "boru:parselang"  ParseLang.parse_xml '<r><a>1</a></r>' {} end	<r><a>1</a></r>	XML → a Node/Xml element that renders back to well-formed XML
import "boru:parselang"  (ParseLang.parse_zon '.{ .a = 1, .b = "hi" }' {} end) get 'b'	'hi'	ZON (Zig object notation) → Map
import "boru:parselang"  (ParseLang.parse_markdown '# T\n\nhello world' {} end) get 'type'	'document'	Markdown → the mdast-adjacent AST document node
import "boru:parselang"  (((((ParseLang.parse_markdown '# T\n\nhello world' {} end) get 'children') get 1) get 'children') get 0) get 'value'	'hello world'	…whose nodes are walked by key: children → paragraph → text value
import "boru:parselang"  ((((ParseLang.parse_markdown '# T\n\nhello world' {} end) get 'children') get 0) get 'depth')	1	…and a heading carries its own depth field
import "boru:parselang"  (ParseLang.parse_feed '<rss version="2.0"><channel><title>My Feed</title></channel></rss>' {} end) get 'format'	'atom'	RSS/Atom feed → normalised atom-shaped Map
#
