# boru corpus: core words (auto-generated from `boru describe` examples, verified interpret+check+compile)
# Format: input<TAB>expected<TAB>word
'b' gt 'a'	true	gt
'b' gte 'a'	true	gte
'b' lt 'a'	false	lt
'b' lte 'a'	false	lte
'x' is Integer	false	is
0 fold [add] [1 2 3 4]	10	fold
2 dup	2 2	dup
3 2 dup2	3 2 3 2	dup2
3 2 nip	2	nip
3 2 over	3 2 3	over
3 2 swap	2 3	swap
3 2 tuck	2 3 2	tuck
3 gt 2	true	gt
3 gte 2	true	gte
3 lt 2	false	lt
3 lte 2	false	lte
3.5 div 2	1.75	div
3.5 mod 2	1.5	mod
3.5 pow 2	12.25	pow
3.5 sub 2	1.5	sub
4 3 2 rot	3 2 4	rot
5 4 3 2 over2	5 4 3 2 5 4	over2
5 4 3 2 swap2	3 2 5 4	swap2
5 is Integer	true	is
[1 2 3] each [dup mul]	[1 4 9]	each
[10 20 30] 0 get	10	get
[10 20] has 1	true	has
[] fold [push] [1 2 3]	[1 2 3]	fold
add 'a' 'a'	'aa'	add
add 'b' 'b'	'bb'	add
add 2 3.5	5.5	add
afn 2 3	fn [[:Integer][Any][2]]	afn
all ['a','b']	true	all
and 2 3	2	and
and true false	false	and
any ['a','b']	true	any
base 2	0	base
canon 2	'2'	canon
case "x" [Integer "int" String "str"]	'str'	case
case 2 [1 "one" 2 "two" "many"]	'two'	case
case 5 [Integer [mul 10] "other"]	50	case
case 5 [[gt 3] "big" "small"]	'big'	case
cmp 2 3	1	cmp
codequote 2	2	codequote
codequote a/q	a/q	codequote
create {a:1,b:2} {c:3,d:4}	[]	create
create {e:5,f:6} {a:1,b:2}	[]	create
def acc (flex [])  walk {mode: "depth"} {a:1 b:[2 3]} (m:Any => [acc (m.path) append])  acc	{a:1 b:[2 3]}	walk
def double word [dup add]  5 double	10	word
def f fn [[x:Integer] [Integer] [mul x 2]]  3 (usurp f) apply	6	usurp
def inc fn [[n:Integer] [Integer] [n add 1]]  5 inc/v apply	6	apply
def r (patrun String)  add {a:1} "A" r  add {a:1 b:1} "B" r  find {a:1 b:1} r	'B'	find
def r (patrun String)  add {a:1} "A" r  find {a:1 z:9} r	'A'	patrun
def r (patrun String)  add {a:1} "A" r  patterns r	[{pattern:{a:1} value:'A'}]	patterns
deq 2 3	false	deq
div 2 3.5	1.75	div
do ['a','b']	'a' 'b'	do
do {a:1,b:2}	{a:1 b:2}	do
enum [a/q b/q c/q]	a tor b tor c	enum
eq 2 3	false	eq
false guard 42	None	guard
filter ([p:Any] => [p.value gt 3]) [1 2 3 4 5]	[4 5]	filter
filter [2 gt] [1 2 3 4]	[3 4]	filter
flatten 1 [[1 [2]] [3]]	[1 [2] 3]	flatten
flatten [[1 2] [3]]	[1 2 3]	flatten
flex [1 2 3]	(flex [1 2 3])	flex
fold [add] [1 2 3]	6	fold
fold [add] {a:1 b:2 c:3} 0	6	fold
gt 'a' 'b'	true	gt
gt 2 3	true	gt
gte 'a' 'b'	true	gte
gte 2 3	true	gte
if 2 3 4	3	if
import "boru:emitlang"  emit json {pretty:true} {a:1}	'{\n  "a": 1\n}'	emit
import "boru:emitlang"  emit {a:1 b:[2 3]}	'{"a":1,"b":[2,3]}'	emit
import "boru:minilang"  def r ("AbcD" mini re '[a-z]+') end  r.fst.m	'bc'	mini
import "boru:minilang"  mini bf '++++++++[>++++++++<-]>+.'	'A'	mini
inspect 2	{type:'Integer' kind:literal}	inspect
inspect a/q	{name:'a' kind:unknown signatures:[]}	inspect
iota 4	[0 1 2 3]	iota
iota 4 each [1 add]	[1 2 3 4]	each
istype 5	false	istype
istype Integer	true	istype
join 'a' ['a','b']	'b'	join
join ['c','d']	'c,d'	join
load {a:1,b:2} {c:3,d:4}	{}	load
load {e:5,f:6} {a:1,b:2}	{}	load
lt 'a' 'b'	false	lt
