# tokens	expected	note
# =====================================================================
# Accessor matrix: get / getr / dot / dotr / . / !. over every container
# =====================================================================
# The accessor family splits the key by how it is supplied:
#   get  / getr   EVALUATE the key (string / integer / computed value).
#   dot  / dotr   QUOTE a bare-word key as a literal field name.
# The . sugar lowers to dot (`m.a` ≡ `m dot a`); !. lowers to dotr.
# get / dot are forgiving (None on miss); getr / dotr are strict (raise).
# This file is the cross-type contract for all four words + both
# operators; storage.tsv covers the set/get pairing in depth.
# =====================================================================

# ---- Map: get evaluates, dot quotes ----
{a:1 b:2} get 'a'	1	get with a STRING key
{a:1 b:2} get 'b'	2
def k 'b' end {a:1 b:2} get k	2	get EVALUATES the key — k holds 'b'
def k a/q end {a:1 b:2} get k	1	get accepts an already-evaluated ATOM key (k holds the atom a)
def k b/q end {a:1 b:2} getr k	2	getr accepts an evaluated atom key too
def k a/q end ({a:1} get k) add 9	10	the evaluated-atom read composes
{a:1 b:2} get ('a')	1	get with a computed (paren) key
{a:1 b:2} dot a	1	dot QUOTES the bare word a as the literal key
{a:1 b:2} dot b	2
def a 'b' end {a:1 b:2} dot a	1	dot ignores the binding of a — literal key "a"
{a:1 b:2}.a	1	the . operator lowers to dot
{a:1 b:2}.b	2
{a:1} get 'missing'	None	get is forgiving — missing map key yields None
{a:1} dot missing	None	dot is forgiving too
{a:1 b:2} getr 'a'	1	getr — strict, present key
{a:1 b:2} dotr a	1	dotr — strict, present literal key
{a:1 b:2}!.a	1	the !. operator lowers to dotr
{a:1} dotr missing	ERROR:not_found	dotr raises on a missing key
{a:1} getr 'missing'	ERROR:not_found	getr raises on a missing key

# ---- List: integer index; get evaluates the index ----
[10 20 30] get 0	10	get with a literal integer index
[10 20 30] get 2	30
def i 1 end [10 20 30] get i	20	get EVALUATES i — the index is i's value
[10 20 30] dot 1	20	dot over a list — integer index
[10 20 30].2	30	the . operator on a list index
[10 20 30] getr 1	20	getr — in-range index
[10 20 30] getr 5	ERROR:out of bounds	getr raises out of bounds
[10 20 30]!.5	ERROR:out of bounds	!. is strict too


# ---- class instance: field read ----
def P class {x:1 y:2} end (make P {}) dot x	1	dot reads field x by literal name
def P class {x:1 y:2} end (make P {}).y	2	. operator on a class instance field
def P class {x:1 y:2} end (make P {}) get 'x'	1	get reads field x by string name
def P class {x:7} end def f 'x' end (make P {x:7}) get f	7	get EVALUATES f to the field name
def P class {x:1 y:2} end (make P {}) dotr x	1	dotr — strict field read on a class instance
def P class {x:1 y:2} end (make P {})!.y	2	!. is strict over a class instance
def P class {x:1} end (make P {}) getr 'x'	1	getr — strict field read by string key
def P class {x:1} end (make P {}) dotr zzz	ERROR:not_found	dotr raises on a missing class field
def Pt class {x:1} end def Pt3 refine Pt {z:3} end (make Pt3 {}) dotr x	1	dotr resolves an inherited field

# ---- Store (context): prototype-chain lookup ----
context set 'foo' 42 end context dot foo	42	dot quotes the bare key over a Store
context set 'foo' 42 end def k 'foo' end context get k	42	get evaluates k to 'foo'
context set 'foo' 42 end context get 'missing'	ERROR:unknown key	Store get is strict on a miss
# the strict twins cover Store too (NUR021 fix — getr/dotr previously
# had no Store rows while get/has did):
context set 'foo' 42 end context getr 'foo'	42	getr reads a bound store key
context set 'foo' 42 end context dotr foo	42	dotr quotes the bare key over a Store
context getr 'missing'	ERROR:not_found	getr on a missing store key raises the family's not_found

# ---- Xml: the well-known fields (tag / attr / cren) ----
# get/dot read them; the strict twins and `has` agree (NUR021 fix —
# dotr raised expected-a-map and has answered false for a field dot
# successfully read):
def m <a>text</a> end m.tag	'a'	dot reads the well-known tag field
def m <a>text</a> end m!.tag	'a'	…and the strict !. reads it too
def m <a x="1">t</a> end (m!.attr) get 'x'	'1'	!. reads attr; the map composes with get
def m <a><b/>text</a> end m!.cren	[<b/> 'text']	!. reads cren — all children, elements and text
def m <a>text</a> end m!.nope	ERROR:not_found	an unknown Xml field raises for the strict reader
def m <a>text</a> end m has tag/q	true	has agrees with what dot reads
def m <a>text</a> end m has cren/q	true	…cren is bound on every element
def m <a>text</a> end m has nope/q	false	an unknown field is not bound

# ---- Module namespace / descriptor: presence joins the family (NUR021 fix) ----
import module [export "M" {x: 1}] end M has x/q	true	has sees a bound export
import module [export "M" {x: 1}] end M has y/q	false	…and answers false where getr raises
import module [export "M" {x: 1}] end M has $name/q	true	…and sees the facet synthetics (agrees with dot/get)
import module [export "M" {x: 1}] end (M get $module/q) has kind/q	true	has reads the Module descriptor fields too
import module [export "M" {x: 1}] end (M get $module/q) has zzz/q	false	…and stays total on an unknown one

# ---- Error value: code / message / payload fields ----
do [raise bad_input 'boom'] error [dot code]	bad_input/q	dot reads the error code (literal field)
do [raise bad_input 'boom'] error [get 'message']	'boom'	get reads the message by string key
# (direct `e.code` field access is exercised in error.tsv — the checker
# cannot resolve an Error value's field schema, so it is a known false
# positive there and is not duplicated here.)

# ---- None: forgiving access propagates None ----
None get 'a'	None	get over None short-circuits to None
None dot (quote x)	None	dot over None with a materialised atom key → None
None dot x	None	…and with a bare-word key, quoted like every other receiver's (NUR198, closed 2026-09-25: the word used to step on its own as undefined_word)
{a:1}.b.c	None	a chained read through a missing member stays None all the way down
{a:1} dot b dot c	None	…the lowered spelling
def m {a:1} end 5 m.b.c	5 None	…and the read consumes exactly its receiver: the value beneath stays
None dotr x	ERROR:not_found	the strict twin over None raises the family's not_found for a bare-word key too, never undefined_word
{a:1}.b!.c	ERROR:not_found	…a strict hop after a forgiving miss raises

# ---- Chained access composes left to right ----
{a:{b:7}} dot a dot b	7	dot chains: a then b
{a:{b:7}}.a.b	7	the . chain lowers to dot a dot b
def i 0 end [[1 2] [3 4]] get i	[1 2]	get-evaluated index into a nested list
{a:{b:{c:9}}}.a.b.c	9	three-deep . chain

# ---- Module export: dotted member access ----
import "boru:math-util" end MathUtil.sqrt 16.0	4.0	. over a module export resolves the member fn
import "boru:math-util" end MathUtil dot sqrt 16.0	4.0	dot is the explicit form of the . member access

# ---- Reserved value literals as field names (NUR066) ----
# Dot access IS a get/getr chain (design/REACH.10.md), so `m.k` and
# `m get k/q` must differ in spelling only. The reserved VALUE literals used
# to resolve to their values before the chain saw the segment, so `m.none`
# and `m.end` failed to dispatch while `m get none/q` read the field. The
# rows below pin the identity for the whole class, positively (dot reads it)
# and by agreement (dot and get return the same thing).
{none:1 end:2 inf:3 nan:4}.none	1	`none` as a dot segment names the field
{none:1 end:2 inf:3 nan:4}.end	2	`end` as a dot segment names the field
{none:1 end:2 inf:3 nan:4}.inf	3	`inf` as a dot segment names the field
{none:1 end:2 inf:3 nan:4}.nan	4	`nan` as a dot segment names the field
{-inf:5}.-inf	5	`-inf` too — a leading hyphen is a legal word name
def m {none:1 end:2} end (m.none) eq (m get none/q)	true	dot and get agree on `none` — the lowering identity
def m {none:1 end:2} end (m.end) eq (m get end/q)	true	dot and get agree on `end` — the lowering identity
{a:{none:6}}.a.none	6	a reserved-literal segment chains like any other
{none:7}!.none	7	the strict getr segment takes the name too
{a:1}.none	None	a missing reserved-literal field is an ordinary forgiving miss
{a:1}!.none	ERROR:not_found	getr on a missing reserved-literal field raises, like any other key
def m {none:1 k:2} end (m.k end 9)	2 9	the negative: a marker in EXPRESSION position still terminates, it is only the SEGMENT that is a name
def m {k:2} end def x m.k ; add x 1	3	`;` still terminates a statement immediately after a reach
