# boru Language Specification: the boru:parse module (custom parsers)
# Format: input<TAB>expected<TAB>description
#
# boru:parse lets a boru author DEFINE a parser and register it as a `parse`
# kind (boru:parselang). A grammar is built from an ABNF source (Parse.abnf),
# declarative rules (Parse.rule, shaped by the Parse.RuleSpec / Parse.AltSpec
# Map subtypes), fixed tokens (Parse.token) and custom lex matchers
# (Parse.matcher); semantic actions (Parse.action) attach boru fns to grammar
# marks so the parser can emit custom data. Parse.grammar mints the builder;
# Parse.parser finalizes it into a ParseLang Function VALUE. The carrier is a
# shared pointer threaded through each word and bound to a def; the finalized
# parser is def-bound and run via the `parse` value form (`parse <name> …`).
#
# §1  ABNF grammar + a mark action — the action's boru value is the result
import "boru:parse"  import "boru:parselang"  def g Parse.grammar  Parse.action g '@op:o:INC' ([nd:Any] => [7])  Parse.abnf g 'op = "inc" / "dec"' {start:'op'}  def op (Parse.parser g)  end  parse op 'inc'	7	Parse.grammar + Parse.action + Parse.abnf + Parse.parser: action value is the AST
import "boru:parse"  import "boru:parselang"  def g Parse.grammar  Parse.action g '@op:o:INC' ([nd:Any] => [{k:'inc'}])  Parse.abnf g 'op = "inc" / "dec"' {start:'op'}  def opm (Parse.parser g)  end  (parse opm 'inc').k	'inc'	an action can build a custom Map node that survives to the parse result
#
# §2  tokens, a declining matcher, and a declarative rule coexist with ABNF
import "boru:parse"  import "boru:parselang"  def g Parse.grammar  Parse.token g '#PL' '+'  Parse.matcher g skip 1000000 ([s:String] => [None])  Parse.rule g extra {open:[{s:'#PL'}]}  Parse.action g '@op:o:INC' ([nd:Any] => [5])  Parse.abnf g 'op = "inc"' {start:'op'}  def op2 (Parse.parser g)  end  parse op2 'inc'	5	Parse.token, a declining Parse.matcher and a declarative Parse.rule build alongside the ABNF grammar
#
# §3  the grammar-as-Map-subtypes type exports
import "boru:parse"  import "boru:parselang"  typeof Parse.AltSpec	Map	Parse.AltSpec is a Map subtype describing one grammar alternate
import "boru:parse"  import "boru:parselang"  typeof Parse.RuleSpec	Map	Parse.RuleSpec is a Map subtype describing a rule's open/close alternates
#
# §4  loud failures (negative coverage)
import "boru:parse"  import "boru:parselang"  def g Parse.grammar  Parse.abnf g '= = bad ='  def broke (Parse.parser g)	ERROR:parse_bad_grammar	a malformed ABNF grammar is a loud error at register, not a panic
import "boru:parse"  import "boru:parselang"  def g Parse.grammar  Parse.action g 'noat' ([nd:Any] => [1])	ERROR:parse_bad_action	an action ref must start with '@' (a mark/phase selector)
import "boru:parse"  import "boru:parselang"  def g Parse.grammar  Parse.abnf g 'x = "a"' {start:'x'}  def p (Parse.parser g)  def p2 (Parse.parser g)	ERROR:parse_grammar_done	a finalized grammar is single-use — a second Parse.parser is declined
#
# §5  Parse.spec — the WHOLE grammar as one declarative map, mirroring the
#     tabnas GrammarSpec document: {options rule ref v} plus the boru
#     extension sections abnf and matcher. options is the tabnas OptionsMap
#     (fixed:{token:…} declares fixed tokens, rule:{start:…} the start rule)
#     and applies FIRST, as tabnas does; ref is the named-action table
#     (serving ABNF marks and rule-alt a:'@name' references); rule is the
#     GrammarRuleSpec shape. Everything defers to Parse.parser, so the map
#     form is equivalent to — and composes with — the chained builder words.
import "boru:parse"  import "boru:parselang"  def g Parse.grammar  Parse.spec g {ref:{'@op:o:INC': ([nd:Any] => [7])} abnf:{src:'op = "inc" / "dec"' start:'op'}}  def sp1 (Parse.parser g)  end  parse sp1 'inc'	7	the §1 grammar as ONE map — ref + abnf sections
import "boru:parse"  import "boru:parselang"  def g Parse.grammar  Parse.spec g {options:{fixed:{token:{'#PL':'+'}}} rule:{extra:{open:[{s:'#PL'}]}} ref:{'@op:o:INC': ([nd:Any] => [5])} abnf:{src:'op = "inc"' start:'op'}}  def sp2 (Parse.parser g)  end  parse sp2 'inc'	5	the §2 grammar as one map — fixed tokens are tabnas OPTIONS (options.fixed.token), exactly as in a serialized tabnas grammar
import "boru:parse"  import "boru:parselang"  def g Parse.grammar  Parse.spec g {options:{rule:{start:'top'}} rule:{top:{open:[{s:'#TX' a:([nd:Any] => ['got'])}]}}}  def sp3 (Parse.parser g)  end  parse sp3 'hello'	'got'	a FULLY declarative grammar — options.rule.start + rules, no ABNF at all
import "boru:parse"  import "boru:parselang"  def g Parse.grammar  Parse.spec g {options:{rule:{start:'top'}} ref:{'@w': ([nd:Any] => ['via-ref'])} rule:{top:{open:[{s:'#TX' a:'@w'}]}}}  def sp4 (Parse.parser g)  end  parse sp4 'hello'	'via-ref'	a rule-alt a:'@name' reference resolves through the ref section — tabnas Ref-table semantics
