# tokens	expected	note
# =====================================================================		
# Nodes — List and Map: construction, auto-eval, quoting, interactions		
# =====================================================================		
# boru's two structural Node types:		
#		
#   List  `[ … ]`     — ordered, heterogeneous sequence (Node/List).		
#   Map   `{ k:v … }` — keyed associative collection (Node/Map). Keys		
#                       are INSERTION-ORDERED (D1): a Map preserves the		
#                       order its keys were written / added, and every		
#                       REPRESENTATION surface — Keys(), render, canon,		
#                       iteration, and value-eval order — reflects that		
#                       source order (design/FLEX-ATTRS.1.md §3). The		
#                       order-destroying CANONICAL boundaries stay		
#                       sorted: StructUtil.jsonify (kg ids hash its sort;		
#                       the $class-leads contract rides it) and every		
#                       decode / Ideal→Node projection whose upstream is		
#                       an unordered Go map. Two named orders —		
#                       representation (insertion) vs canonical (sorted)		
#                       — not one inconsistency. `IO.write` is		
#                       representation-faithful; `jsonify` canonicalizes.		
#		
# Both are subtypes of the abstract `Node` (and, like everything, of		
# `Any`). `typeof` on a bare `List`/`Map` type literal reports the		
# metatype `Type`; on the abstract `Node`, `Type`.		
#		
# Lists carry an `eval=true` flag from the parser and auto-evaluate in		
# two contexts (see §4–§5):		
#   - when consumed as a word argument (unless the slot is NoEvalArgs);		
#   - when still residual on the stack at end of Run.		
# `quote` flags a list `quoted=true`, suppressing both. `quote` on a		
# Map is a pass-through (Maps aren't spliced, so there's nothing to		
# suppress) — embedded paren expressions inside a Map still evaluate.		
#		
# === Test fixtures (eng/go/spec_test.go::registerSpecWords) ===		
#   addq     — [Number Number] forward-prec — args[1] + args[0]		
#   subq     — [Number Number] forward-prec — args[1] - args[0]		
#   mulq     — [Number Number] forward-prec — args[1] * args[0]		
#   lengthq  — [List] forward-prec — list length as Integer		
#   firstq   — [List] forward-prec — first element, or None for []		
#   Pre-bound defs: pi=3, tau=6, greeting='hello'.		
# === end fixtures ===		
		
		
# ====================================================================		
# 1. List construction		
# ====================================================================		
		
[ ]	[]	empty list literal
[ 1 2 3 ]	[1 2 3]	homogeneous Integer list
[ 1 'a' true ]	[1 'a' true]	heterogeneous — Integer / String / Boolean
[ [ 1 2 ] [ 3 4 ] ]	[[1 2] [3 4]]	list of lists (no flattening)
[ [ ] [ ] ]	[[] []]	list of empty lists
		
# ====================================================================		
# 2. Map construction		
# ====================================================================		
		
{ }	{}	empty map literal
{ a:1 }	{a:1}	single entry
{ a:1 b:2 }	{a:1 b:2}	two entries (insertion order)
{ a:1 b:2 c:3 }	{a:1 b:2 c:3}	three entries
{ age:30 name:'Alice' }	{age:30 name:'Alice'}	heterogeneous values; keys in insertion (source) order
{ outer:{ inner:1 } }	{outer:{inner:1}}	nested map
{ xs:[ 1 2 3 ] }	{xs:[1 2 3]}	map whose value is a list
{ a:{ b:1 } c:[ 2 3 ] }	{a:{b:1} c:[2 3]}	mixed nested map + list values
		
# ====================================================================		
# 3. Type-system: typeof / is		
# ====================================================================		
		
typeof [ ]	List	concrete list reports List
typeof [ 1 2 3 ]	List	
typeof { }	Map	concrete map reports Map
typeof { a:1 b:2 }	Map	
typeof List	Node	one Parent hop
typeof Map	Node
typeof Node	Any	Node's lattice parent is Any
		
# `is` against the exact node type.		
[ 1 2 3 ] is List	true	
[ ] is List	true	
{ a:1 } is Map	true	
{ } is Map	true	
		
# Type-specific children: a list satisfies the typed-list		
# type `[ :T ]` when every element conforms to T; a map		
# satisfies the typed-map type `{ :T }` when every value		
# conforms to T. (`[ :T v0 v1 … ]` with elements is the		
# concrete typed-list form — see types.tsv §11h.)		
[ 1 2 3 ] is [ :Integer ]	true	all elements are Integers
[ 1 2 3 ] is [ :Number ]	true	Integer is a subtype of Number
[ 1 2.0 3 ] is [ :Number ]	true	mixed Integer/Float — both Number
[ 1 2 3 ] is [ :String ]	false	Integers are not Strings
[ 1 'x' 3 ] is [ :Integer ]	false	one element ('x') breaks conformance
