# boru Language Specification: the boru:math module
# Format: input<TAB>expected<TAB>description
#
# Loadable module. Import binds the `math` namespace, then words are
# called via dot-access: `import "boru:math-util"  MathUtil.word args`. Words
# operate on Numbers; results are Float for the transcendental/root
# functions and Integer for the rounding family applied to Integers.
#
# ─────────────────────────────────────────────────────────────────────
# §1  sign / magnitude
import "boru:math-util"  MathUtil.abs -5	5	absolute value
import "boru:math-util"  MathUtil.sign -7	-1	sign: -1 / 0 / 1
import "boru:math-util"  MathUtil.negate 5	-5	arithmetic negation
#
# §2  rounding family
import "boru:math-util"  MathUtil.ceil 2.3	3	round up
import "boru:math-util"  MathUtil.floor 2.7	2	round down
import "boru:math-util"  MathUtil.round 4.6	5	round to nearest
import "boru:math-util"  MathUtil.trunc 4.9	4	truncate toward zero
# the rounding family is total over the whole Number family (NUR008 fix):
# an Integer is already integral — identity, keeping its type.
import "boru:math-util"  MathUtil.ceil 5	5	Integer ceil is identity
import "boru:math-util"  MathUtil.floor -3	-3	Integer floor is identity (negative too)
import "boru:math-util"  MathUtil.round 7	7	Integer round is identity
import "boru:math-util"  MathUtil.round-even 8	8	Integer round-even is identity
import "boru:math-util"  MathUtil.trunc 9	9	Integer trunc is identity
import "boru:math-util"  MathUtil.ceil "x"	ERROR:uncalled_function	a non-Number still declines (negative twin)
#
# §3  roots / logs (Float results)
import "boru:math-util"  MathUtil.sqrt 16.0	4.0	square root
import "boru:math-util"  MathUtil.cbrt 27.0	3.0	cube root
import "boru:math-util"  MathUtil.log2 8.0	3.0	base-2 log
import "boru:math-util"  MathUtil.log10 1000.0	3.0	base-10 log
#
# §4  composition and stack form
import "boru:math-util"  MathUtil.sqrt 16.0 add 1.0	5.0	results compose like any value
import "boru:math-util"  16.0 MathUtil.sqrt	4.0	stack form also dispatches
#
# §5  IEEE-754 classifiers & ops (see design/IEEE-754-COMPLIANCE.8.md)
import "boru:math-util"  nan MathUtil.is-nan	true	NaN detected
import "boru:math-util"  5.0 MathUtil.is-nan	false	a finite Float is not NaN
import "boru:math-util"  inf MathUtil.is-inf	true	infinity detected
import "boru:math-util"  5.0 MathUtil.is-inf	false	finite is not infinite
import "boru:math-util"  inf MathUtil.is-finite	false	infinity is not finite
import "boru:math-util"  nan MathUtil.is-finite	false	NaN is not finite
import "boru:math-util"  5.0 MathUtil.is-finite	true	a finite Float is finite
import "boru:math-util"  5 MathUtil.is-finite	true	an Integer is always finite
import "boru:math-util"  5 MathUtil.is-nan	false	an Integer is never NaN
import "boru:math-util"  -3.0 MathUtil.signbit	true	negative sign bit
import "boru:math-util"  3.0 MathUtil.signbit	false	positive sign bit
# remainder is the IEEE round-to-nearest remainder — distinct from `mod`.
import "boru:math-util"  7.0 MathUtil.remainder 3.0	1.0	7 = 2*3 + 1
import "boru:math-util"  5.0 MathUtil.remainder 3.0	-1.0	5 rounds to 2*3, remainder -1 (mod gives 2)
import "boru:math-util"  3.0 MathUtil.copysign -1.0	-3.0	magnitude of 3, sign of -1
import "boru:math-util"  -3.0 MathUtil.copysign 2.0	3.0	magnitude of -3, sign of +2
import "boru:math-util"  1.0 MathUtil.nextafter 2.0	1.0000000000000002	next representable Float toward 2
# round-even ties to even (IEEE default); round ties away from zero.
import "boru:math-util"  2.5 MathUtil.round	3	round ties away from zero
import "boru:math-util"  2.5 MathUtil.round-even	2	ties-to-even: 2.5 -> 2
import "boru:math-util"  3.5 MathUtil.round-even	4	ties-to-even: 3.5 -> 4
# logb / scalb (powers of two)
import "boru:math-util"  8.0 MathUtil.logb	3.0	radix-2 exponent of 8
import "boru:math-util"  3.0 MathUtil.scalb 4	48.0	3 * 2^4
# fma: a*b + c with a single rounding (forward form)
import "boru:math-util"  MathUtil.fma 2.0 3.0 4.0	10.0	2*3 + 4
# min / max ignore NaN and are order-independent (IEEE-2008 minNum/maxNum).
import "boru:math-util"  MathUtil.min nan 5.0	5.0	NaN ignored
import "boru:math-util"  MathUtil.max 5.0 nan	5.0	NaN ignored, order-independent
#
# §6  negative — a namespace word is undefined until the module is imported
MathUtil.sqrt 16.0	ERROR:undefined_word	`math` is unbound without `import`
#
# §7  trigonometry (radians) — Float results
import "boru:math-util"  MathUtil.cos 0.0	1.0	cosine of 0
import "boru:math-util"  MathUtil.sin 0.0	0.0	sine of 0
import "boru:math-util"  MathUtil.tan 0.0	0.0	tangent of 0
import "boru:math-util"  MathUtil.acos 1.0	0.0	arccosine of 1
import "boru:math-util"  MathUtil.asin 0.0	0.0	arcsine of 0
import "boru:math-util"  MathUtil.atan 0.0	0.0	arctangent of 0
import "boru:math-util"  MathUtil.atan2 0.0 1.0	1.5707963267948966	atan2(y=1, x=0) = pi/2 (b-op-a convention)
import "boru:math-util"  MathUtil.hypot 3.0 4.0	5.0	sqrt(3^2 + 4^2)
#
# §8  exponential and constants
