# boru Language Specification: every variant of `each` (and its side-effecting
# twin `for-each`) as REAL programs spell them.
# Format: input<TAB>expected<TAB>description
#
# Family: each-variants. Written to widen the corpus past the one-liner
# shapes it had — over lists, maps and strings; with a literal body, a
# def-bound body, a fn value, a lambda and a closure; nested; inside a fn;
# defining locals; calling user fns; producing compound values; over
# computed and empty collections; with an index; and chained into another
# each or a fold.
#
# EVERY row's expected column is the engine's own answer, captured from
# `boru do <input> end canon` — the same canon rendering the spec runner
# compares against.
#
# ROWS THAT REFUSE TO COMPILE ARE RECORDED DELIBERATELY, as OPEN DEFECTS.
# They are collected in §18 and each note carries the exact reason
# `BORU_FORCE_COMPILE=1` printed. They are not mistakes and must not be
# deleted to make a ceiling green: they are the gap between the corpus and
# real code that this family exists to make visible.
#
# `each` has NO String signature — `each [f] 'abc'` is a signature_error —
# so the string rows here walk the characters the way real code does, by
# splitting first (§13, §15).
#
# §1  each over a LIST with a literal code body
each [mul 2] [1 2 3]	[2 4 6]	forward form: body first, collection second
[1 2 3] each [dup mul]	[1 4 9]	stack form: the collection is already on the stack
each [dup add] [1 2 3]	[2 4 6]	the body may use stack words
each [dup mul dup add] [1 2 3]	[2 8 18]	a longer stack body: square, then double
each [size] ['aa' 'bbb']	[2 3]	a list of STRINGS — each element is a String, the body measures it
each [not] [true false]	[false true]	a list of Booleans
each [mul 2] [1.5 2.5]	[3.0 5.0]	a list of Floats
each [add 1] [1 2.5]	[2 3.5]	a MIXED numeric list — the body dispatches per element
each [typeof] [1 'a']	[Integer ProperString]	a heterogeneous list under a code body
each [iota] [2 3]	[[0 1] [0 1 2]]	a body that grows each element into a list
each [flatten] [[[1] [2]] [[3]]]	[[1 2] [3]]	a body that shrinks each element
each [mul 2] [1 2 3 4 5 6 7 8 9 10]	[2 4 6 8 10 12 14 16 18 20]	ten elements — the body is compiled once and driven per element
#
# §2  each over a MAP with a literal code body — values transform, keys stay
{a:1 b:2} each [add 1]	{a:2 b:3}	stack form over a map
each [add 1] {a:1 b:2 c:3}	{a:2 b:3 c:4}	forward form over a map
{a:[1 2] b:[3]} each [size]	{a:2 b:1}	map values that are lists
each [add 1] (flex {a:1 b:2})	{a:2 b:3}	a FLEX map iterates exactly like the immutable one
def m (flex {a:1 b:2}) end each [mul 2] m	{a:2 b:4}	…and through a binding
#
# §3  each over a LIST with a LAMBDA callback
each ([x:Integer] => [x add 1]) [1 2 3]	[2 3 4]	the bare element reaches the lambda — no quotation wrapper
each ([x:Any] => [size x]) ['ab' [1 2 3] {a:1}]	[2 3 1]	an Any parameter accepts every alternative in the lattice join
each ([x:Any] => [typeof x]) [1 'a' [2] {b:1} true none]	[Integer ProperString List Map Boolean None]	six alternatives, six dispatches
each ([s:String] => [s size]) ['a' 'bb' 'ccc']	[1 2 3]	a String-typed parameter
each ([b:Boolean] => [not b]) [true false]	[false true]	a Boolean-typed parameter
each ([x:Float] => [x mul 2.0]) [1.5 2.5]	[3.0 5.0]	a Float-typed parameter
each ([x:Integer] => [if (x mod 2 eq 0) ['even'] ['odd']]) [1 2 3 4]	['odd' 'even' 'odd' 'even']	a branch INSIDE the callback body
each ([x:Integer] => [if (x gt 1) ['big'] ['small']]) [1 2 3]	['small' 'big' 'big']	…the lambda spelling of the §18 code-body row that crashes the compiler
#
# §4  each over a MAP with a LAMBDA callback — the KeyVal {k v i n}
{a:1 b:2} each ([kv:KeyVal] => [kv.v mul kv.n])	{a:2 b:4}	n is the entry count, constant across the walk
each ([kv:KeyVal] => [kv.i]) {a:9 b:8 c:7}	{a:0 b:1 c:2}	i is the ITERATION INDEX — each's only built-in index
each ([kv:KeyVal] => [kv.k size]) {aa:1 b:2}	{aa:2 b:1}	the callback can read the key
each ([kv:KeyVal] => [kv]) {a:1}	{a:{k:'a' v:1 i:0 n:1}}	the whole KeyVal, unpicked
def m {a:1 b:2 c:3} end each ([kv:KeyVal] => [if (kv.i eq 0) ['first'] ['rest']]) m	{a:'first' b:'rest' c:'rest'}	branching on the index
{a:[1 2] b:[3]} each ([kv:KeyVal] => [each [mul 2] (kv.v)])	{a:[2 4] b:[6]}	a nested each over the map's list values
#
# §5  each driven by a Function VALUE (/v) — a named fn, not a body
def sq fn [[x:Integer][Integer][x mul x]] end each sq/v [1 2 3 4]	[1 4 9 16]	a fn VALUE maps over a list
def sq fn [[x:Integer][Integer][x mul x]] end each [sq] [1 2 3 4]	[1 4 9 16]	…and the quotation wrapper it replaces agrees
def sq fn [[x:Integer][Integer][x mul x]] end each sq/v (iota 4)	[0 1 4 9]	over a computed collection
def idg fn [[x:Any][Any][x]] end each idg/v [1 'a' true]	[1 'a' true]	an Any-typed fn value over a heterogeneous list
def f ([x:Integer] => [x mul 2]) end each f/v [1 2]	[2 4]	a def-bound LAMBDA reached through /v
def f ([x:Integer] => [x mul 2]) end def g f/v end each g/v [1 2]	[2 4]	…rebound once more before the call
def kf kv:KeyVal => [mul 2 (kv.v)] end each kf/v {a:1 b:2}	{a:2 b:4}	the map form hands the fn value a KeyVal
#
