# boru Language Specification: the higher-order audit's §1 programs, pinned
# Format: input<TAB>expected<TAB>description
#
# Provenance: design/HIGHER-ORDER-FUNCTIONS.0.md §1 ("What works — the
# evidence"), the 2026-08-19 capability audit re-assessed 2026-08-21. Its
# programs were transcripts — run on audit days, quoted verbatim, and
# re-checked only when someone re-ran the note. These rows make the §1
# evidence a standing gate: the interpreter oracle re-checks every value on
# every `make test`, and the compile ledger (frontier_spec_test.go) pins
# which programs the compiler still refuses and why — mostly the audit's
# §5.8 "body result of unknown provenance" class over curried combinator
# bodies; the parser rows (the def-split shape NUR087 recorded, its false
# positive fixed 2026-08-24) and
# the rows that def-bind a COMPUTED fn (`def fact (fgen fgen/v)`,
# `def h (compose …)`) refuse one stage earlier, at check diagnostics.
# NUR089 (the inline-lambda call site) is a CLI-check property of the B
# row, noted in its description — the compile lane refuses that row in
# the provenance class before the check shape matters. Graduation per
# row = the refusal clears → delete its ledger entry.
#
# The §1.4 divergences — Z, and the naive Y no strict language can run —
# are NOT pinned: no budget bounds them (a 200 000-step CLI budget ran 30 s
# without tripping, and an in-process run is eventually killed by memory),
# so a test would hang the suite. What IS pinned is the deterministic §5.4
# application-context rule that makes Z's λv guard inert — the §7 rows.
#
# ─────────────────────────────────────────────────────────────────────
# §1  the classical combinator bases (audit §1.1)
def bb f:Function => [g:Function => [x:Any => [(x g/v apply) f/v apply]]] end 4 ((n:Integer => [add n 3]) (bb (n:Integer => [mul n 2])) apply) apply	14	B with inline-lambda args: runs to 14; the CHECK failure at this call site is NUR089
def bb f:Function => [g:Function => [x:Any => [(x g/v apply) f/v apply]]] end def d fn n:Integer Integer [mul n 2] end def e fn n:Integer Integer [add n 3] end 4 (e/v (bb d/v) apply) apply	14	the same B with named /v references checks clean — the call-site pair of NUR089
#
# §2  Church encodings (audit §1.2)
def czero f:Function => [x:Any => [x/v]] end def csucc n:Function => [f:Function => [x:Any => [(x (n f/v apply) apply) f/v apply]]] end def toint n:Function => [0 ((k:Integer => [add k 1]) n/v apply) apply] end def c1 (csucc czero/v) end def c2 (csucc c1/v) end def c3 (csucc c2/v) end (toint c3/v)	3	Church numeral three decodes
def czero f:Function => [x:Any => [x/v]] end def csucc n:Function => [f:Function => [x:Any => [(x (n f/v apply) apply) f/v apply]]] end def cplus m:Function => [n:Function => [f:Function => [x:Any => [(x (n f/v apply) apply) (m f/v apply) apply]]]] end def toint n:Function => [0 ((k:Integer => [add k 1]) n/v apply) apply] end def c1 (csucc czero/v) end def c2 (csucc c1/v) end def c3 (csucc c2/v) end (toint (c3/v (cplus c2/v) apply))	5	Church addition: 2 + 3
def czero f:Function => [x:Any => [x/v]] end def csucc n:Function => [f:Function => [x:Any => [(x (n f/v apply) apply) f/v apply]]] end def cmult m:Function => [n:Function => [f:Function => [(f/v n/v apply) m/v apply]]] end def toint n:Function => [0 ((k:Integer => [add k 1]) n/v apply) apply] end def c1 (csucc czero/v) end def c2 (csucc c1/v) end def c3 (csucc c2/v) end (toint (c3/v (cmult c2/v) apply))	6	Church multiplication: 2 * 3
def cpair a:Any => [b:Any => [s:Function => [b/v (a/v s/v apply) apply]]] end def cfst p:Function => [(a:Any => [b:Any => [a/v]]) p/v apply] end def p (2 (cpair 1) apply) end (cfst p/v)	1	Church pair: first projection
def cpair a:Any => [b:Any => [s:Function => [b/v (a/v s/v apply) apply]]] end def csnd p:Function => [(a:Any => [b:Any => [b/v]]) p/v apply] end def p (2 (cpair 1) apply) end (csnd p/v)	2	Church pair: second projection
def ctrue t:Any => [f:Any => [t/v]] end def cfalse t:Any => [f:Any => [f/v]] end def cif p:Function => [t:Any => [e:Any => [e/v (t/v p/v apply) apply]]] end def cnot p:Function => [t:Any => [f:Any => [t/v (f/v p/v apply) apply]]] end 'F' ('T' (cif (cnot ctrue/v)) apply) apply	'F'	Church not true
