# boru Language Specification: Type Negation (tnot)
# Format: input<TAB>expected<TAB>description
#
# `tnot T` is the set-theoretic complement of T: a value satisfies it
# iff it does NOT satisfy T. Together with `tor` (union) and `tand`
# (intersection) it closes the type algebra under Boolean operations.
# See design/legacy/elixir-types-in-boru-report.10.ignore.
#
# ─────────────────────────────────────────────────────────────────────
# §1  membership via `is`
5 is (tnot String)	true	integer is not a string
"hi" is (tnot String)	false	string IS a string — rejected
5 is (tnot Integer)	false	integer IS an integer — rejected
5 is (tnot Number)	false	integer IS a number — rejected
"hi" is (tnot Number)	true	string is not a number

# §2  algebraic identities
5 is (tnot Never)	true	tnot Never = Any — admits everything
5 is (tnot Any)	false	tnot Any = Never — admits nothing
5 is (tnot (tnot Integer))	true	double-negation elimination
"hi" is (tnot (tnot Integer))	false	double negation still rejects non-integer

# §3  negation of a disjunct (De Morgan semantics)
5 is (tnot (String tor Boolean))	true	neither a string nor a boolean
"hi" is (tnot (String tor Boolean))	false	is a string — rejected
true is (tnot (String tor Boolean))	false	is a boolean — rejected

# §4  negation of a refinement (DepScalar) — checked pointwise
5 is (tnot (Integer gt 0))	false	5 > 0 — rejected
0 is (tnot (Integer gt 0))	true	0 is not > 0 — admitted

# §5  intersection with negation (tand)
Integer tand (tnot String)	Integer	disjoint complement is a no-op
String tand (tnot String)	Never	self-complement is empty
Integer tand (tnot Number)	Never	subtype is wholly excluded
Number tand (tnot Integer)	Number	supertype minus subtype is not empty
(Integer tor String) tand (tnot String)	Integer	disjunct loses the excluded alternative

# §6  named negation type (def + refine)
def NotStr (tnot String)  5 is NotStr	true	named negation admits a non-string
def NotStr (tnot String)  "hi" is NotStr	false	named negation rejects a string

# §7  typeof / rendering
typeof (tnot String)	Negation	a negation value is a Type/Negation
tnot String	tnot String	negation renders as `tnot <inner>`

# §8  De Morgan — conjunction of negations
(tnot Integer) tand (tnot String)	tnot (Integer tor String)	tnot A tand tnot B = tnot (A tor B)
true is ((tnot Integer) tand (tnot String))	true	a boolean is neither integer nor string
5 is ((tnot Integer) tand (tnot String))	false	5 is an integer — rejected
(tnot Integer) tand (tnot Number)	tnot Number	tnot Integer tand tnot Number = tnot Number

# §9  De Morgan — disjunction of negations
(tnot Integer) tor (tnot String)	Any	tnot A tor tnot B = tnot (A tand B) = tnot Never = Any
(tnot Integer) tor (tnot Number)	tnot Integer	collapses to the broader complement

# §10  closed-form refinement complement (composes via tand)
Integer tand (tnot (Integer gt 0))	(Integer lte 0)	complement within the base flips the bound
Integer tand (tnot (Integer gte 0))	(Integer lt 0)	inclusive flips to strict
"hi" is (tnot (Integer gt 0))	true	full complement includes non-integers
Integer tand (tnot (between 5 10 Integer))	(Integer gt 10) tor (Integer lt 5)	interval complement is the two outside rays
