# boru Language Specification: the boru:sift module
# Format: input<TAB>expected<TAB>description
#
# boru:sift — the semi-structured-text tier (design/legacy/SIFT.0.ignore), implemented in
# boru (lang/go/modules/sift.boru). Six format families (kv, blocks, columns,
# dsv, fixed, pattern) drive the Sift namespace (Sift.parse / define / kinds /
# families / spec / detect / check); a spec-map is a parser expressed as data.
# v1 surface is the Sift namespace only — a module body runs in a discarded
# sub-registry and so cannot register a global `parse <kind>`. Every row leads
# with `import "boru:sift"`.
#
# ─────────────────────────────────────────────────────────────────────
# §1  families — the six format-family atoms
import "boru:sift"  Sift.families	[kv/q blocks/q columns/q dsv/q fixed/q pattern/q]	the six format families, in order
#
# §2  kv — key/value lines → Map
import "boru:sift"  Sift.parse kv/q {sep:':'} "a: 1\nb: 2"	{a:'1' b:'2'}	kv splits on the first separator; values are strings by default
import "boru:sift"  (Sift.parse kv/q {sep:':' vtype:'integer'} "a: 1\nb: 2") dot a	1	vtype coerces every value
import "boru:sift"  (Sift.parse kv/q {sep:':' names:'normalize'} "MemTotal: 4") dot mem-total	'4'	names:'normalize' kebab-cases the key
import "boru:sift"  (Sift.parse kv/q {sep:':' names:'normalize' vtype:'size'} "MemTotal: 16297200 kB") dot mem-total	16688332800	vtype:'size' scales a kB value to Integer bytes
import "boru:sift"  Sift.parse kv/q {sep:'=' unquote:true} "N=\"x\""	{N:'x'}	unquote strips one matched quote pair
import "boru:sift"  Sift.parse kv/q {sep:':' repeat:'first'} "a: 1\na: 2"	{a:'1'}	repeat:'first' keeps the first value
import "boru:sift"  Sift.parse kv/q {sep:':' repeat:'last'} "a: 1\na: 2"	{a:'2'}	repeat:'last' keeps the last value
import "boru:sift"  Sift.parse kv/q {sep:':' repeat:'list'} "a: 1\na: 2"	{a:['1' '2']}	repeat:'list' collects duplicates into a list
import "boru:sift"  Sift.parse kv/q {sep:':' repeat:'error'} "a: 1\na: 2"	ERROR:sift_parse_error	repeat:'error' rejects a duplicate key
import "boru:sift"  Sift.parse kv/q {sep:':'} "bad line"	ERROR:sift_parse_error	a line with no separator raises under the default strict
import "boru:sift"  Sift.parse kv/q {sep:':' strict:'skip'} "bad\na: 1"	{a:'1'}	strict:'skip' drops the malformed line
import "boru:sift"  Sift.parse kv/q {sep:':' vtype:'integer' strict:'skip'} "a: x\nb: 2"	{b:2}	strict:'skip' drops a coercion failure
import "boru:sift"  Sift.parse kv/q {sep:':' vtype:'integer'} "a: x"	ERROR:sift_type_error	a coercion failure raises under the default strict
import "boru:sift"  Sift.parse kv/q {sep:':' repeat:'nope'} "a: 1"	ERROR:sift_spec_error	an unknown repeat mode is a spec error
#
# §3  blocks — blank-line-separated kv blocks → List of Maps
import "boru:sift"  size (Sift.parse blocks/q {} "a: 1\n\nb: 2")	2	two blank-separated blocks (kvsep defaults to ':')
import "boru:sift"  size (Sift.parse blocks/q {sep:'indent'} "eth0:\n  a: 1\nlo:\n  b: 2")	2	sep:'indent' starts a block at each unindented line
import "boru:sift"  Sift.parse blocks/q {sep:'bad'} "a: 1"	ERROR:sift_spec_error	an unknown block separator is a spec error
#
# §4  columns — whitespace-aligned table with header → Table
import "boru:sift"  size (Sift.parse columns/q {} "H1 H2\n1 2\n3 4")	2	the header row is consumed; two data rows
import "boru:sift"  Sift.parse columns/q {header:false} "1 2"	ERROR:sift_spec_error	header:false requires fields
#
# §5  dsv — delimited rows, no header → Table
import "boru:sift"  size (Sift.parse dsv/q {sep:':' fields:['u' 'p']} "root:x\ndaemon:y")	2	dsv with a literal separator and named fields
